c,z,attribute,y,uni,value
Libya,Libya,Costs,2026.0,Carbon costs: $m,0.0
Libya,Libya,Costs,2026.0,Excess generation: $m,0.0
Libya,Libya,Costs,2026.0,Export revenues with external zones: $m,0.0
Libya,Libya,Costs,2026.0,Export revenues with internal zones: $m,0.0
Libya,Libya,Costs,2026.0,Fixed O&M: $m,321.95
Libya,Libya,Costs,2026.0,Fuel costs: $m,5998.728353184025
Libya,Libya,Costs,2026.0,Generation costs: $m,0.0
Libya,Libya,Costs,2026.0,Import costs with external zones: $m,213.006
Libya,Libya,Costs,2026.0,Import costs with internal zones: $m,0.0
Libya,Libya,Costs,2026.0,NPV of system cost: $m,0.0
Libya,Libya,Costs,2026.0,Spinning reserve costs: $m,0.0
Libya,Libya,Costs,2026.0,Startup costs: $m,0.0
Libya,Libya,Costs,2026.0,Trade shared benefits: $m,0.0
Libya,Libya,Costs,2026.0,Transmission costs: $m,0.0
Libya,Libya,Costs,2026.0,Unmet country CO2 backstop cost: $m,0.0
Libya,Libya,Costs,2026.0,Unmet country planning reserve costs: $m,0.0
Libya,Libya,Costs,2026.0,Unmet country spinning reserve costs: $m,0.0
Libya,Libya,Costs,2026.0,Unmet demand costs: $m,0.0
Libya,Libya,Costs,2026.0,Unmet system CO2 backstop cost: $m,301976.49574179907
Libya,Libya,Costs,2026.0,Unmet system planning reserve costs: $m,0.0
Libya,Libya,Costs,2026.0,Unmet system spinning reserve costs: $m,0.0
Libya,Libya,Costs,2026.0,VRE curtailment: $m,0.0
Libya,Libya,Costs,2026.0,Variable O&M: $m,202.0118384360105
Libya,Libya,Costs,2027.0,Carbon costs: $m,0.0
Libya,Libya,Costs,2027.0,Excess generation: $m,0.0
Libya,Libya,Costs,2027.0,Export revenues with external zones: $m,0.0
Libya,Libya,Costs,2027.0,Export revenues with internal zones: $m,0.0
Libya,Libya,Costs,2027.0,Fixed O&M: $m,321.95
Libya,Libya,Costs,2027.0,Fuel costs: $m,7779.98833837199
Libya,Libya,Costs,2027.0,Generation costs: $m,0.0
Libya,Libya,Costs,2027.0,Import costs with external zones: $m,0.0
Libya,Libya,Costs,2027.0,Import costs with internal zones: $m,0.0
Libya,Libya,Costs,2027.0,NPV of system cost: $m,0.0
Libya,Libya,Costs,2027.0,Spinning reserve costs: $m,0.0
Libya,Libya,Costs,2027.0,Startup costs: $m,0.0
Libya,Libya,Costs,2027.0,Trade shared benefits: $m,0.0
Libya,Libya,Costs,2027.0,Transmission costs: $m,0.0
Libya,Libya,Costs,2027.0,Unmet country CO2 backstop cost: $m,0.0
Libya,Libya,Costs,2027.0,Unmet country planning reserve costs: $m,0.0
Libya,Libya,Costs,2027.0,Unmet country spinning reserve costs: $m,0.0
Libya,Libya,Costs,2027.0,Unmet demand costs: $m,0.0
Libya,Libya,Costs,2027.0,Unmet system CO2 backstop cost: $m,333025.9612797997
Libya,Libya,Costs,2027.0,Unmet system planning reserve costs: $m,0.0
Libya,Libya,Costs,2027.0,Unmet system spinning reserve costs: $m,0.0
Libya,Libya,Costs,2027.0,VRE curtailment: $m,0.0
Libya,Libya,Costs,2027.0,Variable O&M: $m,225.53743029695897
Libya,Libya,Costs,2028.0,Carbon costs: $m,0.0
Libya,Libya,Costs,2028.0,Excess generation: $m,0.0
Libya,Libya,Costs,2028.0,Export revenues with external zones: $m,0.0
Libya,Libya,Costs,2028.0,Export revenues with internal zones: $m,0.0
Libya,Libya,Costs,2028.0,Fixed O&M: $m,397.65
Libya,Libya,Costs,2028.0,Fuel costs: $m,7874.054496452266
Libya,Libya,Costs,2028.0,Generation costs: $m,0.0
Libya,Libya,Costs,2028.0,Import costs with external zones: $m,221.19
Libya,Libya,Costs,2028.0,Import costs with internal zones: $m,0.0
Libya,Libya,Costs,2028.0,NPV of system cost: $m,0.0
Libya,Libya,Costs,2028.0,Spinning reserve costs: $m,0.0
Libya,Libya,Costs,2028.0,Startup costs: $m,0.0
Libya,Libya,Costs,2028.0,Trade shared benefits: $m,0.0
Libya,Libya,Costs,2028.0,Transmission costs: $m,0.0
Libya,Libya,Costs,2028.0,Unmet country CO2 backstop cost: $m,0.0
Libya,Libya,Costs,2028.0,Unmet country planning reserve costs: $m,0.0
Libya,Libya,Costs,2028.0,Unmet country spinning reserve costs: $m,0.0
Libya,Libya,Costs,2028.0,Unmet demand costs: $m,0.0
Libya,Libya,Costs,2028.0,Unmet system CO2 backstop cost: $m,337052.522505399
Libya,Libya,Costs,2028.0,Unmet system planning reserve costs: $m,0.0
Libya,Libya,Costs,2028.0,Unmet system spinning reserve costs: $m,0.0
Libya,Libya,Costs,2028.0,VRE curtailment: $m,0.0
Libya,Libya,Costs,2028.0,Variable O&M: $m,228.40731693438207
Libya,Libya,Costs,2029.0,Carbon costs: $m,0.0
Libya,Libya,Costs,2029.0,Excess generation: $m,0.0
Libya,Libya,Costs,2029.0,Export revenues with external zones: $m,0.0
Libya,Libya,Costs,2029.0,Export revenues with internal zones: $m,0.0
Libya,Libya,Costs,2029.0,Fixed O&M: $m,458.95
Libya,Libya,Costs,2029.0,Fuel costs: $m,8491.241510932512
Libya,Libya,Costs,2029.0,Generation costs: $m,0.0
Libya,Libya,Costs,2029.0,Import costs with external zones: $m,0.0
Libya,Libya,Costs,2029.0,Import costs with internal zones: $m,0.0
Libya,Libya,Costs,2029.0,NPV of system cost: $m,0.0
Libya,Libya,Costs,2029.0,Spinning reserve costs: $m,0.0
Libya,Libya,Costs,2029.0,Startup costs: $m,0.0
