c,z,attribute,y,uni,value
Libya,Libya,CapexInvestmentComponent,2028,Generation,1247931429.024
Libya,Libya,CapexInvestmentComponent,2028,StorageEnergy,612713826.2
Libya,Libya,CapexInvestmentComponent,2029,Generation,676882857.316
Libya,Libya,CapexInvestmentComponent,2029,StorageEnergy,575553054.3
Libya,Libya,CapexInvestmentComponent,2030,Generation,665131428.456
Libya,Libya,CapexInvestmentComponent,2030,StorageEnergy,538392282.4000001
Libya,Libya,CapexInvestmentComponent,2031,Generation,1161481428.456
Libya,Libya,CapexInvestmentComponent,2031,StorageEnergy,521567523.81999993
Libya,Libya,CapexInvestmentComponent,2032,Generation,1143180000.0
Libya,Libya,CapexInvestmentComponent,2032,StorageEnergy,504742765.24
Libya,Libya,CapexInvestmentComponent,2033,Generation,1128630000.0
Libya,Libya,CapexInvestmentComponent,2033,StorageEnergy,487918005.68000007
Libya,Libya,CapexInvestmentComponent,2034,Generation,1114080000.0
Libya,Libya,CapexInvestmentComponent,2034,StorageEnergy,471093247.1
Libya,Libya,CapexInvestmentComponent,2035,Generation,1935778571.544
Libya,Libya,CapexInvestmentComponent,2035,StorageEnergy,454268488.52
Libya,Libya,CapexInvestmentComponent,2036,Generation,1903778571.544
Libya,Libya,CapexInvestmentComponent,2036,StorageEnergy,437443729.94000006
Libya,Libya,CapexInvestmentComponent,2037,Generation,2132657143.064
Libya,Libya,CapexInvestmentComponent,2037,StorageEnergy,420618971.36
Libya,Libya,CapexInvestmentComponent,2038,Generation,2093639285.734
Libya,Libya,CapexInvestmentComponent,2038,StorageEnergy,403794212.78
Libya,Libya,CapexInvestmentComponent,2039,Generation,2048834285.404
Libya,Libya,CapexInvestmentComponent,2039,StorageEnergy,386969454.2000001
Libya,Libya,CapexInvestmentComponent,2040,Generation,2942234285.404
Libya,Libya,CapexInvestmentComponent,2040,StorageEnergy,740289389.28
Libya,Libya,CapexInvestmentComponent,2041,Generation,2889556442.29
Libya,Libya,CapexInvestmentComponent,2041,StorageEnergy,713064464.0
Libya,Libya,CapexInvestmentComponent,2042,Generation,2575441325.434
Libya,Libya,CapexInvestmentComponent,2042,StorageEnergy,686840767.48
Libya,Libya,CapexInvestmentComponent,2043,Generation,2787983205.024
Libya,Libya,CapexInvestmentComponent,2043,StorageEnergy,661581473.28
Libya,Libya,CapexInvestmentComponent,2044,Generation,2478047494.642
Libya,Libya,CapexInvestmentComponent,2044,StorageEnergy,637251117.16
Libya,Libya,CapexInvestmentComponent,2045,Generation,2429396327.682
Libya,Libya,CapexInvestmentComponent,2045,StorageEnergy,613815534.36
Libya,Libya,CapexInvestmentComponent,2046,Generation,2644583328.8120003
Libya,Libya,CapexInvestmentComponent,2046,StorageEnergy,591241820.4
Libya,Libya,CapexInvestmentComponent,2047,Generation,2340655889.8580003
Libya,Libya,CapexInvestmentComponent,2047,StorageEnergy,569498278.1600001
Libya,Libya,CapexInvestmentComponent,2048,Generation,2297055932.03
Libya,Libya,CapexInvestmentComponent,2048,StorageEnergy,274277189.34000003
Libya,Libya,CapexInvestmentComponent,2049,Generation,2254479410.716
Libya,Libya,CapexInvestmentComponent,2049,StorageEnergy,264190356.08
Libya,Libya,CapexInvestmentComponent,2050,Generation,2212041413.126
Libya,Libya,CapexInvestmentComponent,2050,StorageEnergy,254474477.32
Libya,Libya,CapexInvestmentComponentCumulated,2028,Generation,1247931429.024
Libya,Libya,CapexInvestmentComponentCumulated,2028,StorageEnergy,612713826.2
Libya,Libya,CapexInvestmentComponentCumulated,2029,Generation,1924814286.34
Libya,Libya,CapexInvestmentComponentCumulated,2029,StorageEnergy,1188266880.5
Libya,Libya,CapexInvestmentComponentCumulated,2030,Generation,2589945714.796
Libya,Libya,CapexInvestmentComponentCumulated,2030,StorageEnergy,1726659162.9
Libya,Libya,CapexInvestmentComponentCumulated,2031,Generation,3751427143.252
Libya,Libya,CapexInvestmentComponentCumulated,2031,StorageEnergy,2248226686.7200003
Libya,Libya,CapexInvestmentComponentCumulated,2032,Generation,4894607143.252
Libya,Libya,CapexInvestmentComponentCumulated,2032,StorageEnergy,2752969451.96
Libya,Libya,CapexInvestmentComponentCumulated,2033,Generation,6023237143.252
Libya,Libya,CapexInvestmentComponentCumulated,2033,StorageEnergy,3240887457.6400003
Libya,Libya,CapexInvestmentComponentCumulated,2034,Generation,7137317143.252
Libya,Libya,CapexInvestmentComponentCumulated,2034,StorageEnergy,3711980704.74
Libya,Libya,CapexInvestmentComponentCumulated,2035,Generation,9073095714.796
Libya,Libya,CapexInvestmentComponentCumulated,2035,StorageEnergy,4166249193.26
Libya,Libya,CapexInvestmentComponentCumulated,2036,Generation,10976874286.34
Libya,Libya,CapexInvestmentComponentCumulated,2036,StorageEnergy,4603692923.2
Libya,Libya,CapexInvestmentComponentCumulated,2037,Generation,13109531429.404
Libya,Libya,CapexInvestmentComponentCumulated,2037,StorageEnergy,5024311894.56
Libya,Libya,CapexInvestmentComponentCumulated,2038,Generation,15203170715.138
Libya,Libya,CapexInvestmentComponentCumulated,2038,StorageEnergy,5428106107.34
Libya,Libya,CapexInvestmentComponentCumulated,2039,Generation,17252005000.542
Libya,Libya,CapexInvestmentComponentCumulated,2039,StorageEnergy,5815075561.54
Libya,Libya,CapexInvestmentComponentCumulated,2040,Generation,20194239285.946
Libya,Libya,CapexInvestmentComponentCumulated,2040,StorageEnergy,6555364950.82
Libya,Libya,CapexInvestmentComponentCumulated,2041,Generation,23083795728.236
Libya,Libya,CapexInvestmentComponentCumulated,2041,StorageEnergy,7268429414.82
Libya,Libya,CapexInvestmentComponentCumulated,2042,Generation,25659237053.67
Libya,Libya,CapexInvestmentComponentCumulated,2042,StorageEnergy,7955270182.3
Libya,Libya,CapexInvestmentComponentCumulated,2043,Generation,28447220258.694
Libya,Libya,CapexInvestmentComponentCumulated,2043,StorageEnergy,8616851655.58
Libya,Libya,CapexInvestmentComponentCumulated,2044,Generation,30925267753.336
Libya,Libya,CapexInvestmentComponentCumulated,2044,StorageEnergy,9254102772.74
Libya,Libya,CapexInvestmentComponentCumulated,2045,Generation,33354664081.018
Libya,Libya,CapexInvestmentComponentCumulated,2045,StorageEnergy,9867918307.1
Libya,Libya,CapexInvestmentComponentCumulated,2046,Generation,35999247409.83
Libya,Libya,CapexInvestmentComponentCumulated,2046,StorageEnergy,10459160127.5
Libya,Libya,CapexInvestmentComponentCumulated,2047,Generation,38339903299.688
Libya,Libya,CapexInvestmentComponentCumulated,2047,StorageEnergy,11028658405.66
Libya,Libya,CapexInvestmentComponentCumulated,2048,Generation,40636959231.718
Libya,Libya,CapexInvestmentComponentCumulated,2048,StorageEnergy,11302935595.0
Libya,Libya,CapexInvestmentComponentCumulated,2049,Generation,42891438642.434
Libya,Libya,CapexInvestmentComponentCumulated,2049,StorageEnergy,11567125951.08
Libya,Libya,CapexInvestmentComponentCumulated,2050,Generation,45103480055.56
Libya,Libya,CapexInvestmentComponentCumulated,2050,StorageEnergy,11821600428.4
