paramNames,baseline
pSettings,input/data_sapp/pSettings.csv
y,input/data_sapp/y.csv
zcmap,input/data_sapp/zcmap.csv
pHours,input/data_sapp/pHours.csv
ftfindex,input/data_sapp/resources/ftfindex.csv
pFuelCarbonContent,input/data_sapp/resources/pFuelCarbonContent.csv
pTechData,input/data_sapp/resources/pTechData.csv
pDemandData,input/data_sapp/load/pDemandData.csv
pDemandForecast,input/data_sapp/load/pDemandForecast.csv
pDemandProfile,input/data_sapp/load/pDemandProfile.csv
sRelevant,input/data_sapp/load/srelevant.csv
pEnergyEfficiencyFactor,input/data_sapp/load/pEnergyEfficiencyFactor.csv
pGenDataInput,input/data_sapp/supply/pGenDataExcelCustom.csv
pGenDataInputDefault,input/data_sapp/supply/pGenDataExcelDefaultRampHydro.csv
pAvailability,input/data_sapp/supply/pAvailabilityCustom.csv
pAvailabilityDefault,input/data_sapp/supply/pAvailabilityDefault.csv
pEvolutionAvailability,input/data_sapp/supply/pEvolutionAvailability.csv
pCapexTrajectories,input/data_sapp/supply/pCapexTrajectoriesCustom.csv
pCapexTrajectoriesDefault,input/data_sapp/supply/pCapexTrajectoriesDefaultCCDR.csv
pCSPData,input/data_sapp/supply/pCSPData.csv
pFuelPrice,input/data_sapp/supply/pFuelPrice.csv
pVREgenProfile,input/data_sapp/supply/pVREgenProfileROR.csv
pVREProfile,input/data_sapp/supply/pVREProfile.csv
pStorageDataInput,input/data_sapp/supply/pStorDataExcel.csv
pPlanningReserveMargin,input/data_sapp/reserve/pPlanningReserveMargin.csv
pSpinningReserveReqCountry,input/data_sapp/reserve/pSpinningReserveReqCountry.csv
pSpinningReserveReqSystem,input/data_sapp/reserve/pSpinningReserveReqSystem.csv
pEmissionsTotal,input/data_sapp/constraint/pEmissionsTotal.csv
pEmissionsCountry,input/data_sapp/constraint/pEmissionsCountry.csv
pMaxFuellimit,input/data_sapp/constraint/pMaxFuellimit.csv
pCarbonPrice,input/data_sapp/constraint/pCarbonPrice.csv
zext,input/data_sapp/trade/zext.csv
pExtTransferLimit,input/data_sapp/trade/pExtTransferLimit.csv
pLossFactorInternal,input/data_sapp/trade/pLossFactor.csv
pMaxPriceImportShare,input/data_sapp/trade/pMaxPriceImportShare.csv
pMaxAnnualExternalTradeShare,input/data_sapp/trade/pMaxExchangeShare.csv
pMinImport,input/data_sapp/trade/pMinImport.csv
pNewTransmission,input/data_sapp/trade/pNewTransmission.csv
pTradePrice,input/data_sapp/trade/pTradePrice.csv
pTransferLimit,input/data_sapp/trade/pTransferLimit.csv
pH2DataExcel,input/data_sapp/h2/pH2DataExcel.csv
pAvailabilityH2,input/data_sapp/h2/pAvailabilityH2.csv
pCapexTrajectoryH2,input/data_sapp/h2/pCapexTrajectoryH2.csv
pExternalH2,input/data_sapp/h2/pExternalH2.csv
pFuelDataH2,input/data_sapp/h2/pFuelDataH2.csv
solvemode,2
trace,0
reportshort,0
modeltype,MIP
