zone,tech,fuel,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life
Somaliland,ICE,HFO,0,9.5,1,1,0,0.2,25000,5,0,0.9,25
Somaliland,Geothermal,Geothermal,0.9,3.8,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
Somaliland,ST,Gas,0.3,9,0.5,0.5,0,0,60000,2.5,0,2,30
Somaliland,CCGT_CCS,Gas,0.45,7.5,1,1,0,0.05,40000,3,0,1.5,30
Somaliland,CSPPlant,Solar,0,,0.1,0.1,0,0.25,40000,0,0,3.5,30
Somaliland,ICE,Gas,0,9.5,1,1,0,0.2,25000,4.5,0,0.9,25
Somaliland,ST,Diesel,0.3,10.5,0.5,0.5,0,0,60000,4,0,2,30
Somaliland,ST,HFO,0.3,10.2,0.5,0.5,0,0,60000,4.2,0,2,30
Somaliland,Nuclear,Uranium,0.85,10.5,0.05,0.05,0.05,0.01,120000,1,0,6,60
Somaliland,CCGT,LFO,0.45,7.5,1,1,0,0.05,30000,2.5,0,0.9,30
Somaliland,OCGT_CCS,Gas,0,10.5,1,1,0,0.2,25000,5,0,1.2,30
Somaliland,Storage,Pumped,0,,1,1,0,0.4,60000,0,0,2.5,60
Somaliland,RPV,Solar,0,,,,0,,12000,0,0,0.7,25
Somaliland,OCGT,LFO,0,10,1,1,0,0.2,20000,4.2,0,0.8,30
Somaliland,Storage,Water,0,,1,1,0,0.3,50000,0,0,2,50
Somaliland,ICE,Methane,0,9.2,1,1,0,0.2,25000,4.5,0,0.9,25
Somaliland,ST,Biomass,0.55,12.5,0.5,0.5,0,0.05,100000,2.5,0,2,30
Somaliland,ST,Geothermal,0.85,4.5,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
Mogadishu,ST ,Coal,0.3,8.5,0.5,0.5,0,0,60000,3,0,2,30
Mogadishu,ST ,Lignite,0.55,10.3,0.5,0.5,0,0,60000,3,0,2,30
Mogadishu,OCGT,Gas,0,9,1,1,0,0.2,20000,4,0,0.8,30
Mogadishu,OCGT,HFO,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Mogadishu,OCGT,Diesel,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Mogadishu,CCGT,Gas,0.45,6.4,1,1,0,0.05,30000,2,0,0.9,30
Mogadishu,ReservoirHydro,Water,0,,1,1,0,0.45,50000,0.5,0,3.3,50
Mogadishu,ROR,Water,0,,1,1,0,0.4,40000,0.5,0,2.8,50
Mogadishu,PV,Solar,0,,,,,,15000,0,0,0.8,25
Mogadishu,OnshoreWind,Wind,0,,,,,,40000,0,0,1.3,30
Mogadishu,OffshoreWind,Wind,0,,,,,,70000,0,0,3,30
Mogadishu,BiomassPlant,Biomass,0,12.5,1,1,0,0.05,100000,2.5,0,2,30
Mogadishu,Storage,Battery,0,,1,1,0,,40000,0,0,0.3,20
Mogadishu,ST,Peat,0.3,10.8,0.5,0.5,0,0,60000,3,0,2,30
Mogadishu,ST,Waste,0.3,11.5,0.5,0.5,0,0,65000,3.5,0,2.5,30
Mogadishu,ICE,HFO,0,9.5,1,1,0,0.2,25000,5,0,0.9,25
Mogadishu,Geothermal,Geothermal,0.9,3.8,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
Mogadishu,ST,Gas,0.3,9,0.5,0.5,0,0,60000,2.5,0,2,30
Mogadishu,CCGT_CCS,Gas,0.45,7.5,1,1,0,0.05,40000,3,0,1.5,30
Mogadishu,CSPPlant,Solar,0,,0.1,0.1,0,0.25,40000,0,0,3.5,30
Mogadishu,ICE,Gas,0,9.5,1,1,0,0.2,25000,4.5,0,0.9,25
Mogadishu,ST,Diesel,0.3,10.5,0.5,0.5,0,0,60000,4,0,2,30
Mogadishu,ST,HFO,0.3,10.2,0.5,0.5,0,0,60000,4.2,0,2,30
Mogadishu,Nuclear,Uranium,0.85,10.5,0.05,0.05,0.05,0.01,120000,1,0,6,60
Mogadishu,CCGT,LFO,0.45,7.5,1,1,0,0.05,30000,2.5,0,0.9,30
Mogadishu,OCGT_CCS,Gas,0,10.5,1,1,0,0.2,25000,5,0,1.2,30
Mogadishu,Storage,Pumped,0,,1,1,0,0.4,60000,0,0,2.5,60
Mogadishu,RPV,Solar,0,,,,0,,12000,0,0,0.7,25
Mogadishu,OCGT,LFO,0,10,1,1,0,0.2,20000,4.2,0,0.8,30
Mogadishu,Storage,Water,0,,1,1,0,0.3,50000,0,0,2,50
Mogadishu,ICE,Methane,0,9.2,1,1,0,0.2,25000,4.5,0,0.9,25
Mogadishu,ST,Biomass,0.55,12.5,0.5,0.5,0,0.05,100000,2.5,0,2,30
Mogadishu,ST,Geothermal,0.85,4.5,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
Egypt,ST ,Coal,0.3,8.5,0.5,0.5,0,0,60000,3,0,2,30
Egypt,ST ,Lignite,0.55,10.3,0.5,0.5,0,0,60000,3,0,2,30
Egypt,OCGT,Gas,0,9,1,1,0,0.2,20000,4,0,0.8,30
Egypt,OCGT,HFO,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Egypt,OCGT,Diesel,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Egypt,CCGT,Gas,0.45,6.4,1,1,0,0.05,30000,2,0,0.9,30
Egypt,ReservoirHydro,Water,0,,1,1,0,0.45,50000,0.5,0,3.3,50
Egypt,ROR,Water,0,,1,1,0,0.4,40000,0.5,0,2.8,50
Egypt,PV,Solar,0,,,,,,15000,0,0,0.8,25
Egypt,OnshoreWind,Wind,0,,,,,,40000,0,0,1.3,30
Egypt,OffshoreWind,Wind,0,,,,,,70000,0,0,3,30
Egypt,BiomassPlant,Biomass,0,12.5,1,1,0,0.05,100000,2.5,0,2,30
Egypt,Storage,Battery,0,,1,1,0,,40000,0,0,0.3,20
Egypt,ST,Peat,0.3,10.8,0.5,0.5,0,0,60000,3,0,2,30
Egypt,ST,Waste,0.3,11.5,0.5,0.5,0,0,65000,3.5,0,2.5,30
Egypt,ICE,HFO,0,9.5,1,1,0,0.2,25000,5,0,0.9,25
Egypt,Geothermal,Geothermal,0.9,3.8,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
Egypt,ST,Gas,0.3,9,0.5,0.5,0,0,60000,2.5,0,2,30
Egypt,CCGT_CCS,Gas,0.45,7.5,1,1,0,0.05,40000,3,0,1.5,30
Egypt,CSPPlant,Solar,0,,0.1,0.1,0,0.25,40000,0,0,3.5,30
Egypt,ICE,Gas,0,9.5,1,1,0,0.2,25000,4.5,0,0.9,25
Egypt,ST,Diesel,0.3,10.5,0.5,0.5,0,0,60000,4,0,2,30
Egypt,ST,HFO,0.3,10.2,0.5,0.5,0,0,60000,4.2,0,2,30
Egypt,Nuclear,Uranium,0.85,10.5,0.05,0.05,0.05,0.01,120000,1,0,6,60
Egypt,CCGT,LFO,0.45,7.5,1,1,0,0.05,30000,2.5,0,0.9,30
Egypt,OCGT_CCS,Gas,0,10.5,1,1,0,0.2,25000,5,0,1.2,30
Egypt,Storage,Pumped,0,,1,1,0,0.4,60000,0,0,2.5,60
Egypt,RPV,Solar,0,,,,0,,12000,0,0,0.7,25
Egypt,OCGT,LFO,0,10,1,1,0,0.2,20000,4.2,0,0.8,30
Egypt,Storage,Water,0,,1,1,0,0.3,50000,0,0,2,50
Egypt,ICE,Methane,0,9.2,1,1,0,0.2,25000,4.5,0,0.9,25
Egypt,ST,Biomass,0.55,12.5,0.5,0.5,0,0.05,100000,2.5,0,2,30
Egypt,ST,Geothermal,0.85,4.5,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
Libya,ST ,Coal,0.3,8.5,0.5,0.5,0,0,60000,3,0,2,30
Libya,ST ,Lignite,0.55,10.3,0.5,0.5,0,0,60000,3,0,2,30
Libya,OCGT,Gas,0,9,1,1,0,0.2,20000,4,0,0.8,30
Libya,OCGT,HFO,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Libya,OCGT,Diesel,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Libya,CCGT,Gas,0.45,6.4,1,1,0,0.05,30000,2,0,0.9,30
Libya,ReservoirHydro,Water,0,,1,1,0,0.45,50000,0.5,0,3.3,50
Libya,ROR,Water,0,,1,1,0,0.4,40000,0.5,0,2.8,50
Libya,PV,Solar,0,,,,,,15000,0,0,0.8,25
Libya,OnshoreWind,Wind,0,,,,,,40000,0,0,1.3,30
Libya,OffshoreWind,Wind,0,,,,,,70000,0,0,3,30
Libya,BiomassPlant,Biomass,0,12.5,1,1,0,0.05,100000,2.5,0,2,30
Libya,Storage,Battery,0,,1,1,0,,40000,0,0,0.3,20
Libya,ST,Peat,0.3,10.8,0.5,0.5,0,0,60000,3,0,2,30
Libya,ST,Waste,0.3,11.5,0.5,0.5,0,0,65000,3.5,0,2.5,30
Libya,ICE,HFO,0,9.5,1,1,0,0.2,25000,5,0,0.9,25
Libya,Geothermal,Geothermal,0.9,3.8,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
Libya,ST,Gas,0.3,9,0.5,0.5,0,0,60000,2.5,0,2,30
Libya,CCGT_CCS,Gas,0.45,7.5,1,1,0,0.05,40000,3,0,1.5,30
Libya,CSPPlant,Solar,0,,0.1,0.1,0,0.25,40000,0,0,3.5,30
Libya,ICE,Gas,0,9.5,1,1,0,0.2,25000,4.5,0,0.9,25
Libya,ST,Diesel,0.3,10.5,0.5,0.5,0,0,60000,4,0,2,30
Libya,ST,HFO,0.3,10.2,0.5,0.5,0,0,60000,4.2,0,2,30
Libya,Nuclear,Uranium,0.85,10.5,0.05,0.05,0.05,0.01,120000,1,0,6,60
Libya,CCGT,LFO,0.45,7.5,1,1,0,0.05,30000,2.5,0,0.9,30
Libya,OCGT_CCS,Gas,0,10.5,1,1,0,0.2,25000,5,0,1.2,30
Libya,Storage,Pumped,0,,1,1,0,0.4,60000,0,0,2.5,60
Libya,RPV,Solar,0,,,,0,,12000,0,0,0.7,25
Libya,OCGT,LFO,0,10,1,1,0,0.2,20000,4.2,0,0.8,30
Libya,Storage,Water,0,,1,1,0,0.3,50000,0,0,2,50
Libya,ICE,Methane,0,9.2,1,1,0,0.2,25000,4.5,0,0.9,25
Libya,ST,Biomass,0.55,12.5,0.5,0.5,0,0.05,100000,2.5,0,2,30
Libya,ST,Geothermal,0.85,4.5,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
Burundi,ICE,Diesel,0,10,1,1,0,0.2,25000,4.5,0,0.9,25
