c,z,y,uni,value
Armenia,Armenia,2025,Demand: GWh,6721.000000000002
Armenia,Armenia,2025,Total Demand: GWh,6721.000000000002
Armenia,Armenia,2025,Total production: GWh,6720.999999999998
Armenia,Armenia,2026,Demand: GWh,6792.000000000008
Armenia,Armenia,2026,Surplus generation: GWh,0.6530223175447325
Armenia,Armenia,2026,Total Demand: GWh,6792.000000000008
Armenia,Armenia,2026,Total production: GWh,6792.653022317541
Armenia,Armenia,2027,Demand: GWh,6861.999999999994
Armenia,Armenia,2027,Surplus generation: GWh,70.00727850247254
Armenia,Armenia,2027,Total Demand: GWh,6861.999999999994
Armenia,Armenia,2027,Total production: GWh,6932.007278502464
Armenia,Armenia,2028,Demand: GWh,6932.999999999995
Armenia,Armenia,2028,Surplus generation: GWh,78.22462237234917
Armenia,Armenia,2028,Total Demand: GWh,6932.999999999995
Armenia,Armenia,2028,Total production: GWh,7011.224622372338
Armenia,Armenia,2029,Demand: GWh,7004.000000000001
Armenia,Armenia,2029,Surplus generation: GWh,86.46895914657657
Armenia,Armenia,2029,Total Demand: GWh,7004.000000000001
Armenia,Armenia,2029,Total production: GWh,7090.468959146578
Armenia,Armenia,2030,Demand: GWh,7074.999999999987
Armenia,Armenia,2030,Surplus generation: GWh,95.02030644896192
Armenia,Armenia,2030,Total Demand: GWh,7074.999999999987
Armenia,Armenia,2030,Total production: GWh,7170.020306448947
Armenia,Armenia,2031,Demand: GWh,7154.999999999986
Armenia,Armenia,2031,Surplus generation: GWh,91.11459626717038
Armenia,Armenia,2031,Total Demand: GWh,7154.999999999986
Armenia,Armenia,2031,Total production: GWh,7246.114596267154
Armenia,Armenia,2032,Demand: GWh,7234.999999999995
Armenia,Armenia,2032,Surplus generation: GWh,87.21584026203094
Armenia,Armenia,2032,Total Demand: GWh,7234.999999999995
Armenia,Armenia,2032,Total production: GWh,7322.215840262026
Armenia,Armenia,2033,Demand: GWh,7314.999999999995
Armenia,Armenia,2033,Surplus generation: GWh,83.49776539103034
Armenia,Armenia,2033,Total Demand: GWh,7314.999999999995
Armenia,Armenia,2033,Total production: GWh,7398.497765391023
Armenia,Armenia,2034,Demand: GWh,7393.999999999999
Armenia,Armenia,2034,Surplus generation: GWh,80.03386064217662
