c,z,attribute,y,uni,value
Libya,Libya,CapexInvestmentComponent,2028,Generation,1247931429.024
Libya,Libya,CapexInvestmentComponent,2028,StorageEnergy,612713826.2
Libya,Libya,CapexInvestmentComponent,2029,Generation,328000000.0
Libya,Libya,CapexInvestmentComponent,2029,StorageEnergy,575553054.3
Libya,Libya,CapexInvestmentComponent,2030,Generation,320000000.0
Libya,Libya,CapexInvestmentComponent,2030,StorageEnergy,538392282.4000001
Libya,Libya,CapexInvestmentComponent,2031,Generation,816350000.0
Libya,Libya,CapexInvestmentComponent,2031,StorageEnergy,521567523.81999993
Libya,Libya,CapexInvestmentComponent,2032,Generation,801800000.0
Libya,Libya,CapexInvestmentComponent,2032,StorageEnergy,504742765.24
Libya,Libya,CapexInvestmentComponent,2033,Generation,787250000.0
Libya,Libya,CapexInvestmentComponent,2033,StorageEnergy,487918005.68000007
Libya,Libya,CapexInvestmentComponent,2034,Generation,772700000.0
Libya,Libya,CapexInvestmentComponent,2034,StorageEnergy,471093247.1
Libya,Libya,CapexInvestmentComponent,2035,Generation,1865578571.52
Libya,Libya,CapexInvestmentComponent,2035,StorageEnergy,454268488.52
Libya,Libya,CapexInvestmentComponent,2036,Generation,1833578571.52
Libya,Libya,CapexInvestmentComponent,2036,StorageEnergy,437443729.94000006
Libya,Libya,CapexInvestmentComponent,2037,Generation,1795028571.52
Libya,Libya,CapexInvestmentComponent,2037,StorageEnergy,420618971.36
Libya,Libya,CapexInvestmentComponent,2038,Generation,1488582142.67
Libya,Libya,CapexInvestmentComponent,2038,StorageEnergy,403794212.78
Libya,Libya,CapexInvestmentComponent,2039,Generation,1714957142.72
Libya,Libya,CapexInvestmentComponent,2039,StorageEnergy,386969454.2000001
Libya,Libya,CapexInvestmentComponent,2040,Generation,2608357142.7200003
Libya,Libya,CapexInvestmentComponent,2040,StorageEnergy,740289389.28
Libya,Libya,CapexInvestmentComponent,2041,Generation,2556784343.03
Libya,Libya,CapexInvestmentComponent,2041,StorageEnergy,713064464.0
Libya,Libya,CapexInvestmentComponent,2042,Generation,2243770612.59
Libya,Libya,CapexInvestmentComponent,2042,StorageEnergy,686840767.48
Libya,Libya,CapexInvestmentComponent,2043,Generation,2195570254.98
Libya,Libya,CapexInvestmentComponent,2043,StorageEnergy,661581473.28
Libya,Libya,CapexInvestmentComponent,2044,Generation,2148568630.47
Libya,Libya,CapexInvestmentComponent,2044,StorageEnergy,637251117.16
Libya,Libya,CapexInvestmentComponent,2045,Generation,2101007950.41
Libya,Libya,CapexInvestmentComponent,2045,StorageEnergy,613815534.36
Libya,Libya,CapexInvestmentComponent,2046,Generation,2058033115.74
Libya,Libya,CapexInvestmentComponent,2046,StorageEnergy,591241820.4
Libya,Libya,CapexInvestmentComponent,2047,Generation,2014437669.69
Libya,Libya,CapexInvestmentComponent,2047,StorageEnergy,569498278.1600001
Libya,Libya,CapexInvestmentComponent,2048,Generation,1971917406.71
Libya,Libya,CapexInvestmentComponent,2048,StorageEnergy,274277189.34000003
Libya,Libya,CapexInvestmentComponent,2049,Generation,1930417006.46
Libya,Libya,CapexInvestmentComponent,2049,StorageEnergy,264190356.08
Libya,Libya,CapexInvestmentComponent,2050,Generation,1889051568.27
Libya,Libya,CapexInvestmentComponent,2050,StorageEnergy,254474477.32
Libya,Libya,CapexInvestmentComponentCumulated,2028,Generation,1247931429.024
Libya,Libya,CapexInvestmentComponentCumulated,2028,StorageEnergy,612713826.2
Libya,Libya,CapexInvestmentComponentCumulated,2029,Generation,1575931429.024
Libya,Libya,CapexInvestmentComponentCumulated,2029,StorageEnergy,1188266880.5
Libya,Libya,CapexInvestmentComponentCumulated,2030,Generation,1895931429.024
Libya,Libya,CapexInvestmentComponentCumulated,2030,StorageEnergy,1726659162.9
Libya,Libya,CapexInvestmentComponentCumulated,2031,Generation,2712281429.024
Libya,Libya,CapexInvestmentComponentCumulated,2031,StorageEnergy,2248226686.7200003
Libya,Libya,CapexInvestmentComponentCumulated,2032,Generation,3514081429.024
Libya,Libya,CapexInvestmentComponentCumulated,2032,StorageEnergy,2752969451.96
Libya,Libya,CapexInvestmentComponentCumulated,2033,Generation,4301331429.024
Libya,Libya,CapexInvestmentComponentCumulated,2033,StorageEnergy,3240887457.6400003
Libya,Libya,CapexInvestmentComponentCumulated,2034,Generation,5074031429.024
Libya,Libya,CapexInvestmentComponentCumulated,2034,StorageEnergy,3711980704.74
Libya,Libya,CapexInvestmentComponentCumulated,2035,Generation,6939610000.544
Libya,Libya,CapexInvestmentComponentCumulated,2035,StorageEnergy,4166249193.26
Libya,Libya,CapexInvestmentComponentCumulated,2036,Generation,8773188572.064
Libya,Libya,CapexInvestmentComponentCumulated,2036,StorageEnergy,4603692923.2
Libya,Libya,CapexInvestmentComponentCumulated,2037,Generation,10568217143.584
Libya,Libya,CapexInvestmentComponentCumulated,2037,StorageEnergy,5024311894.56
Libya,Libya,CapexInvestmentComponentCumulated,2038,Generation,12056799286.254
Libya,Libya,CapexInvestmentComponentCumulated,2038,StorageEnergy,5428106107.34
Libya,Libya,CapexInvestmentComponentCumulated,2039,Generation,13771756428.974
Libya,Libya,CapexInvestmentComponentCumulated,2039,StorageEnergy,5815075561.54
Libya,Libya,CapexInvestmentComponentCumulated,2040,Generation,16380113571.694
Libya,Libya,CapexInvestmentComponentCumulated,2040,StorageEnergy,6555364950.82
Libya,Libya,CapexInvestmentComponentCumulated,2041,Generation,18936897914.724
Libya,Libya,CapexInvestmentComponentCumulated,2041,StorageEnergy,7268429414.82
Libya,Libya,CapexInvestmentComponentCumulated,2042,Generation,21180668527.314
Libya,Libya,CapexInvestmentComponentCumulated,2042,StorageEnergy,7955270182.3
Libya,Libya,CapexInvestmentComponentCumulated,2043,Generation,23376238782.294
Libya,Libya,CapexInvestmentComponentCumulated,2043,StorageEnergy,8616851655.58
Libya,Libya,CapexInvestmentComponentCumulated,2044,Generation,25524807412.764
Libya,Libya,CapexInvestmentComponentCumulated,2044,StorageEnergy,9254102772.74
Libya,Libya,CapexInvestmentComponentCumulated,2045,Generation,27625815363.174
Libya,Libya,CapexInvestmentComponentCumulated,2045,StorageEnergy,9867918307.1
Libya,Libya,CapexInvestmentComponentCumulated,2046,Generation,29683848478.914
Libya,Libya,CapexInvestmentComponentCumulated,2046,StorageEnergy,10459160127.5
Libya,Libya,CapexInvestmentComponentCumulated,2047,Generation,31698286148.604
Libya,Libya,CapexInvestmentComponentCumulated,2047,StorageEnergy,11028658405.66
Libya,Libya,CapexInvestmentComponentCumulated,2048,Generation,33670203555.314
Libya,Libya,CapexInvestmentComponentCumulated,2048,StorageEnergy,11302935595.0
Libya,Libya,CapexInvestmentComponentCumulated,2049,Generation,35600620561.774
Libya,Libya,CapexInvestmentComponentCumulated,2049,StorageEnergy,11567125951.08
Libya,Libya,CapexInvestmentComponentCumulated,2050,Generation,37489672130.044
Libya,Libya,CapexInvestmentComponentCumulated,2050,StorageEnergy,11821600428.4
