z,f,y,value
Gambia,HFO,2025,0.2242503852871446
Gambia,HFO,2030,0.22867657001427827
Gambia,LFO,2025,0.5000051681978703
Gambia,LFO,2030,0.3693533348142245
Gambia,Solar,2025,0.22824610641223275
Gambia,Solar,2030,0.22705214902658302
Gambia,Battery,2025,0.0025326186000754775
Gambia,Battery,2030,0.16674482025066828
Gambia,Import,2025,0.7793973344630288
Gambia,Import,2030,0.2096572600249386
Gambia,Gas,2030,0.8032719563127727
