c,z,attribute,y,uni,value
Libya,Libya,NetImport,2026,Egypt,1314.0
Libya,Libya,NetImport,2026,Tunisia,100.71582633094988
Libya,Libya,NetImport,2028,Egypt,1314.0
Libya,Libya,NetImport,2028,Tunisia,876.0
Libya,Libya,NetImport,2030,Egypt,1314.0
Libya,Libya,NetImport,2030,Tunisia,876.0
Libya,Libya,NetImport,2032,Egypt,1314.0
Libya,Libya,NetImport,2032,Tunisia,876.0
Libya,Libya,NetImport,2034,Egypt,1314.0
Libya,Libya,NetImport,2034,Tunisia,876.0
Libya,Libya,NetImport,2036,Egypt,1314.0
Libya,Libya,NetImport,2036,Tunisia,876.0
Libya,Libya,NetImport,2038,Egypt,1314.0
Libya,Libya,NetImport,2038,Tunisia,876.0
Libya,Libya,NetImport,2040,Egypt,1314.0
Libya,Libya,NetImport,2040,Tunisia,876.0
Libya,Libya,NetImport,2042,Egypt,1314.0
Libya,Libya,NetImport,2042,Tunisia,876.0
Libya,Libya,NetImport,2044,Egypt,1314.0
Libya,Libya,NetImport,2044,Tunisia,734.1
Libya,Libya,NetImport,2046,Egypt,1296.5367662095932
Libya,Libya,NetImport,2046,Tunisia,647.0247737660599
Libya,Libya,NetImport,2048,Egypt,1268.1
Libya,Libya,NetImport,2048,Tunisia,585.0
Libya,Libya,NetImport,2050,Egypt,1166.0519355599777
Libya,Libya,NetImport,2050,Tunisia,501.5008905273001
