z,uni,y,value
Kenya,Available capacity: MW,2024,4064.674342527997
Kenya,Available capacity: MW,2030,4630.543892926614
Kenya,Available capacity: MW,2036,4422.069774389034
Kenya,Peak demand: MW,2024,2268.0
Kenya,Peak demand: MW,2030,3099.0
Kenya,Peak demand: MW,2036,4333.0
Kenya,Peak demand including P to H2: MW,2024,1e-06
Kenya,Peak demand including P to H2: MW,2030,1e-06
Kenya,Peak demand including P to H2: MW,2036,1e-06
Kenya,New capacity: MW,2024,399.67434252799694
Kenya,New capacity: MW,2030,565.8708885301062
Kenya,New capacity: MW,2036,157.53185158752385
Kenya,Retired capacity: MW,2036,366.0
Kenya,Committed Total TX capacity: MW,2024,1675.0
Kenya,Committed Total TX capacity: MW,2030,2195.0
Kenya,Committed Total TX capacity: MW,2036,3095.0
Burundi,Available capacity: MW,2024,155.70020330095502
Burundi,Available capacity: MW,2030,447.04862655703135
Burundi,Available capacity: MW,2036,1031.7187717270604
Burundi,Peak demand: MW,2024,185.5694333
Burundi,Peak demand: MW,2030,387.4581722
Burundi,Peak demand: MW,2036,517.360042
Burundi,Peak demand including P to H2: MW,2024,1e-06
Burundi,Peak demand including P to H2: MW,2030,1e-06
Burundi,Peak demand including P to H2: MW,2036,1e-06
Burundi,New capacity: MW,2024,16.000203300955036
Burundi,New capacity: MW,2030,291.3485261892678
Burundi,New capacity: MW,2036,584.6725126334323
Burundi,Committed Total TX capacity: MW,2024,27.0
Burundi,Committed Total TX capacity: MW,2030,27.0
Burundi,Committed Total TX capacity: MW,2036,27.0
Djibouti,Available capacity: MW,2024,174.40299765675942
Djibouti,Available capacity: MW,2030,284.5998851304935
Djibouti,Available capacity: MW,2036,329.2421073129699
Djibouti,Peak demand: MW,2024,153.1999755
Djibouti,Peak demand: MW,2030,229.7999633
Djibouti,Peak demand: MW,2036,354.0058939
Djibouti,Peak demand including P to H2: MW,2024,1e-06
Djibouti,Peak demand including P to H2: MW,2030,1e-06
Djibouti,Peak demand including P to H2: MW,2036,1e-06
Djibouti,New capacity: MW,2024,0.0029976567594321
Djibouti,New capacity: MW,2030,126.1969904069255
Djibouti,New capacity: MW,2036,69.64294271481683
Djibouti,Retired capacity: MW,2024,13.0
Djibouti,Retired capacity: MW,2030,16.0
Djibouti,Retired capacity: MW,2036,25.0
Djibouti,Committed Total TX capacity: MW,2024,95.0
Djibouti,Committed Total TX capacity: MW,2030,160.0
Djibouti,Committed Total TX capacity: MW,2036,160.0
Drc_E,Available capacity: MW,2024,94.80526211010474
Drc_E,Available capacity: MW,2030,141.71858080201525
Drc_E,Available capacity: MW,2036,142.18184026944814
Drc_E,Peak demand: MW,2024,103.1474234
Drc_E,Peak demand: MW,2030,135.4370515
Drc_E,Peak demand: MW,2036,169.1128506
Drc_E,Peak demand including P to H2: MW,2024,1e-06
Drc_E,Peak demand including P to H2: MW,2030,1e-06
Drc_E,Peak demand including P to H2: MW,2036,1e-06
Drc_E,New capacity: MW,2024,54.80526211010473
Drc_E,New capacity: MW,2030,46.91373042467631
Drc_E,New capacity: MW,2036,0.4642887993473953
Drc_E,Committed Total TX capacity: MW,2024,12.0
Drc_E,Committed Total TX capacity: MW,2030,112.0
Drc_E,Committed Total TX capacity: MW,2036,112.0
Egypt,Available capacity: MW,2024,56251.0
Egypt,Available capacity: MW,2030,55784.05648346346
Egypt,Available capacity: MW,2036,60891.94223387145
Egypt,Peak demand: MW,2024,33650.0
Egypt,Peak demand: MW,2030,42187.0
Egypt,Peak demand: MW,2036,49535.0
Egypt,Peak demand including P to H2: MW,2024,1e-06
Egypt,Peak demand including P to H2: MW,2030,1e-06
Egypt,Peak demand including P to H2: MW,2036,1e-06
Egypt,New capacity: MW,2030,2400.056483463452
Egypt,New capacity: MW,2036,9895.88698560674
Egypt,Retired capacity: MW,2024,1955.0
Egypt,Retired capacity: MW,2030,2867.0
Egypt,Retired capacity: MW,2036,4788.0
Egypt,Committed Total TX capacity: MW,2024,480.0
Egypt,Committed Total TX capacity: MW,2030,480.0
Egypt,Committed Total TX capacity: MW,2036,480.0
Ethiopia,Available capacity: MW,2024,5323.032596509649
Ethiopia,Available capacity: MW,2030,13640.19098392224
Ethiopia,Available capacity: MW,2036,16628.076878532334
Ethiopia,Peak demand: MW,2024,3275.0
Ethiopia,Peak demand: MW,2030,6260.0
Ethiopia,Peak demand: MW,2036,10336.0
Ethiopia,Peak demand including P to H2: MW,2024,1e-06
Ethiopia,Peak demand including P to H2: MW,2030,1e-06
Ethiopia,Peak demand including P to H2: MW,2036,1e-06
Ethiopia,New capacity: MW,2024,0.0325965096492219
Ethiopia,New capacity: MW,2030,8317.159313811313
Ethiopia,New capacity: MW,2036,3069.8909383364758
Ethiopia,Retired capacity: MW,2024,246.0
Ethiopia,Retired capacity: MW,2036,82.0
Ethiopia,Committed Total TX capacity: MW,2024,440.0
Ethiopia,Committed Total TX capacity: MW,2030,825.0
Ethiopia,Committed Total TX capacity: MW,2036,1725.0
Libya,Available capacity: MW,2024,8432.0
Libya,Available capacity: MW,2030,14667.05710607295
Libya,Available capacity: MW,2036,19566.71125482557
Libya,Peak demand: MW,2024,9404.171933439991
Libya,Peak demand: MW,2030,13294.579449097446
Libya,Peak demand: MW,2036,17748.79599959543
Libya,Peak demand including P to H2: MW,2024,1e-06
Libya,Peak demand including P to H2: MW,2030,1e-06
Libya,Peak demand including P to H2: MW,2036,1e-06
Libya,New capacity: MW,2030,7520.057106072952
Libya,New capacity: MW,2036,4899.654766351781
Libya,Retired capacity: MW,2024,1434.0
Libya,Retired capacity: MW,2030,1285.0
Libya,Committed Total TX capacity: MW,2024,180.0
Libya,Committed Total TX capacity: MW,2030,180.0
Libya,Committed Total TX capacity: MW,2036,180.0
Rwanda,Available capacity: MW,2024,323.97507728672747
Rwanda,Available capacity: MW,2030,386.6398432374387
Rwanda,Available capacity: MW,2036,500.158462233422
Rwanda,Peak demand: MW,2024,224.0
Rwanda,Peak demand: MW,2030,397.0
Rwanda,Peak demand: MW,2036,704.0
Rwanda,Peak demand including P to H2: MW,2024,1e-06
Rwanda,Peak demand including P to H2: MW,2030,1e-06
Rwanda,Peak demand including P to H2: MW,2036,1e-06
Rwanda,New capacity: MW,2024,0.1750772867273988
Rwanda,New capacity: MW,2030,62.66600114900847
Rwanda,New capacity: MW,2036,121.8218099249183
Rwanda,Retired capacity: MW,2036,8.3
Rwanda,Committed Total TX capacity: MW,2024,408.0
Rwanda,Committed Total TX capacity: MW,2030,508.0
Rwanda,Committed Total TX capacity: MW,2036,508.0
Somaliland,Available capacity: MW,2030,43.84659936853843
Somaliland,Available capacity: MW,2036,346.03070801797594
Somaliland,Peak demand: MW,2024,23.0
Somaliland,Peak demand: MW,2030,80.0
Somaliland,Peak demand: MW,2036,283.0
Somaliland,Peak demand including P to H2: MW,2024,1e-06
Somaliland,Peak demand including P to H2: MW,2030,1e-06
Somaliland,Peak demand including P to H2: MW,2036,1e-06
Somaliland,New capacity: MW,2030,43.84659936853843
Somaliland,New capacity: MW,2036,302.1848291817886
Somaliland,Retired capacity: MW,2024,52.2
Somaliland,Committed Total TX capacity: MW,2030,100.0
Somaliland,Committed Total TX capacity: MW,2036,100.0
Mogadishu,Available capacity: MW,2030,112.10689095428026
Mogadishu,Available capacity: MW,2036,356.05321565058205
Mogadishu,Peak demand: MW,2024,23.0
Mogadishu,Peak demand: MW,2030,92.0
Mogadishu,Peak demand: MW,2036,317.0
Mogadishu,Peak demand including P to H2: MW,2024,1e-06
Mogadishu,Peak demand including P to H2: MW,2030,1e-06
Mogadishu,Peak demand including P to H2: MW,2036,1e-06
Mogadishu,New capacity: MW,2030,112.10689095428026
Mogadishu,New capacity: MW,2036,243.9470452286716
Mogadishu,Retired capacity: MW,2024,14.4
SomaliaROC,Available capacity: MW,2030,66.2598743199531
SomaliaROC,Available capacity: MW,2036,277.14642173523595
SomaliaROC,Peak demand: MW,2024,21.0
SomaliaROC,Peak demand: MW,2030,30.0
SomaliaROC,Peak demand: MW,2036,211.0
SomaliaROC,Peak demand including P to H2: MW,2024,1e-06
SomaliaROC,Peak demand including P to H2: MW,2030,1e-06
SomaliaROC,Peak demand including P to H2: MW,2036,1e-06
SomaliaROC,New capacity: MW,2030,66.2598743199531
SomaliaROC,New capacity: MW,2036,210.8873708808137
SomaliaROC,Retired capacity: MW,2024,23.7
SouthSudan,Available capacity: MW,2024,91.0
SouthSudan,Available capacity: MW,2030,834.6520972402648
SouthSudan,Available capacity: MW,2036,962.1979436477492
SouthSudan,Peak demand: MW,2024,551.1265813
SouthSudan,Peak demand: MW,2030,799.835317
SouthSudan,Peak demand: MW,2036,1067.725878
SouthSudan,Peak demand including P to H2: MW,2024,1e-06
SouthSudan,Peak demand including P to H2: MW,2030,1e-06
SouthSudan,Peak demand including P to H2: MW,2036,1e-06
SouthSudan,New capacity: MW,2030,743.6520972402648
SouthSudan,New capacity: MW,2036,127.5472874721647
SouthSudan,Committed Total TX capacity: MW,2024,12.0
SouthSudan,Committed Total TX capacity: MW,2030,12.0
SouthSudan,Committed Total TX capacity: MW,2036,12.0
Sudan,Available capacity: MW,2024,3555.0
Sudan,Available capacity: MW,2030,6987.495632116157
Sudan,Available capacity: MW,2036,8147.116669126693
Sudan,Peak demand: MW,2024,5141.542233425785
Sudan,Peak demand: MW,2030,7007.7410714873695
Sudan,Peak demand: MW,2036,9551.538663327185
Sudan,Peak demand including P to H2: MW,2024,1e-06
Sudan,Peak demand including P to H2: MW,2030,1e-06
Sudan,Peak demand including P to H2: MW,2036,1e-06
Sudan,New capacity: MW,2030,3890.495632116156
Sudan,New capacity: MW,2036,1909.62196340926
Sudan,Retired capacity: MW,2024,212.0
Sudan,Retired capacity: MW,2030,458.0
Sudan,Retired capacity: MW,2036,750.0
Sudan,Committed Total TX capacity: MW,2024,552.0
Sudan,Committed Total TX capacity: MW,2030,552.0
Sudan,Committed Total TX capacity: MW,2036,552.0
Tanzania,Available capacity: MW,2024,2210.6306796785025
Tanzania,Available capacity: MW,2030,6318.433881536781
Tanzania,Available capacity: MW,2036,9616.283593833838
Tanzania,Peak demand: MW,2024,2084.819191
Tanzania,Peak demand: MW,2030,4355.357771
Tanzania,Peak demand: MW,2036,8237.369202
Tanzania,Peak demand including P to H2: MW,2024,1e-06
Tanzania,Peak demand including P to H2: MW,2030,1e-06
Tanzania,Peak demand including P to H2: MW,2036,1e-06
Tanzania,New capacity: MW,2024,0.0306796785025326
Tanzania,New capacity: MW,2030,4107.80330479147
Tanzania,New capacity: MW,2036,3305.857329353181
Tanzania,Retired capacity: MW,2024,49.0
Tanzania,Retired capacity: MW,2036,8.0
Tanzania,Committed Total TX capacity: MW,2024,1597.0
Tanzania,Committed Total TX capacity: MW,2030,1597.0
Tanzania,Committed Total TX capacity: MW,2036,3097.0
Uganda,Available capacity: MW,2024,1997.3001941409395
Uganda,Available capacity: MW,2030,2242.841241091172
Uganda,Available capacity: MW,2036,2708.020244345444
Uganda,Peak demand: MW,2024,1025.0
Uganda,Peak demand: MW,2030,1644.0
Uganda,Peak demand: MW,2036,2293.0
Uganda,Peak demand including P to H2: MW,2024,1e-06
Uganda,Peak demand including P to H2: MW,2030,1e-06
Uganda,Peak demand including P to H2: MW,2036,1e-06
Uganda,New capacity: MW,2024,8.000194140939355
Uganda,New capacity: MW,2030,245.54114988342388
Uganda,New capacity: MW,2036,465.1831205819304
Uganda,Retired capacity: MW,2024,5.0
Uganda,Committed Total TX capacity: MW,2024,482.0
Uganda,Committed Total TX capacity: MW,2030,782.0
Uganda,Committed Total TX capacity: MW,2036,2282.0
