z,uni,y,value
Kenya,Annualized capex: $m,2024,373.1246457863072
Kenya,Annualized capex: $m,2030,464.85476716559793
Kenya,Annualized capex: $m,2036,453.1655433516895
Kenya,Fixed O&M: $m,2024,206.44082626231457
Kenya,Fixed O&M: $m,2030,239.7213358212813
Kenya,Fixed O&M: $m,2036,225.7951397342217
Kenya,Variable O&M: $m,2024,136.40631268133663
Kenya,Variable O&M: $m,2030,131.0379500065941
Kenya,Variable O&M: $m,2036,94.39441850099315
Kenya,Total fuel Costs: $m,2024,0.0086379328330659
Kenya,Total fuel Costs: $m,2030,0.0033144627334624
Kenya,Total fuel Costs: $m,2036,0.0042655489662091
Kenya,Transmission additions: $m,2036,2.3549427951448605e-05
Kenya,Spinning Reserve costs: $m,2024,9.151989012723751
Kenya,Spinning Reserve costs: $m,2030,9.151863177507703
Kenya,Spinning Reserve costs: $m,2036,9.151938159049015
Kenya,Unmet demand costs: $m,2024,0.0006576574457177
Kenya,Unmet demand costs: $m,2030,0.0002705328556814
Kenya,Unmet demand costs: $m,2036,0.0003449570651558
Kenya,Excess generation: $m,2024,0.000380630432458
Kenya,Excess generation: $m,2030,0.0001162676052856
Kenya,Excess generation: $m,2036,0.0001544662846974
Kenya,Unmet reserve costs: $m,2024,0.0006446289403227
Kenya,Unmet reserve costs: $m,2030,0.0001307483277197
Kenya,Unmet reserve costs: $m,2036,95.75304275398896
Kenya,Unmet system reserve costs: $m,2024,3.8986134561924966e-05
Kenya,Unmet system reserve costs: $m,2030,8.086619297656136e-06
Kenya,Unmet system reserve costs: $m,2036,1.3683493434124516e-05
Kenya,Import costs with internal zones: $m,2024,79.2961831193984
Kenya,Import costs with internal zones: $m,2030,103.69936500094002
Kenya,Import costs with internal zones: $m,2036,273.61507469338994
Kenya,Export revenues with internal zones: $m,2024,-203.737492982591
Kenya,Export revenues with internal zones: $m,2030,-132.1602719212588
Kenya,Export revenues with internal zones: $m,2036,-70.81046178031133
Kenya,Trade shared benefits: $m,2024,-27.48576882731272
Kenya,Trade shared benefits: $m,2030,-53.56648698157445
Kenya,Trade shared benefits: $m,2036,-30.05762840378345
Burundi,Annualized capex: $m,2024,22.133209859582188
Burundi,Annualized capex: $m,2030,36.6048716629083
Burundi,Annualized capex: $m,2036,68.73313861228527
Burundi,Fixed O&M: $m,2024,5.550008132038201
Burundi,Fixed O&M: $m,2030,12.54410871190434
Burundi,Fixed O&M: $m,2036,28.33084153396433
Burundi,Variable O&M: $m,2024,1.995969575483924
Burundi,Variable O&M: $m,2030,8.147072608411436
Burundi,Variable O&M: $m,2036,20.991233456171507
Burundi,Total fuel Costs: $m,2024,63.59832036617118
Burundi,Total fuel Costs: $m,2030,0.0006882233405767
Burundi,Total fuel Costs: $m,2036,0.0010463945603415
Burundi,Transmission additions: $m,2036,2.681093241321513
Burundi,Spinning Reserve costs: $m,2024,0.8672661575776887
Burundi,Spinning Reserve costs: $m,2030,0.888395653373209
Burundi,Spinning Reserve costs: $m,2036,0.8884826381701904
Burundi,Unmet demand costs: $m,2024,31.1195772112326
Burundi,Unmet demand costs: $m,2030,0.0001823275021299
Burundi,Unmet demand costs: $m,2036,0.0002170546586513
Burundi,Excess generation: $m,2024,8.22704434082437e-05
Burundi,Excess generation: $m,2030,0.0001222692744561
Burundi,Excess generation: $m,2036,0.0001523881743814
Burundi,Unmet reserve costs: $m,2024,5.365851021028076
