z,y,tech,f,value
Angola,2025,BiomassPlant,Battery,0.0
Angola,2025,BiomassPlant,Biomass,0.0
Angola,2025,BiomassPlant,CSP,0.0
Angola,2025,BiomassPlant,Coal,0.0
Angola,2025,BiomassPlant,Diesel,0.0
Angola,2025,BiomassPlant,Gas,0.0
Angola,2025,BiomassPlant,Geothermal,0.0
Angola,2025,BiomassPlant,HFO,0.0
Angola,2025,BiomassPlant,LNG,0.0
Angola,2025,BiomassPlant,Solar,0.0
Angola,2025,BiomassPlant,Uranium,0.0
Angola,2025,BiomassPlant,Water,0.0
Angola,2025,BiomassPlant,Wind,0.0
Angola,2025,CSPPlant,Battery,0.0
Angola,2025,CSPPlant,Biomass,0.0
Angola,2025,CSPPlant,CSP,0.0
Angola,2025,CSPPlant,Coal,0.0
Angola,2025,CSPPlant,Diesel,0.0
Angola,2025,CSPPlant,Gas,0.0
Angola,2025,CSPPlant,Geothermal,0.0
Angola,2025,CSPPlant,HFO,0.0
Angola,2025,CSPPlant,LNG,0.0
Angola,2025,CSPPlant,Solar,0.0
Angola,2025,CSPPlant,Uranium,0.0
Angola,2025,CSPPlant,Water,0.0
Angola,2025,CSPPlant,Wind,0.0
Angola,2025,OffshoreWind,Battery,0.0
Angola,2025,OffshoreWind,Biomass,0.0
Angola,2025,OffshoreWind,CSP,0.0
Angola,2025,OffshoreWind,Coal,0.0
Angola,2025,OffshoreWind,Diesel,0.0
Angola,2025,OffshoreWind,Gas,0.0
Angola,2025,OffshoreWind,Geothermal,0.0
Angola,2025,OffshoreWind,HFO,0.0
Angola,2025,OffshoreWind,LNG,0.0
Angola,2025,OffshoreWind,Solar,0.0
Angola,2025,OffshoreWind,Uranium,0.0
Angola,2025,OffshoreWind,Water,0.0
Angola,2025,OffshoreWind,Wind,0.0
Angola,2025,OnshoreWind,Battery,0.0
Angola,2025,OnshoreWind,Biomass,0.0
Angola,2025,OnshoreWind,CSP,0.0
Angola,2025,OnshoreWind,Coal,0.0
Angola,2025,OnshoreWind,Diesel,0.0
Angola,2025,OnshoreWind,Gas,0.0
Angola,2025,OnshoreWind,Geothermal,0.0
Angola,2025,OnshoreWind,HFO,0.0
Angola,2025,OnshoreWind,LNG,0.0
Angola,2025,OnshoreWind,Solar,0.0
Angola,2025,OnshoreWind,Uranium,0.0
Angola,2025,OnshoreWind,Water,0.0
Angola,2025,OnshoreWind,Wind,0.0
Angola,2025,PV,Battery,0.0
Angola,2025,PV,Biomass,0.0
Angola,2025,PV,CSP,0.0
Angola,2025,PV,Coal,0.0
Angola,2025,PV,Diesel,0.0
Angola,2025,PV,Gas,0.0
Angola,2025,PV,Geothermal,0.0
Angola,2025,PV,HFO,0.0
Angola,2025,PV,LNG,0.0
Angola,2025,PV,Solar,0.1645061916815565
Angola,2025,PV,Uranium,0.0
Angola,2025,PV,Water,0.0
Angola,2025,PV,Wind,0.0
Angola,2025,ROR,Battery,0.0
Angola,2025,ROR,Biomass,0.0
Angola,2025,ROR,CSP,0.0
Angola,2025,ROR,Coal,0.0
Angola,2025,ROR,Diesel,0.0
Angola,2025,ROR,Gas,0.0
Angola,2025,ROR,Geothermal,0.0
Angola,2025,ROR,HFO,0.0
Angola,2025,ROR,LNG,0.0
Angola,2025,ROR,Solar,0.0
Angola,2025,ROR,Uranium,0.0
Angola,2025,ROR,Water,0.0
Angola,2025,ROR,Wind,0.0
Angola,2025,ReservoirHydro,Battery,0.0
Angola,2025,ReservoirHydro,Biomass,0.0
Angola,2025,ReservoirHydro,CSP,0.0
Angola,2025,ReservoirHydro,Coal,0.0
Angola,2025,ReservoirHydro,Diesel,0.0
Angola,2025,ReservoirHydro,Gas,0.0
Angola,2025,ReservoirHydro,Geothermal,0.0
Angola,2025,ReservoirHydro,HFO,0.0
Angola,2025,ReservoirHydro,LNG,0.0
Angola,2025,ReservoirHydro,Solar,0.0
Angola,2025,ReservoirHydro,Uranium,0.0
Angola,2025,ReservoirHydro,Water,0.5145953881034555
Angola,2025,ReservoirHydro,Wind,0.0
Angola,2025,STOPV,Battery,0.0
Angola,2025,STOPV,Biomass,0.0
Angola,2025,STOPV,CSP,0.0
Angola,2025,STOPV,Coal,0.0
Angola,2025,STOPV,Diesel,0.0
Angola,2025,STOPV,Gas,0.0
Angola,2025,STOPV,Geothermal,0.0
Angola,2025,STOPV,HFO,0.0
Angola,2025,STOPV,LNG,0.0
Angola,2025,STOPV,Solar,0.0
Angola,2025,STOPV,Uranium,0.0
Angola,2025,STOPV,Water,0.0
Angola,2025,STOPV,Wind,0.0
Angola,2025,pvwsto,Battery,0.0
Angola,2025,pvwsto,Biomass,0.0
Angola,2025,pvwsto,CSP,0.0
Angola,2025,pvwsto,Coal,0.0
Angola,2025,pvwsto,Diesel,0.0
Angola,2025,pvwsto,Gas,0.0
Angola,2025,pvwsto,Geothermal,0.0
Angola,2025,pvwsto,HFO,0.0
Angola,2025,pvwsto,LNG,0.0
Angola,2025,pvwsto,Solar,0.0
Angola,2025,pvwsto,Uranium,0.0
Angola,2025,pvwsto,Water,0.0
Angola,2025,pvwsto,Wind,0.0
Angola,2026,BiomassPlant,Battery,0.0
Angola,2026,BiomassPlant,Biomass,0.0
Angola,2026,BiomassPlant,CSP,0.0
Angola,2026,BiomassPlant,Coal,0.0
Angola,2026,BiomassPlant,Diesel,0.0
Angola,2026,BiomassPlant,Gas,0.0
Angola,2026,BiomassPlant,Geothermal,0.0
Angola,2026,BiomassPlant,HFO,0.0
Angola,2026,BiomassPlant,LNG,0.0
Angola,2026,BiomassPlant,Solar,0.0
Angola,2026,BiomassPlant,Uranium,0.0
Angola,2026,BiomassPlant,Water,0.0
Angola,2026,BiomassPlant,Wind,0.0
Angola,2026,CSPPlant,Battery,0.0
Angola,2026,CSPPlant,Biomass,0.0
Angola,2026,CSPPlant,CSP,0.0
Angola,2026,CSPPlant,Coal,0.0
Angola,2026,CSPPlant,Diesel,0.0
Angola,2026,CSPPlant,Gas,0.0
Angola,2026,CSPPlant,Geothermal,0.0
Angola,2026,CSPPlant,HFO,0.0
Angola,2026,CSPPlant,LNG,0.0
Angola,2026,CSPPlant,Solar,0.0
Angola,2026,CSPPlant,Uranium,0.0
Angola,2026,CSPPlant,Water,0.0
Angola,2026,CSPPlant,Wind,0.0
Angola,2026,OffshoreWind,Battery,0.0
Angola,2026,OffshoreWind,Biomass,0.0
Angola,2026,OffshoreWind,CSP,0.0
Angola,2026,OffshoreWind,Coal,0.0
Angola,2026,OffshoreWind,Diesel,0.0
Angola,2026,OffshoreWind,Gas,0.0
Angola,2026,OffshoreWind,Geothermal,0.0
Angola,2026,OffshoreWind,HFO,0.0
Angola,2026,OffshoreWind,LNG,0.0
Angola,2026,OffshoreWind,Solar,0.0
Angola,2026,OffshoreWind,Uranium,0.0
Angola,2026,OffshoreWind,Water,0.0
Angola,2026,OffshoreWind,Wind,0.0
Angola,2026,OnshoreWind,Battery,0.0
Angola,2026,OnshoreWind,Biomass,0.0
Angola,2026,OnshoreWind,CSP,0.0
Angola,2026,OnshoreWind,Coal,0.0
Angola,2026,OnshoreWind,Diesel,0.0
Angola,2026,OnshoreWind,Gas,0.0
Angola,2026,OnshoreWind,Geothermal,0.0
Angola,2026,OnshoreWind,HFO,0.0
Angola,2026,OnshoreWind,LNG,0.0
Angola,2026,OnshoreWind,Solar,0.0
Angola,2026,OnshoreWind,Uranium,0.0
Angola,2026,OnshoreWind,Water,0.0
Angola,2026,OnshoreWind,Wind,0.0
Angola,2026,PV,Battery,0.0
Angola,2026,PV,Biomass,0.0
Angola,2026,PV,CSP,0.0
Angola,2026,PV,Coal,0.0
Angola,2026,PV,Diesel,0.0
Angola,2026,PV,Gas,0.0
Angola,2026,PV,Geothermal,0.0
Angola,2026,PV,HFO,0.0
Angola,2026,PV,LNG,0.0
Angola,2026,PV,Solar,0.1645061916815565
Angola,2026,PV,Uranium,0.0
Angola,2026,PV,Water,0.0
Angola,2026,PV,Wind,0.0
Angola,2026,ROR,Battery,0.0
Angola,2026,ROR,Biomass,0.0
Angola,2026,ROR,CSP,0.0
Angola,2026,ROR,Coal,0.0
Angola,2026,ROR,Diesel,0.0
Angola,2026,ROR,Gas,0.0
Angola,2026,ROR,Geothermal,0.0
Angola,2026,ROR,HFO,0.0
Angola,2026,ROR,LNG,0.0
Angola,2026,ROR,Solar,0.0
Angola,2026,ROR,Uranium,0.0
Angola,2026,ROR,Water,0.0
Angola,2026,ROR,Wind,0.0
Angola,2026,ReservoirHydro,Battery,0.0
Angola,2026,ReservoirHydro,Biomass,0.0
Angola,2026,ReservoirHydro,CSP,0.0
Angola,2026,ReservoirHydro,Coal,0.0
Angola,2026,ReservoirHydro,Diesel,0.0
Angola,2026,ReservoirHydro,Gas,0.0
Angola,2026,ReservoirHydro,Geothermal,0.0
Angola,2026,ReservoirHydro,HFO,0.0
Angola,2026,ReservoirHydro,LNG,0.0
Angola,2026,ReservoirHydro,Solar,0.0
Angola,2026,ReservoirHydro,Uranium,0.0
Angola,2026,ReservoirHydro,Water,0.5471050835227279
Angola,2026,ReservoirHydro,Wind,0.0
Angola,2026,STOPV,Battery,0.0
Angola,2026,STOPV,Biomass,0.0
Angola,2026,STOPV,CSP,0.0
Angola,2026,STOPV,Coal,0.0
Angola,2026,STOPV,Diesel,0.0
Angola,2026,STOPV,Gas,0.0
Angola,2026,STOPV,Geothermal,0.0
Angola,2026,STOPV,HFO,0.0
Angola,2026,STOPV,LNG,0.0
Angola,2026,STOPV,Solar,0.0
Angola,2026,STOPV,Uranium,0.0
Angola,2026,STOPV,Water,0.0
Angola,2026,STOPV,Wind,0.0
Angola,2026,pvwsto,Battery,0.0
Angola,2026,pvwsto,Biomass,0.0
Angola,2026,pvwsto,CSP,0.0
Angola,2026,pvwsto,Coal,0.0
Angola,2026,pvwsto,Diesel,0.0
Angola,2026,pvwsto,Gas,0.0
Angola,2026,pvwsto,Geothermal,0.0
Angola,2026,pvwsto,HFO,0.0
Angola,2026,pvwsto,LNG,0.0
