paramNames,baseline
modeltype,RMIP
cplexfile,cplex/cplex_baseline.opt
pSettings,pSettings.csv
y,y_alt.csv
zcmap,zcmap.csv
pHours,pHours.csv
pDemandProfile,load/pDemandProfile.csv
pDemandData,load/pDemandData.csv
pDemandForecast,load/pDemandForecast_sapp_adapted_v2_mozalout.csv
sRelevant,load/sRelevant.csv
pEnergyEfficiencyFactor,load/pEnergyEfficiencyFactor.csv
pGenDataInput,supply/pGenDataInput_SAPP_v3.csv
pGenDataInputDefault,supply/pGenDataInputDefault.csv
pAvailability,supply/pAvailabilityCustom.csv
pAvailabilityDefault,supply/pAvailabilityDefault.csv
pEvolutionAvailability,supply/pEvolutionAvailability.csv
pCapexTrajectories,supply/pCapexTrajectoriesCustom.csv
pCapexTrajectoriesDefault,supply/pCapexTrajectoriesDefault.csv
pCSPData,supply/pCSPData.csv
pFuelPrice,supply/pFuelPrice.csv
pVREgenProfile,supply/pVREgenProfile.csv
pVREProfile,supply/pVREProfile.csv
pStorageDataInput,supply/pStorageDataInput.csv
pPlanningReserveMargin,reserve/pPlanningReserveMargin.csv
pSpinningReserveReqCountry,reserve/pSpinningReserveReqCountry.csv
pSpinningReserveReqSystem,reserve/pSpinningReserveReqSystem.csv
pEmissionsTotal,constraint/pEmissionsTotal.csv
pEmissionsCountry,constraint/pEmissionsCountry.csv
pMaxFuellimit,constraint/pMaxFuellimit.csv
pCarbonPrice,constraint/pCarbonPrice.csv
zext,trade/zext.csv
pExtTransferLimit,trade/pExtTransferLimit.csv
pLossFactorInternal,trade/pLossFactorInternal.csv
pMaxAnnualExternalTradeShare,trade/pMaxAnnualExternalTradeShare.csv
pMaxAnnualInternalTradeShare,trade/pMaxAnnualInternalTradeShare.csv
pMinImport,trade/pMinImport_mozalout.csv
pMinGenByFuel,constraint/pMinGenerationByFuel.csv
pMaxGenerationByFuel,constraint/pMaxGenerationByFuel.csv
pMaxShareGenerationByTech,constraint/pMaxShareGenerationByTech.csv
pCountryBuildLimitY,constraint/pCountryBuildLimitYear_none.csv
pNewTransmission,trade/pNewTransmission.csv
pTradePrice,trade/pTradePrice.csv
pTransferLimit,trade/pTransferLimit_limitremove.csv
pH2DataExcel,h2/pH2DataExcel.csv
pAvailabilityH2,h2/pAvailabilityH2.csv
pCapexTrajectoryH2,h2/pCapexTrajectoryH2.csv
pExternalH2,h2/pExternalH2.csv
pFuelDataH2,h2/pFuelDataH2.csv
