c,z,y,uni,value
Armenia,Armenia,2025,Demand: GWh,6721.000000000002
Armenia,Armenia,2025,Total Demand: GWh,6721.000000000002
Armenia,Armenia,2025,Total production: GWh,6721.000000000002
Armenia,Armenia,2026,Demand: GWh,6792.000000000008
Armenia,Armenia,2026,Surplus generation: GWh,0.6530223175447325
Armenia,Armenia,2026,Total Demand: GWh,6792.000000000008
Armenia,Armenia,2026,Total production: GWh,6792.653022317543
Armenia,Armenia,2027,Demand: GWh,6861.999999999994
Armenia,Armenia,2027,Exports exchange: GWh,8681.230785803751
Armenia,Armenia,2027,Imports exchange: GWh,0.6791195509060951
Armenia,Armenia,2027,Net interchange Ratio: GWh,-1.2650177304361487
Armenia,Armenia,2027,Net interchange: GWh,-8680.551666252844
Armenia,Armenia,2027,Total Demand: GWh,6861.999999999994
Armenia,Armenia,2027,Total production: GWh,15542.565084903366
Armenia,Armenia,2028,Demand: GWh,6932.999999999995
Armenia,Armenia,2028,Exports exchange: GWh,8673.289275732495
Armenia,Armenia,2028,Imports exchange: GWh,0.601972822441111
Armenia,Armenia,2028,Net interchange Ratio: GWh,-1.2509285017899985
Armenia,Armenia,2028,Net interchange: GWh,-8672.687302910053
Armenia,Armenia,2028,Total Demand: GWh,6932.999999999995
Armenia,Armenia,2028,Total production: GWh,15605.699197226622
Armenia,Armenia,2029,Demand: GWh,7003.999999999999
Armenia,Armenia,2029,Exports exchange: GWh,8707.775807127167
Armenia,Armenia,2029,Imports exchange: GWh,0.5248260939761383
Armenia,Armenia,2029,Net interchange Ratio: GWh,-1.243182607229182
Armenia,Armenia,2029,Net interchange: GWh,-8707.25098103319
Armenia,Armenia,2029,Total Demand: GWh,7003.999999999999
Armenia,Armenia,2029,Total production: GWh,15711.26135101582
Armenia,Armenia,2030,Demand: GWh,7074.999999999987
Armenia,Armenia,2030,Exports exchange: GWh,8684.013852098793
Armenia,Armenia,2030,Imports exchange: GWh,0.5397366698478409
Armenia,Armenia,2030,Net interchange Ratio: GWh,-1.2273461647249415
Armenia,Armenia,2030,Net interchange: GWh,-8683.474115428946
Armenia,Armenia,2030,Total Demand: GWh,7074.999999999987
Armenia,Armenia,2030,Total production: GWh,15758.484780028026
