Zone,m,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Mozambique_Central,Q3,d3,0.7,0.73,0.68,0.67,0.67,0.67,0.66,0.73,0.79,0.87,0.91,0.92,0.91,0.87,0.85,0.84,0.85,0.85,0.81,0.8,0.8,0.79,0.78,0.69
Mozambique_Central,Q3,d4,0.71,0.72,0.7,0.68,0.68,0.68,0.7,0.77,0.83,0.9,0.92,0.94,0.92,0.9,0.88,0.88,0.88,0.88,0.83,0.83,0.8,0.8,0.79,0.72
Mozambique_Central,Q4,d1,0.73,0.7,0.69,0.69,0.69,0.73,0.8,0.88,0.91,0.96,0.96,0.98,0.98,0.96,0.95,0.93,0.96,1,0.94,0.88,0.83,0.83,0.8,0.73
Mozambique_Central,Q4,d2,0.73,0.73,0.69,0.69,0.69,0.73,0.79,0.85,0.91,0.97,0.96,0.98,0.98,0.96,0.92,0.92,0.97,0.96,0.93,0.88,0.83,0.83,0.8,0.73
Mozambique_Central,Q4,d3,0.69,0.7,0.68,0.66,0.66,0.69,0.68,0.73,0.79,0.86,0.92,0.93,0.92,0.88,0.86,0.83,0.86,0.86,0.83,0.8,0.79,0.79,0.77,0.7
Mozambique_Central,Q4,d4,0.72,0.7,0.72,0.69,0.69,0.72,0.8,0.88,0.92,0.96,0.96,0.98,0.97,0.96,0.96,0.93,0.96,0.96,0.92,0.88,0.83,0.83,0.8,0.72
Mozambique_North,Q1,d1,0.72,0.7,0.72,0.69,0.69,0.72,0.8,0.88,0.92,0.96,0.96,0.98,0.98,0.96,0.95,0.93,0.96,1,0.94,0.88,0.85,0.83,0.8,0.72
Mozambique_North,Q1,d2,0.72,0.7,0.72,0.69,0.69,0.72,0.8,0.88,0.92,0.96,0.96,0.98,0.98,0.96,0.96,0.93,0.96,0.96,0.92,0.88,0.83,0.83,0.8,0.72
Mozambique_North,Q1,d3,0.72,0.72,0.7,0.68,0.68,0.68,0.7,0.77,0.83,0.91,0.93,0.93,0.93,0.91,0.88,0.88,0.88,0.88,0.83,0.8,0.8,0.8,0.78,0.72
Mozambique_North,Q1,d4,0.72,0.7,0.69,0.69,0.69,0.72,0.8,0.85,0.91,0.96,0.96,0.98,0.97,0.96,0.92,0.92,0.96,0.96,0.93,0.88,0.83,0.83,0.8,0.72
Mozambique_North,Q2,d1,0.72,0.72,0.69,0.69,0.69,0.72,0.79,0.89,0.9,0.96,0.96,0.98,0.97,0.94,0.93,0.93,0.97,1,0.93,0.9,0.85,0.83,0.8,0.72
Mozambique_North,Q2,d2,0.72,0.7,0.72,0.69,0.69,0.72,0.8,0.88,0.9,0.96,0.96,0.98,0.98,0.96,0.93,0.93,0.97,0.99,0.93,0.9,0.85,0.83,0.8,0.72
Mozambique_North,Q2,d3,0.7,0.72,0.68,0.68,0.68,0.68,0.69,0.79,0.83,0.91,0.93,0.93,0.93,0.9,0.88,0.88,0.88,0.88,0.85,0.83,0.8,0.8,0.79,0.72
Mozambique_North,Q2,d4,0.72,0.72,0.69,0.69,0.69,0.72,0.79,0.86,0.89,0.96,0.96,0.98,0.98,0.94,0.93,0.93,0.96,1,0.94,0.89,0.86,0.83,0.8,0.72
Mozambique_North,Q3,d1,0.72,0.72,0.7,0.7,0.7,0.72,0.8,0.86,0.91,0.96,0.96,0.98,0.98,0.94,0.93,0.9,0.96,1,0.94,0.9,0.86,0.83,0.8,0.7
Mozambique_North,Q3,d2,0.72,0.72,0.69,0.69,0.69,0.72,0.8,0.86,0.9,0.94,0.96,0.98,0.98,0.94,0.93,0.92,0.96,1,0.93,0.9,0.86,0.83,0.8,0.69
Mozambique_North,Q3,d3,0.7,0.73,0.68,0.67,0.67,0.67,0.66,0.73,0.79,0.87,0.91,0.92,0.91,0.87,0.85,0.84,0.85,0.85,0.81,0.8,0.8,0.79,0.78,0.69
Mozambique_North,Q3,d4,0.71,0.72,0.7,0.68,0.68,0.68,0.7,0.77,0.83,0.9,0.92,0.94,0.92,0.9,0.88,0.88,0.88,0.88,0.83,0.83,0.8,0.8,0.79,0.72
Mozambique_North,Q4,d1,0.73,0.7,0.69,0.69,0.69,0.73,0.8,0.88,0.91,0.96,0.96,0.98,0.98,0.96,0.95,0.93,0.96,1,0.94,0.88,0.83,0.83,0.8,0.73
Mozambique_North,Q4,d2,0.73,0.73,0.69,0.69,0.69,0.73,0.79,0.85,0.91,0.97,0.96,0.98,0.98,0.96,0.92,0.92,0.97,0.96,0.93,0.88,0.83,0.83,0.8,0.73
Mozambique_North,Q4,d3,0.69,0.7,0.68,0.66,0.66,0.69,0.68,0.73,0.79,0.86,0.92,0.93,0.92,0.88,0.86,0.83,0.86,0.86,0.83,0.8,0.79,0.79,0.77,0.7
Mozambique_North,Q4,d4,0.72,0.7,0.72,0.69,0.69,0.72,0.8,0.88,0.92,0.96,0.96,0.98,0.97,0.96,0.96,0.93,0.96,0.96,0.92,0.88,0.83,0.83,0.8,0.72
Mozambique_South,Q1,d1,0.72,0.7,0.72,0.69,0.69,0.72,0.8,0.88,0.92,0.96,0.96,0.98,0.98,0.96,0.95,0.93,0.96,1,0.94,0.88,0.85,0.83,0.8,0.72
Mozambique_South,Q1,d2,0.72,0.7,0.72,0.69,0.69,0.72,0.8,0.88,0.92,0.96,0.96,0.98,0.98,0.96,0.96,0.93,0.96,0.96,0.92,0.88,0.83,0.83,0.8,0.72
Mozambique_South,Q1,d3,0.72,0.72,0.7,0.68,0.68,0.68,0.7,0.77,0.83,0.91,0.93,0.93,0.93,0.91,0.88,0.88,0.88,0.88,0.83,0.8,0.8,0.8,0.78,0.72
Mozambique_South,Q1,d4,0.72,0.7,0.69,0.69,0.69,0.72,0.8,0.85,0.91,0.96,0.96,0.98,0.97,0.96,0.92,0.92,0.96,0.96,0.93,0.88,0.83,0.83,0.8,0.72
Mozambique_South,Q2,d1,0.72,0.72,0.69,0.69,0.69,0.72,0.79,0.89,0.9,0.96,0.96,0.98,0.97,0.94,0.93,0.93,0.97,1,0.93,0.9,0.85,0.83,0.8,0.72
Mozambique_South,Q2,d2,0.72,0.7,0.72,0.69,0.69,0.72,0.8,0.88,0.9,0.96,0.96,0.98,0.98,0.96,0.93,0.93,0.97,0.99,0.93,0.9,0.85,0.83,0.8,0.72
Mozambique_South,Q2,d3,0.7,0.72,0.68,0.68,0.68,0.68,0.69,0.79,0.83,0.91,0.93,0.93,0.93,0.9,0.88,0.88,0.88,0.88,0.85,0.83,0.8,0.8,0.79,0.72
Mozambique_South,Q2,d4,0.72,0.72,0.69,0.69,0.69,0.72,0.79,0.86,0.89,0.96,0.96,0.98,0.98,0.94,0.93,0.93,0.96,1,0.94,0.89,0.86,0.83,0.8,0.72
Mozambique_South,Q3,d1,0.72,0.72,0.7,0.7,0.7,0.72,0.8,0.86,0.91,0.96,0.96,0.98,0.98,0.94,0.93,0.9,0.96,1,0.94,0.9,0.86,0.83,0.8,0.7
Mozambique_South,Q3,d2,0.72,0.72,0.69,0.69,0.69,0.72,0.8,0.86,0.9,0.94,0.96,0.98,0.98,0.94,0.93,0.92,0.96,1,0.93,0.9,0.86,0.83,0.8,0.69
Mozambique_South,Q3,d3,0.7,0.73,0.68,0.67,0.67,0.67,0.66,0.73,0.79,0.87,0.91,0.92,0.91,0.87,0.85,0.84,0.85,0.85,0.81,0.8,0.8,0.79,0.78,0.69
Mozambique_South,Q3,d4,0.71,0.72,0.7,0.68,0.68,0.68,0.7,0.77,0.83,0.9,0.92,0.94,0.92,0.9,0.88,0.88,0.88,0.88,0.83,0.83,0.8,0.8,0.79,0.72
Mozambique_South,Q4,d1,0.73,0.7,0.69,0.69,0.69,0.73,0.8,0.88,0.91,0.96,0.96,0.98,0.98,0.96,0.95,0.93,0.96,1,0.94,0.88,0.83,0.83,0.8,0.73
Mozambique_South,Q4,d2,0.73,0.73,0.69,0.69,0.69,0.73,0.79,0.85,0.91,0.97,0.96,0.98,0.98,0.96,0.92,0.92,0.97,0.96,0.93,0.88,0.83,0.83,0.8,0.73
Mozambique_South,Q4,d3,0.69,0.7,0.68,0.66,0.66,0.69,0.68,0.73,0.79,0.86,0.92,0.93,0.92,0.88,0.86,0.83,0.86,0.86,0.83,0.8,0.79,0.79,0.77,0.7
Mozambique_South,Q4,d4,0.72,0.7,0.72,0.69,0.69,0.72,0.8,0.88,0.92,0.96,0.96,0.98,0.97,0.96,0.96,0.93,0.96,0.96,0.92,0.88,0.83,0.83,0.8,0.72
Mozal,Q1,d1,0.8,0.8,0.8,0.8,0.8,0.85,0.85,0.85,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.85,0.85,0.85,0.85,0.85,0.85
Mozal,Q1,d2,0.8,0.8,0.8,0.8,0.8,0.85,0.85,0.85,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.85,0.85,0.85,0.85,0.85,0.85
Mozal,Q1,d3,0.8,0.8,0.8,0.8,0.8,0.85,0.85,0.85,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.85,0.85,0.85,0.85,0.85,0.85
Mozal,Q1,d4,0.8,0.8,0.8,0.8,0.8,0.85,0.85,0.85,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.85,0.85,0.85,0.85,0.85,0.85
Mozal,Q2,d1,0.8,0.8,0.8,0.8,0.8,0.85,0.85,0.85,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.85,0.85,0.85,0.85,0.85,0.8
Mozal,Q2,d2,0.8,0.8,0.8,0.8,0.8,0.85,0.85,0.85,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.85,0.85,0.85,0.85,0.85,0.8
Mozal,Q2,d3,0.8,0.8,0.8,0.8,0.8,0.85,0.85,0.85,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.85,0.85,0.85,0.85,0.85,0.8
Mozal,Q2,d4,0.8,0.8,0.8,0.8,0.8,0.85,0.85,0.85,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.85,0.85,0.85,0.85,0.85,0.8
Mozal,Q3,d1,0.75,0.75,0.75,0.75,0.75,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.8,0.8,0.8,0.8,0.8,0.75
Mozal,Q3,d2,0.75,0.75,0.75,0.75,0.75,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.8,0.8,0.8,0.8,0.8,0.75
Mozal,Q3,d3,0.75,0.75,0.75,0.75,0.75,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.8,0.8,0.8,0.8,0.8,0.75
Mozal,Q3,d4,0.75,0.75,0.75,0.75,0.75,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.8,0.8,0.8,0.8,0.8,0.75
Mozal,Q4,d1,0.7,0.7,0.7,0.7,0.7,0.75,0.75,0.75,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.75,0.75,0.75,0.75,0.75,0.7
Mozal,Q4,d2,0.7,0.7,0.7,0.7,0.7,0.75,0.75,0.75,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.75,0.75,0.75,0.75,0.75,0.7
Mozal,Q4,d3,0.7,0.7,0.7,0.7,0.7,0.75,0.75,0.75,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.75,0.75,0.75,0.75,0.75,0.7
Mozal,Q4,d4,0.7,0.7,0.7,0.7,0.7,0.75,0.75,0.75,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.75,0.75,0.75,0.75,0.75,0.7
