paramNames,file
pFuelPrice,data/FuelPrice.csv
ftfindex,data/ftfindex.csv
pAvailability,data/pAvailability/pAvailability_baseline.csv
pProbaScenarios,data/pAvailability/pProbaScenarios_baseline.csv
pAvailabilityH2,data/pAvailabilityH2_monthly.csv
pCapexTrajectory,data/pCapexTrajectory.csv
pCapexTrajectoryH2,data/pCapexTrajectoryH2.csv
pCarbonPrice,data/pCarbonPrice.csv
pCSPData,data/pCSPData.csv
pDemandData,data/pDemandData.csv
pDemandForecast,data/pDemandForecast_s5.csv
pDemandProfile,data/pDemandProfile_monthly.csv
peak,data/peak.csv
pEmissionsTotal,data/pEmissionsTotal.csv
pEmissionsZone,data/pEmissionsZone.csv
pEnergyEfficiencyFactor,data/pEnergyEfficiencyFactor.csv
pExternalH2,data/pExternalH2.csv
pFuelData,data/pFuelData.csv
pFuelPrice,data/pFuelPrice.csv
pFuelTypeCarbonContent,data/pFuelTypeCarbonContent.csv
pGenDataExcel,data/pGenDataExcel_update.csv
pH2DataExcel,data/pH2DataExcel.csv
pHours,data/pHours_monthly.csv
pLossFactor,data/pLossFactor.csv
pMaxFuellimit,data/pMaxFuellimit.csv
pMaxPriceImportShare,data/pMaxPriceImportShare.csv
pNewTransmission,data/pNewTransmission.csv
pReserveMargin,data/pReserveMargin.csv
pReserveReqLoc,data/pReserveReqLoc.csv
pReserveReqSys,data/pReserveReqSys.csv
pScalars,data/pScalars.csv
pStorDataExcel,data/pStorDataExcel.csv
pTechDataExcel,data/pTechDataExcel.csv
pTradePrice,data/pTradePrice.csv
pTransferLimit,data/pTransferLimit_monthly.csv
pVREgenProfile,data/pVREgenProfile.csv
pVREProfile,data/pVREProfile_monthly.csv
pZoneIndex,data/pZoneIndex.csv
relevant,data/relevant.csv
reserve,data/reserve.csv
sTopology,data/sTopology.csv
y,data/y.csv
zcmapExcel,data/zcmapExcel.csv
zext,data/zext.csv
