Zone,m,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Burundi,Q1,d1,0.644438127,0.595053405,0.5751127,0.568695935,0.56828981,0.608983471,0.690898753,0.70535678,0.714453966,0.759614994,0.751248832,0.797181497,0.794054339,0.724728912,0.749624335,0.753056086,0.759269788,0.751634651,0.747390651,0.893351744,0.973520692,0.942959834,0.853246964,0.73402916
Burundi,Q1,d2,0.580270479,0.51642773,0.497136823,0.500284287,0.4843236,0.530703001,0.619420867,0.646753036,0.681496974,0.735998863,0.73279048,0.714514884,0.727490558,0.696198676,0.686532916,0.703224627,0.71743898,0.757949884,0.752629655,0.887320798,0.965256061,0.950919872,0.864090485,0.72103318
Burundi,Q1,d3,0.585814076,0.547739918,0.525057873,0.513219348,0.506376152,0.51626528,0.57629046,0.637960443,0.677720018,0.710270885,0.743715226,0.754802421,0.760102343,0.725378711,0.705905048,0.683852496,0.70927588,0.677720018,0.699569508,0.832209723,0.91796288,0.895179304,0.818218739,0.698005929
Burundi,Q1,d4,0.563152337,0.503614507,0.49382691,0.491349551,0.479125208,0.511473013,0.606932543,0.621309345,0.661353206,0.713235593,0.736851724,0.757503147,0.768630955,0.724404013,0.702615441,0.707285871,0.717378061,0.750111684,0.732607724,0.846424075,0.901291475,0.90770824,0.846119482,0.71544897
Burundi,Q1,d5,0.640194127,0.586666937,0.556187305,0.565406327,0.56711205,0.617024733,0.702595135,0.717317143,0.722474922,0.768935548,0.793871583,0.787150225,0.71152987,0.538967632,0.502964708,0.573670958,0.622548024,0.669577225,0.689335174,0.777220485,0.89235674,0.899301466,0.818056289,0.6969297
Burundi,Q2,d1,0.630548674,0.600109654,0.571823092,0.56195427,0.56093896,0.605348658,0.687954352,0.694147748,0.725378711,0.735592738,0.752893636,0.760244487,0.759351013,0.750599033,0.732506193,0.741380011,0.73311538,0.747878,0.761584697,0.907545791,0.987389839,0.948239451,0.846769281,0.711428339
Burundi,Q2,d2,0.602810381,0.571701255,0.526966657,0.523210007,0.52426593,0.573549121,0.6499005,0.65140316,0.683141778,0.736059782,0.72919628,0.706290866,0.706920359,0.687324859,0.682674735,0.687527921,0.732607724,0.747431263,0.766255127,0.890244893,0.949173537,0.911607034,0.81998538,0.670551923
Burundi,Q2,d3,0.57328514,0.548795841,0.535637412,0.519798562,0.501766641,0.514722008,0.548247573,0.600739146,0.643666491,0.669089875,0.676643788,0.682573204,0.704970962,0.696259595,0.680603501,0.677720018,0.649007026,0.676237664,0.697437355,0.869207651,0.89852983,0.869999594,0.77263128,0.645351907
Burundi,Q2,d4,0.621695163,0.579559761,0.568635016,0.563802136,0.548288186,0.564330098,0.615786054,0.653108882,0.6930106,0.723084108,0.719713276,0.72769362,0.758904276,0.725013199,0.721094099,0.732567112,0.747695244,0.767615644,0.782682857,0.943975145,0.957397555,0.942797385,0.869573163,0.748568412
Burundi,Q2,d5,0.545079803,0.501380823,0.490537303,0.488019332,0.490902814,0.543536531,0.623969459,0.633594607,0.665048938,0.70643301,0.724383706,0.743715226,0.745441254,0.714210291,0.701661049,0.719185315,0.702534216,0.716748568,0.723733907,0.888193965,0.955894895,0.92612598,0.835966373,0.702615441
Burundi,Q3,d1,0.605937538,0.578341388,0.544105105,0.53726191,0.558339764,0.594647281,0.679608496,0.686817203,0.709072818,0.740385006,0.741907972,0.743288795,0.765645941,0.731592414,0.731531495,0.726454941,0.74712667,0.762153271,0.813264021,0.943528408,0.981988385,0.960281038,0.815091581,0.659586565
Burundi,Q3,d2,0.576655972,0.527555538,0.502660115,0.505381148,0.500040612,0.513747309,0.584473866,0.662388823,0.696909394,0.721053487,0.725033505,0.734475897,0.764163587,0.739978882,0.72769362,0.735105389,0.730211591,0.727429639,0.774641595,0.929638955,0.974860902,0.946330666,0.833346871,0.702920034
Burundi,Q3,d3,0.604455184,0.563538155,0.540490598,0.525220322,0.523027251,0.535251594,0.555740568,0.604434878,0.645148845,0.664866182,0.655505016,0.670044268,0.681903099,0.676318889,0.659160135,0.644356902,0.648255696,0.668764976,0.709986598,0.839195062,0.88344231,0.832311254,0.726861065,0.605267433
Burundi,Q3,d4,0.626385899,0.579498843,0.552654023,0.549547171,0.536388742,0.562137026,0.629878569,0.66149535,0.698533891,0.725723917,0.755959875,0.736689274,0.708280876,0.685131787,0.68559883,0.710819153,0.733765179,0.758315396,0.764955529,0.879421679,0.934999797,0.905677618,0.795130569,0.665252
Burundi,Q3,d5,0.588027454,0.549405028,0.524793892,0.521910409,0.522194696,0.555253219,0.607460504,0.650712748,0.696401738,0.70627056,0.713702636,0.72452585,0.731044146,0.716017545,0.72844495,0.725419323,0.734394672,0.739796126,0.763940218,0.907484872,0.940238801,0.903179954,0.770945864,0.647971409
Burundi,Q4,d1,0.604942533,0.614324006,0.598424238,0.572635341,0.570685944,0.601754457,0.687060878,0.722901352,0.741136336,0.7517971,0.749197904,0.729277505,0.715103765,0.694878772,0.709560167,0.726718921,0.729541486,0.764671242,0.823092231,0.987978719,1,0.967063315,0.882975267,0.761808066
Burundi,Q4,d2,0.566137351,0.53677456,0.513239654,0.498131828,0.489765666,0.534012915,0.605836007,0.636092271,0.667648134,0.702371766,0.708321488,0.754315071,0.760285099,0.740100719,0.733359055,0.7126061,0.740852049,0.759026114,0.799922836,0.960849612,0.964037688,0.885127726,0.78197214,0.665800268
Burundi,Q4,d3,0.580575072,0.554847094,0.545079803,0.528733298,0.533728628,0.551740243,0.600211185,0.589489502,0.63014255,0.66584088,0.67008488,0.657555944,0.672805913,0.654306949,0.644559964,0.660947082,0.654977054,0.662145149,0.688827519,0.868314178,0.932035089,0.887422329,0.806502051,0.68742639
Burundi,Q4,d4,0.643219754,0.601592007,0.589753483,0.577062096,0.578950575,0.595337692,0.632213784,0.682065548,0.699853795,0.720363075,0.730069447,0.740709905,0.740994192,0.711814157,0.712342119,0.699224302,0.701173699,0.715408358,0.767453194,0.921252488,0.915485522,0.941680543,0.861003939,0.736953255
Burundi,Q4,d5,0.627035698,0.562847744,0.53860212,0.52335215,0.513544247,0.512630467,0.491430776,0.535028226,0.601592007,0.585590708,0.566177964,0.602790074,0.61714657,0.571579418,0.570462576,0.574523819,0.601957519,0.625086301,0.659911465,0.845266621,0.890732242,0.874609105,0.779372944,0.651890509
