c,z,attribute,y,uni,value
Angola,Angola_North,CapexInvestmentComponentCumulated,2030,StorageEnergy,12901528956.58356
Angola,Angola_North,CapexInvestmentComponentCumulated,2031,StorageEnergy,12909387956.58356
Angola,Angola_North,CapexInvestmentComponentCumulated,2032,StorageEnergy,12922495456.58356
Angola,Angola_North,CapexInvestmentComponentCumulated,2033,StorageEnergy,12935431456.58356
Angola,Angola_North,CapexInvestmentComponentCumulated,2034,StorageEnergy,12948195956.58356
Angola,Angola_North,CapexInvestmentComponentCumulated,2035,StorageEnergy,12960788956.58356
Angola,Angola_North,CapexInvestmentComponentCumulated,2040,StorageEnergy,13019588956.58356
Angola,Angola_North,CapexInvestmentComponentCumulated,2045,Generation,12889756294.207989
Angola,Angola_North,CapexInvestmentComponentCumulated,2045,StorageEnergy,13074223956.58356
Angola,Angola_North,CapexInvestmentComponentCumulated,2050,StorageEnergy,13124693956.58356
Angola,Angola_South,CapexInvestmentComponent,2027,Generation,25289880.0
Angola,Angola_South,CapexInvestmentComponent,2029,StorageEnergy,8714500.0
Angola,Angola_South,CapexInvestmentComponent,2029,Transmission,301500000.0
Angola,Angola_South,CapexInvestmentComponent,2030,Generation,30233000.0
Angola,Angola_South,CapexInvestmentComponent,2030,StorageEnergy,7960500.000000001
Angola,Angola_South,CapexInvestmentComponent,2031,Generation,29841000.0
Angola,Angola_South,CapexInvestmentComponent,2031,StorageEnergy,7859000.000000001
Angola,Angola_South,CapexInvestmentComponent,2032,Generation,29400000.0
Angola,Angola_South,CapexInvestmentComponent,2032,StorageEnergy,11324166.666666666
Angola,Angola_South,CapexInvestmentComponent,2033,StorageEnergy,12936000.0
Angola,Angola_South,CapexInvestmentComponent,2034,StorageEnergy,12764500.0
Angola,Angola_South,CapexInvestmentComponent,2035,StorageEnergy,12593000.0
Angola,Angola_South,CapexInvestmentComponent,2040,Generation,217844097.30070776
Angola,Angola_South,CapexInvestmentComponent,2040,StorageEnergy,58800000.0
Angola,Angola_South,CapexInvestmentComponent,2045,Generation,46111579.91696704
Angola,Angola_South,CapexInvestmentComponent,2045,StorageEnergy,32335000.0
Angola,Angola_South,CapexInvestmentComponent,2050,Generation,348290821.1454349
Angola,Angola_South,CapexInvestmentComponent,2050,StorageEnergy,31522768.36034885
Angola,Angola_South,CapexInvestmentComponentCumulated,2027,Generation,13149983836.58356
Angola,Angola_South,CapexInvestmentComponentCumulated,2029,StorageEnergy,13860418834.94667
Angola,Angola_South,CapexInvestmentComponentCumulated,2029,Transmission,14350013769.973686
Angola,Angola_South,CapexInvestmentComponentCumulated,2030,Generation,13180216836.58356
Angola,Angola_South,CapexInvestmentComponentCumulated,2030,StorageEnergy,13868379334.94667
Angola,Angola_South,CapexInvestmentComponentCumulated,2031,Generation,13210057836.58356
Angola,Angola_South,CapexInvestmentComponentCumulated,2031,StorageEnergy,13876238334.94667
Angola,Angola_South,CapexInvestmentComponentCumulated,2032,Generation,13239457836.58356
Angola,Angola_South,CapexInvestmentComponentCumulated,2032,StorageEnergy,13887562501.613337
Angola,Angola_South,CapexInvestmentComponentCumulated,2033,StorageEnergy,13900498501.613337
Angola,Angola_South,CapexInvestmentComponentCumulated,2034,StorageEnergy,13913263001.613337
Angola,Angola_South,CapexInvestmentComponentCumulated,2035,StorageEnergy,13925856001.613337
Angola,Angola_South,CapexInvestmentComponentCumulated,2040,Generation,13457301933.884268
Angola,Angola_South,CapexInvestmentComponentCumulated,2040,StorageEnergy,13984656001.613337
Angola,Angola_South,CapexInvestmentComponentCumulated,2045,Generation,13503413513.801235
Angola,Angola_South,CapexInvestmentComponentCumulated,2045,StorageEnergy,14016991001.613337
Angola,Angola_South,CapexInvestmentComponentCumulated,2050,Generation,13851704334.94667
Angola,Angola_South,CapexInvestmentComponentCumulated,2050,StorageEnergy,14048513769.973686
Botswana,Botswana,CapexInvestmentComponent,2026,Generation,70224000.0
Botswana,Botswana,CapexInvestmentComponent,2027,Generation,189181440.0
Botswana,Botswana,CapexInvestmentComponent,2027,StorageEnergy,43181250.0
Botswana,Botswana,CapexInvestmentComponent,2028,Generation,1512672000.0
Botswana,Botswana,CapexInvestmentComponent,2030,Generation,15548400.0
Botswana,Botswana,CapexInvestmentComponent,2031,Generation,15346800.0
Botswana,Botswana,CapexInvestmentComponent,2032,Generation,51406500.0
Botswana,Botswana,CapexInvestmentComponent,2033,Generation,105464350.0
Botswana,Botswana,CapexInvestmentComponent,2034,Generation,103905150.0
Botswana,Botswana,CapexInvestmentComponent,2035,Generation,117013000.0
Botswana,Botswana,CapexInvestmentComponent,2035,StorageEnergy,16809703.703703705
Botswana,Botswana,CapexInvestmentComponent,2040,Generation,332223928.5524422
Botswana,Botswana,CapexInvestmentComponent,2040,StorageEnergy,131542222.22222222
Botswana,Botswana,CapexInvestmentComponent,2045,Generation,216173473.7989986
Botswana,Botswana,CapexInvestmentComponent,2045,StorageEnergy,74183557.91171741
Botswana,Botswana,CapexInvestmentComponent,2050,Generation,381600126.07343423
Botswana,Botswana,CapexInvestmentComponent,2050,StorageEnergy,68466488.26811881
Botswana,Botswana,CapexInvestmentComponentCumulated,2026,Generation,14420237769.973686
Botswana,Botswana,CapexInvestmentComponentCumulated,2027,Generation,14609419209.973686
Botswana,Botswana,CapexInvestmentComponentCumulated,2027,StorageEnergy,17503954188.39856
Botswana,Botswana,CapexInvestmentComponentCumulated,2028,Generation,16122091209.973686
Botswana,Botswana,CapexInvestmentComponentCumulated,2030,Generation,16137639609.973686
Botswana,Botswana,CapexInvestmentComponentCumulated,2031,Generation,16152986409.973686
Botswana,Botswana,CapexInvestmentComponentCumulated,2032,Generation,16204392909.973686
Botswana,Botswana,CapexInvestmentComponentCumulated,2033,Generation,16309857259.973686
Botswana,Botswana,CapexInvestmentComponentCumulated,2034,Generation,16413762409.973686
Botswana,Botswana,CapexInvestmentComponentCumulated,2035,Generation,16530775409.973686
Botswana,Botswana,CapexInvestmentComponentCumulated,2035,StorageEnergy,17520763892.102264
Botswana,Botswana,CapexInvestmentComponentCumulated,2040,Generation,16862999338.526129
Botswana,Botswana,CapexInvestmentComponentCumulated,2040,StorageEnergy,17652306114.324486
Botswana,Botswana,CapexInvestmentComponentCumulated,2045,Generation,17079172812.325129
Botswana,Botswana,CapexInvestmentComponentCumulated,2045,StorageEnergy,17726489672.236202
Botswana,Botswana,CapexInvestmentComponentCumulated,2050,Generation,17460772938.39856
Botswana,Botswana,CapexInvestmentComponentCumulated,2050,StorageEnergy,17794956160.504322
DRC,DRC,CapexInvestmentComponent,2025,Generation,302400000.0
DRC,DRC,CapexInvestmentComponent,2026,Generation,45144000.0
DRC,DRC,CapexInvestmentComponent,2027,Generation,139432800.0
DRC,DRC,CapexInvestmentComponent,2027,StorageEnergy,3454500.0
DRC,DRC,CapexInvestmentComponent,2028,Generation,449088400.0
DRC,DRC,CapexInvestmentComponent,2028,StorageEnergy,9613800.0
DRC,DRC,CapexInvestmentComponent,2029,Generation,282556800.0
DRC,DRC,CapexInvestmentComponent,2029,StorageEnergy,8834700.0
DRC,DRC,CapexInvestmentComponent,2030,Generation,111180400.0
DRC,DRC,CapexInvestmentComponent,2030,StorageEnergy,8070300.0
DRC,DRC,CapexInvestmentComponent,2031,Generation,302962800.0
DRC,DRC,CapexInvestmentComponent,2031,StorageEnergy,15934800.0
DRC,DRC,CapexInvestmentComponent,2032,Generation,108537600.0
DRC,DRC,CapexInvestmentComponent,2032,StorageEnergy,15729000.0
DRC,DRC,CapexInvestmentComponent,2033,Generation,107243200.0
DRC,DRC,CapexInvestmentComponent,2033,StorageEnergy,15523200.0
DRC,DRC,CapexInvestmentComponent,2034,Generation,112925285.74335691
DRC,DRC,CapexInvestmentComponent,2034,StorageEnergy,15317400.0
DRC,DRC,CapexInvestmentComponent,2035,Generation,221083686.9126448
DRC,DRC,CapexInvestmentComponent,2035,StorageEnergy,15111600.0
DRC,DRC,CapexInvestmentComponent,2040,Generation,1588656695.204263
DRC,DRC,CapexInvestmentComponent,2040,StorageEnergy,70560000.0
DRC,DRC,CapexInvestmentComponent,2045,Generation,3721304000.0
DRC,DRC,CapexInvestmentComponent,2045,StorageEnergy,65562000.0
DRC,DRC,CapexInvestmentComponent,2050,Generation,763481132.1397353
DRC,DRC,CapexInvestmentComponentCumulated,2025,Generation,18097356160.50432
DRC,DRC,CapexInvestmentComponentCumulated,2026,Generation,18142500160.50432
DRC,DRC,CapexInvestmentComponentCumulated,2027,Generation,18281932960.50432
DRC,DRC,CapexInvestmentComponentCumulated,2027,StorageEnergy,26054407460.50432
DRC,DRC,CapexInvestmentComponentCumulated,2028,Generation,18731021360.50432
DRC,DRC,CapexInvestmentComponentCumulated,2028,StorageEnergy,26064021260.50432
DRC,DRC,CapexInvestmentComponentCumulated,2029,Generation,19013578160.50432
DRC,DRC,CapexInvestmentComponentCumulated,2029,StorageEnergy,26072855960.50432
DRC,DRC,CapexInvestmentComponentCumulated,2030,Generation,19124758560.50432
DRC,DRC,CapexInvestmentComponentCumulated,2030,StorageEnergy,26080926260.50432
DRC,DRC,CapexInvestmentComponentCumulated,2031,Generation,19427721360.50432
DRC,DRC,CapexInvestmentComponentCumulated,2031,StorageEnergy,26096861060.50432
DRC,DRC,CapexInvestmentComponentCumulated,2032,Generation,19536258960.50432
DRC,DRC,CapexInvestmentComponentCumulated,2032,StorageEnergy,26112590060.50432
DRC,DRC,CapexInvestmentComponentCumulated,2033,Generation,19643502160.50432
DRC,DRC,CapexInvestmentComponentCumulated,2033,StorageEnergy,26128113260.50432
DRC,DRC,CapexInvestmentComponentCumulated,2034,Generation,19756427446.24768
DRC,DRC,CapexInvestmentComponentCumulated,2034,StorageEnergy,26143430660.50432
DRC,DRC,CapexInvestmentComponentCumulated,2035,Generation,19977511133.160324
DRC,DRC,CapexInvestmentComponentCumulated,2035,StorageEnergy,26158542260.50432
DRC,DRC,CapexInvestmentComponentCumulated,2040,Generation,21566167828.364586
DRC,DRC,CapexInvestmentComponentCumulated,2040,StorageEnergy,26229102260.50432
DRC,DRC,CapexInvestmentComponentCumulated,2045,Generation,25287471828.364586
DRC,DRC,CapexInvestmentComponentCumulated,2045,StorageEnergy,26294664260.50432
DRC,DRC,CapexInvestmentComponentCumulated,2050,Generation,26050952960.50432
DRC,DRC_South,CapexInvestmentComponent,2026,Generation,36115200.0
DRC,DRC_South,CapexInvestmentComponent,2027,Generation,96271200.0
DRC,DRC_South,CapexInvestmentComponent,2027,StorageEnergy,10363500.0
DRC,DRC_South,CapexInvestmentComponent,2028,Generation,89776800.0
DRC,DRC_South,CapexInvestmentComponent,2028,StorageEnergy,9613800.0
DRC,DRC_South,CapexInvestmentComponent,2029,Generation,83203200.0
DRC,DRC_South,CapexInvestmentComponent,2029,StorageEnergy,8834700.0
DRC,DRC_South,CapexInvestmentComponent,2030,Generation,143344800.0
DRC,DRC_South,CapexInvestmentComponent,2030,StorageEnergy,8070300.0
DRC,DRC_South,CapexInvestmentComponent,2030,Transmission,125000000.0
DRC,DRC_South,CapexInvestmentComponent,2031,Generation,75729600.0
DRC,DRC_South,CapexInvestmentComponent,2031,StorageEnergy,7967400.0
DRC,DRC_South,CapexInvestmentComponent,2032,Generation,74865600.0
DRC,DRC_South,CapexInvestmentComponent,2032,StorageEnergy,7864500.0
DRC,DRC_South,CapexInvestmentComponent,2033,Generation,73965600.0
DRC,DRC_South,CapexInvestmentComponent,2033,StorageEnergy,7761600.0
DRC,DRC_South,CapexInvestmentComponent,2034,Generation,72943200.0
DRC,DRC_South,CapexInvestmentComponent,2034,StorageEnergy,7658700.0
DRC,DRC_South,CapexInvestmentComponent,2035,Generation,109303200.0
DRC,DRC_South,CapexInvestmentComponent,2035,StorageEnergy,7555800.0
DRC,DRC_South,CapexInvestmentComponent,2040,Generation,510120000.0
DRC,DRC_South,CapexInvestmentComponent,2040,StorageEnergy,35280000.0
DRC,DRC_South,CapexInvestmentComponent,2045,Generation,473184000.0
DRC,DRC_South,CapexInvestmentComponent,2045,StorageEnergy,32781000.0
DRC,DRC_South,CapexInvestmentComponent,2050,Generation,435708000.0
DRC,DRC_South,CapexInvestmentComponent,2050,StorageEnergy,30282000.0
DRC,DRC_South,CapexInvestmentComponentCumulated,2026,Generation,26330779460.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2027,Generation,26427050660.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2027,StorageEnergy,28579558160.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2028,Generation,26516827460.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2028,StorageEnergy,28589171960.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2029,Generation,26600030660.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2029,StorageEnergy,28598006660.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2030,Generation,26743375460.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2030,StorageEnergy,28606076960.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2030,Transmission,28868227960.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2031,Generation,26819105060.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2031,StorageEnergy,28614044360.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2032,Generation,26893970660.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2032,StorageEnergy,28621908860.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2033,Generation,26967936260.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2033,StorageEnergy,28629670460.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2034,Generation,27040879460.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2034,StorageEnergy,28637329160.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2035,Generation,27150182660.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2035,StorageEnergy,28644884960.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2040,Generation,27660302660.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2040,StorageEnergy,28680164960.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2045,Generation,28133486660.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2045,StorageEnergy,28712945960.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2050,Generation,28569194660.50432
DRC,DRC_South,CapexInvestmentComponentCumulated,2050,StorageEnergy,28743227960.50432
Eswatini,Eswatini,CapexInvestmentComponent,2027,Generation,80439600.0
Eswatini,Eswatini,CapexInvestmentComponent,2030,Generation,14062664.0
Eswatini,Eswatini,CapexInvestmentComponent,2031,Generation,5359200.0
Eswatini,Eswatini,CapexInvestmentComponent,2032,Generation,10560000.0
Eswatini,Eswatini,CapexInvestmentComponent,2033,Generation,10419200.0
Eswatini,Eswatini,CapexInvestmentComponent,2034,Generation,10260800.0
Eswatini,Eswatini,CapexInvestmentComponent,2035,Generation,5060000.0
Eswatini,Eswatini,CapexInvestmentComponent,2040,Generation,46992000.0
Eswatini,Eswatini,CapexInvestmentComponent,2045,Generation,139876000.0
Eswatini,Eswatini,CapexInvestmentComponent,2045,StorageEnergy,18824828.59971982
Eswatini,Eswatini,CapexInvestmentComponent,2050,Generation,109296000.0
Eswatini,Eswatini,CapexInvestmentComponent,2050,StorageEnergy,12924292.464434208
Eswatini,Eswatini,CapexInvestmentComponentCumulated,2027,Generation,28948667560.50432
Eswatini,Eswatini,CapexInvestmentComponentCumulated,2030,Generation,28962730224.50432
Eswatini,Eswatini,CapexInvestmentComponentCumulated,2031,Generation,28968089424.50432
Eswatini,Eswatini,CapexInvestmentComponentCumulated,2032,Generation,28978649424.50432
Eswatini,Eswatini,CapexInvestmentComponentCumulated,2033,Generation,28989068624.50432
Eswatini,Eswatini,CapexInvestmentComponentCumulated,2034,Generation,28999329424.50432
Eswatini,Eswatini,CapexInvestmentComponentCumulated,2035,Generation,29004389424.50432
Eswatini,Eswatini,CapexInvestmentComponentCumulated,2040,Generation,29051381424.50432
Eswatini,Eswatini,CapexInvestmentComponentCumulated,2045,Generation,29191257424.50432
Eswatini,Eswatini,CapexInvestmentComponentCumulated,2045,StorageEnergy,29319378253.10404
Eswatini,Eswatini,CapexInvestmentComponentCumulated,2050,Generation,29300553424.50432
Eswatini,Eswatini,CapexInvestmentComponentCumulated,2050,StorageEnergy,29332302545.56848
Lesotho,Lesotho,CapexInvestmentComponent,2027,StorageEnergy,3454500.0
Lesotho,Lesotho,CapexInvestmentComponent,2028,Generation,39466350.0
Lesotho,Lesotho,CapexInvestmentComponent,2028,StorageEnergy,3204600.0
Lesotho,Lesotho,CapexInvestmentComponent,2029,Generation,28510560.0
Lesotho,Lesotho,CapexInvestmentComponent,2029,StorageEnergy,2944900.0
Lesotho,Lesotho,CapexInvestmentComponent,2030,Generation,26298960.0
Lesotho,Lesotho,CapexInvestmentComponent,2030,StorageEnergy,2690100.0
Lesotho,Lesotho,CapexInvestmentComponent,2031,Generation,25963920.0
Lesotho,Lesotho,CapexInvestmentComponent,2031,StorageEnergy,2655800.0
Lesotho,Lesotho,CapexInvestmentComponent,2032,Generation,6768000.0
Lesotho,Lesotho,CapexInvestmentComponent,2032,StorageEnergy,2621500.0
Lesotho,Lesotho,CapexInvestmentComponent,2033,Generation,6677760.0
Lesotho,Lesotho,CapexInvestmentComponent,2033,StorageEnergy,1531200.0
Lesotho,Lesotho,CapexInvestmentComponent,2034,Generation,6576240.0
Lesotho,Lesotho,CapexInvestmentComponent,2034,StorageEnergy,1510900.0
Lesotho,Lesotho,CapexInvestmentComponent,2035,Generation,6485999.999999999
Lesotho,Lesotho,CapexInvestmentComponent,2035,StorageEnergy,1490600.0
Lesotho,Lesotho,CapexInvestmentComponent,2040,Generation,395315794.43242353
Lesotho,Lesotho,CapexInvestmentComponent,2040,StorageEnergy,1396304.0471646823
Lesotho,Lesotho,CapexInvestmentComponent,2045,Generation,104445242.465442
Lesotho,Lesotho,CapexInvestmentComponent,2045,StorageEnergy,6467000.0
Lesotho,Lesotho,CapexInvestmentComponent,2050,Generation,190404685.67279983
Lesotho,Lesotho,CapexInvestmentComponent,2050,StorageEnergy,2404097.085209609
Lesotho,Lesotho,CapexInvestmentComponentCumulated,2027,StorageEnergy,30172670558.13914
Lesotho,Lesotho,CapexInvestmentComponentCumulated,2028,Generation,29371768895.56848
Lesotho,Lesotho,CapexInvestmentComponentCumulated,2028,StorageEnergy,30175875158.13914
Lesotho,Lesotho,CapexInvestmentComponentCumulated,2029,Generation,29400279455.56848
Lesotho,Lesotho,CapexInvestmentComponentCumulated,2029,StorageEnergy,30178820058.13914
Lesotho,Lesotho,CapexInvestmentComponentCumulated,2030,Generation,29426578415.56848
Lesotho,Lesotho,CapexInvestmentComponentCumulated,2030,StorageEnergy,30181510158.13914
Lesotho,Lesotho,CapexInvestmentComponentCumulated,2031,Generation,29452542335.56848
Lesotho,Lesotho,CapexInvestmentComponentCumulated,2031,StorageEnergy,30184165958.13914
Lesotho,Lesotho,CapexInvestmentComponentCumulated,2032,Generation,29459310335.56848
Lesotho,Lesotho,CapexInvestmentComponentCumulated,2032,StorageEnergy,30186787458.13914
Lesotho,Lesotho,CapexInvestmentComponentCumulated,2033,Generation,29465988095.56848
Lesotho,Lesotho,CapexInvestmentComponentCumulated,2033,StorageEnergy,30188318658.13914
Lesotho,Lesotho,CapexInvestmentComponentCumulated,2034,Generation,29472564335.56848
Lesotho,Lesotho,CapexInvestmentComponentCumulated,2034,StorageEnergy,30189829558.13914
Lesotho,Lesotho,CapexInvestmentComponentCumulated,2035,Generation,29479050335.56848
Lesotho,Lesotho,CapexInvestmentComponentCumulated,2035,StorageEnergy,30191320158.13914
Lesotho,Lesotho,CapexInvestmentComponentCumulated,2040,Generation,29874366130.0009
Lesotho,Lesotho,CapexInvestmentComponentCumulated,2040,StorageEnergy,30192716462.186302
Lesotho,Lesotho,CapexInvestmentComponentCumulated,2045,Generation,29978811372.466343
Lesotho,Lesotho,CapexInvestmentComponentCumulated,2045,StorageEnergy,30199183462.186302
Lesotho,Lesotho,CapexInvestmentComponentCumulated,2050,Generation,30169216058.13914
Lesotho,Lesotho,CapexInvestmentComponentCumulated,2050,StorageEnergy,30201587559.271515
Malawi,Malawi,CapexInvestmentComponent,2025,StorageEnergy,11921700.0
Malawi,Malawi,CapexInvestmentComponent,2026,Transmission,167520000.0
Malawi,Malawi,CapexInvestmentComponent,2027,Generation,36348896.44555137
Malawi,Malawi,CapexInvestmentComponent,2028,Generation,17621702.86396676
Malawi,Malawi,CapexInvestmentComponent,2029,Generation,15805775.657882396
Malawi,Malawi,CapexInvestmentComponent,2030,Generation,109577187.98378617
Malawi,Malawi,CapexInvestmentComponent,2030,Transmission,67055000.00000001
Malawi,Malawi,CapexInvestmentComponent,2031,Generation,23385600.0
Malawi,Malawi,CapexInvestmentComponent,2033,Generation,1127700000.0
Malawi,Malawi,CapexInvestmentComponent,2045,Generation,31078245.366849262
Malawi,Malawi,CapexInvestmentComponent,2050,Generation,182656740.9884722
Malawi,Malawi,CapexInvestmentComponentCumulated,2025,StorageEnergy,31757683408.578026
Malawi,Malawi,CapexInvestmentComponentCumulated,2026,Transmission,31925203408.578026
Malawi,Malawi,CapexInvestmentComponentCumulated,2027,Generation,30237936455.717068
Malawi,Malawi,CapexInvestmentComponentCumulated,2028,Generation,30255558158.58104
Malawi,Malawi,CapexInvestmentComponentCumulated,2029,Generation,30271363934.23892
Malawi,Malawi,CapexInvestmentComponentCumulated,2030,Generation,30380941122.222706
Malawi,Malawi,CapexInvestmentComponentCumulated,2030,Transmission,31992258408.578026
Malawi,Malawi,CapexInvestmentComponentCumulated,2031,Generation,30404326722.222706
Malawi,Malawi,CapexInvestmentComponentCumulated,2033,Generation,31532026722.222706
Malawi,Malawi,CapexInvestmentComponentCumulated,2045,Generation,31563104967.58956
Malawi,Malawi,CapexInvestmentComponentCumulated,2050,Generation,31745761708.578026
Mozambique,Mozambique_Central,CapexInvestmentComponent,2026,Transmission,167520000.0
Mozambique,Mozambique_Central,CapexInvestmentComponent,2033,Generation,5250000000.0
Mozambique,Mozambique_Central,CapexInvestmentComponentCumulated,2026,Transmission,37409778408.578026
Mozambique,Mozambique_Central,CapexInvestmentComponentCumulated,2033,Generation,37242258408.578026
