Variable,country,zone,generator,fuel,year,baseline
Capacity: MW,Benin,Benin,Beterou,Reservoir,2050,23.2
Capacity: MW,Benin,Benin,Groupes secours SBEE,PV,2026,12.0
Capacity: MW,Benin,Benin,Groupes secours SBEE,PV,2027,12.0
Capacity: MW,Benin,Benin,Groupes secours SBEE,PV,2028,12.0
Capacity: MW,Benin,Benin,Groupes secours SBEE,PV,2029,12.0
Capacity: MW,Benin,Benin,Groupes secours SBEE,PV,2030,12.0
Capacity: MW,Benin,Benin,Groupes secours SBEE,PV,2031,12.0
Capacity: MW,Benin,Benin,Groupes secours SBEE,PV,2032,12.0
Capacity: MW,Benin,Benin,Groupes secours SBEE,PV,2033,12.0
Capacity: MW,Benin,Benin,Groupes secours SBEE,PV,2034,12.0
Capacity: MW,Benin,Benin,Groupes secours SBEE,PV,2035,12.0
Capacity: MW,Benin,Benin,Groupes secours SBEE,PV,2040,12.0
Capacity: MW,Benin,Benin,Groupes secours SBEE,PV,2045,12.0
Capacity: MW,Benin,Benin,HYD_CAND_BEN,Reservoir,2030,438.24
Capacity: MW,Benin,Benin,HYD_CAND_BEN,Reservoir,2031,438.24
Capacity: MW,Benin,Benin,HYD_CAND_BEN,Reservoir,2032,463.0
Capacity: MW,Benin,Benin,HYD_CAND_BEN,Reservoir,2033,463.0
Capacity: MW,Benin,Benin,HYD_CAND_BEN,Reservoir,2034,463.0
Capacity: MW,Benin,Benin,HYD_CAND_BEN,Reservoir,2035,463.0
Capacity: MW,Benin,Benin,HYD_CAND_BEN,Reservoir,2040,463.0
Capacity: MW,Benin,Benin,HYD_CAND_BEN,Reservoir,2045,463.0
Capacity: MW,Benin,Benin,HYD_CAND_BEN,Reservoir,2050,463.0
Capacity: MW,Benin,Benin,IPP 50 mW,PV,2027,50.0
Capacity: MW,Benin,Benin,IPP 50 mW,PV,2028,50.0
Capacity: MW,Benin,Benin,IPP 50 mW,PV,2029,50.0
Capacity: MW,Benin,Benin,IPP 50 mW,PV,2030,50.0
Capacity: MW,Benin,Benin,IPP 50 mW,PV,2031,50.0
Capacity: MW,Benin,Benin,IPP 50 mW,PV,2032,50.0
Capacity: MW,Benin,Benin,IPP 50 mW,PV,2033,50.0
Capacity: MW,Benin,Benin,IPP 50 mW,PV,2034,50.0
Capacity: MW,Benin,Benin,IPP 50 mW,PV,2035,50.0
Capacity: MW,Benin,Benin,IPP 50 mW,PV,2040,50.0
Capacity: MW,Benin,Benin,IPP 50 mW,PV,2045,50.0
Capacity: MW,Benin,Benin,IPP 50 mW,PV,2050,50.0
Capacity: MW,Benin,Benin,Ketou,Reservoir,2050,112.0
Capacity: MW,Benin,Benin,MariaGleta2_IPP,Diesel,2026,137.0
Capacity: MW,Benin,Benin,MariaGleta2_IPP,Diesel,2027,137.0
Capacity: MW,Benin,Benin,MariaGleta2_IPP,Diesel,2028,137.0
Capacity: MW,Benin,Benin,MariaGleta2_IPP,Diesel,2029,137.0
Capacity: MW,Benin,Benin,MariaGleta2_IPP,Diesel,2030,137.0
Capacity: MW,Benin,Benin,MariaGleta2_IPP,Diesel,2031,137.0
Capacity: MW,Benin,Benin,MariaGleta2_IPP,Diesel,2032,137.0
Capacity: MW,Benin,Benin,MariaGleta2_IPP,Diesel,2033,137.0
Capacity: MW,Benin,Benin,MariaGleta2_IPP,Diesel,2034,137.0
Capacity: MW,Benin,Benin,MariaGleta2_IPP,Diesel,2035,137.0
Capacity: MW,Benin,Benin,MariaGleta2_IPP,Diesel,2040,137.0
Capacity: MW,Benin,Benin,MariaGleta2_IPP,Diesel,2045,137.0
Capacity: MW,Benin,Benin,MariaGleta3,Gas,2027,42.0
Capacity: MW,Benin,Benin,MariaGleta3,Gas,2028,42.0
Capacity: MW,Benin,Benin,MariaGleta3,Gas,2029,42.0
Capacity: MW,Benin,Benin,MariaGleta3,Gas,2030,42.0
Capacity: MW,Benin,Benin,MariaGleta3,Gas,2031,42.0
Capacity: MW,Benin,Benin,MariaGleta3,Gas,2032,42.0
Capacity: MW,Benin,Benin,MariaGleta3,Gas,2033,42.0
