c,z,attribute,y,uni,value
Armenia,Armenia,Costs,2025.0,Carbon costs: $m,0.0
Armenia,Armenia,Costs,2025.0,Excess generation: $m,0.0
Armenia,Armenia,Costs,2025.0,Export revenues with external zones: $m,0.0
Armenia,Armenia,Costs,2025.0,Export revenues with internal zones: $m,0.0
Armenia,Armenia,Costs,2025.0,Fixed O&M: $m,161.91299999999998
Armenia,Armenia,Costs,2025.0,Fuel costs: $m,0.0006062791639144
Armenia,Armenia,Costs,2025.0,Generation costs: $m,0.0
Armenia,Armenia,Costs,2025.0,Import costs with external zones: $m,0.0
Armenia,Armenia,Costs,2025.0,Import costs with internal zones: $m,0.0
Armenia,Armenia,Costs,2025.0,NPV of system cost: $m,0.0
Armenia,Armenia,Costs,2025.0,Spinning reserve costs: $m,0.0
Armenia,Armenia,Costs,2025.0,Startup costs: $m,0.0
Armenia,Armenia,Costs,2025.0,Trade shared benefits: $m,0.0
Armenia,Armenia,Costs,2025.0,Transmission costs: $m,0.0
Armenia,Armenia,Costs,2025.0,Unmet country CO2 backstop cost: $m,0.0
Armenia,Armenia,Costs,2025.0,Unmet country planning reserve costs: $m,0.0
Armenia,Armenia,Costs,2025.0,Unmet country spinning reserve costs: $m,0.0
Armenia,Armenia,Costs,2025.0,Unmet demand costs: $m,0.0
Armenia,Armenia,Costs,2025.0,Unmet system CO2 backstop cost: $m,0.0
Armenia,Armenia,Costs,2025.0,Unmet system planning reserve costs: $m,0.0
Armenia,Armenia,Costs,2025.0,Unmet system spinning reserve costs: $m,0.0
Armenia,Armenia,Costs,2025.0,VRE curtailment: $m,0.0
Armenia,Armenia,Costs,2025.0,Variable O&M: $m,2.9557190233618145
Armenia,Armenia,Costs,2026.0,Carbon costs: $m,0.0
Armenia,Armenia,Costs,2026.0,Excess generation: $m,0.0
Armenia,Armenia,Costs,2026.0,Export revenues with external zones: $m,0.0
Armenia,Armenia,Costs,2026.0,Export revenues with internal zones: $m,0.0
Armenia,Armenia,Costs,2026.0,Fixed O&M: $m,161.91299999999998
Armenia,Armenia,Costs,2026.0,Fuel costs: $m,0.0072662293261644
Armenia,Armenia,Costs,2026.0,Generation costs: $m,0.0
Armenia,Armenia,Costs,2026.0,Import costs with external zones: $m,0.0
Armenia,Armenia,Costs,2026.0,Import costs with internal zones: $m,0.0
Armenia,Armenia,Costs,2026.0,NPV of system cost: $m,0.0
Armenia,Armenia,Costs,2026.0,Spinning reserve costs: $m,0.0
Armenia,Armenia,Costs,2026.0,Startup costs: $m,0.0
Armenia,Armenia,Costs,2026.0,Trade shared benefits: $m,0.0
Armenia,Armenia,Costs,2026.0,Transmission costs: $m,0.0
Armenia,Armenia,Costs,2026.0,Unmet country CO2 backstop cost: $m,0.0
Armenia,Armenia,Costs,2026.0,Unmet country planning reserve costs: $m,0.0
Armenia,Armenia,Costs,2026.0,Unmet country spinning reserve costs: $m,0.0
Armenia,Armenia,Costs,2026.0,Unmet demand costs: $m,0.0
Armenia,Armenia,Costs,2026.0,Unmet system CO2 backstop cost: $m,0.0
Armenia,Armenia,Costs,2026.0,Unmet system planning reserve costs: $m,0.0
Armenia,Armenia,Costs,2026.0,Unmet system spinning reserve costs: $m,0.0
Armenia,Armenia,Costs,2026.0,VRE curtailment: $m,0.0
Armenia,Armenia,Costs,2026.0,Variable O&M: $m,2.9931933572411435
Armenia,Armenia,Costs,2027.0,Carbon costs: $m,0.0
Armenia,Armenia,Costs,2027.0,Excess generation: $m,0.0
Armenia,Armenia,Costs,2027.0,Export revenues with external zones: $m,0.0
Armenia,Armenia,Costs,2027.0,Export revenues with internal zones: $m,0.0
Armenia,Armenia,Costs,2027.0,Fixed O&M: $m,168.438
Armenia,Armenia,Costs,2027.0,Fuel costs: $m,0.0471833175069495
Armenia,Armenia,Costs,2027.0,Generation costs: $m,0.0
Armenia,Armenia,Costs,2027.0,Import costs with external zones: $m,0.0
Armenia,Armenia,Costs,2027.0,Import costs with internal zones: $m,0.0
Armenia,Armenia,Costs,2027.0,NPV of system cost: $m,0.0
Armenia,Armenia,Costs,2027.0,Spinning reserve costs: $m,0.0
Armenia,Armenia,Costs,2027.0,Startup costs: $m,0.0
Armenia,Armenia,Costs,2027.0,Trade shared benefits: $m,0.0
Armenia,Armenia,Costs,2027.0,Transmission costs: $m,0.0
Armenia,Armenia,Costs,2027.0,Unmet country CO2 backstop cost: $m,0.0
Armenia,Armenia,Costs,2027.0,Unmet country planning reserve costs: $m,0.0
Armenia,Armenia,Costs,2027.0,Unmet country spinning reserve costs: $m,0.0
Armenia,Armenia,Costs,2027.0,Unmet demand costs: $m,0.0
Armenia,Armenia,Costs,2027.0,Unmet system CO2 backstop cost: $m,0.0
Armenia,Armenia,Costs,2027.0,Unmet system planning reserve costs: $m,0.0
