country,zone,attribute,resolution,year,baseline
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2026,86.9
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2027,5.6
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2029,669.3
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2030,1036.7
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2031,562.0
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2032,209.3
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2033,170.7
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2034,193.7
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2035,282.7
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2040,63.2
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2045,62.0
Benin,Benin,Annual Energy Exchanges: GWh,Nigeria,2050,51.4
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2026,749.5
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2027,1427.6
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2028,2096.5
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2029,573.3
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2030,707.3
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2031,1440.1
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2032,2116.3
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2033,2258.4
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2034,2116.6
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2035,1944.0
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2040,2610.3
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2045,2611.6
Benin,Benin,Annual Energy Exchanges: GWh,Togo,2050,2261.8
Benin,Benin,Capacity: MW,Battery,2027,41.7
Benin,Benin,Capacity: MW,Battery,2028,94.6
Benin,Benin,Capacity: MW,Battery,2029,94.6
Benin,Benin,Capacity: MW,Battery,2030,94.6
Benin,Benin,Capacity: MW,Battery,2031,94.6
Benin,Benin,Capacity: MW,Battery,2032,96.7
Benin,Benin,Capacity: MW,Battery,2033,115.5
Benin,Benin,Capacity: MW,Battery,2034,134.1
Benin,Benin,Capacity: MW,Battery,2035,135.2
Benin,Benin,Capacity: MW,Battery,2040,313.6
Benin,Benin,Capacity: MW,Battery,2045,627.1
Benin,Benin,Capacity: MW,Battery,2050,1219.1
Benin,Benin,Capacity: MW,Diesel,2026,137.0
Benin,Benin,Capacity: MW,Diesel,2027,137.0
Benin,Benin,Capacity: MW,Diesel,2028,137.0
Benin,Benin,Capacity: MW,Diesel,2029,137.0
Benin,Benin,Capacity: MW,Diesel,2030,137.0
Benin,Benin,Capacity: MW,Diesel,2031,137.0
Benin,Benin,Capacity: MW,Diesel,2032,137.0
Benin,Benin,Capacity: MW,Diesel,2033,137.0
Benin,Benin,Capacity: MW,Diesel,2034,137.0
Benin,Benin,Capacity: MW,Diesel,2035,137.0
Benin,Benin,Capacity: MW,Diesel,2040,137.0
Benin,Benin,Capacity: MW,Diesel,2045,137.0
Benin,Benin,Capacity: MW,Gas,2027,42.0
Benin,Benin,Capacity: MW,Gas,2028,42.0
Benin,Benin,Capacity: MW,Gas,2029,42.0
Benin,Benin,Capacity: MW,Gas,2030,42.0
Benin,Benin,Capacity: MW,Gas,2031,42.0
Benin,Benin,Capacity: MW,Gas,2032,42.0
Benin,Benin,Capacity: MW,Gas,2033,42.0
Benin,Benin,Capacity: MW,Gas,2034,42.0
Benin,Benin,Capacity: MW,Gas,2035,42.0
Benin,Benin,Capacity: MW,Gas,2040,42.0
Benin,Benin,Capacity: MW,Gas,2045,42.0
Benin,Benin,Capacity: MW,Gas,2050,42.0
Benin,Benin,Capacity: MW,PV,2026,87.0
Benin,Benin,Capacity: MW,PV,2027,237.0
Benin,Benin,Capacity: MW,PV,2028,562.0
Benin,Benin,Capacity: MW,PV,2029,662.0
Benin,Benin,Capacity: MW,PV,2030,762.0
Benin,Benin,Capacity: MW,PV,2031,862.0
Benin,Benin,Capacity: MW,PV,2032,962.0
Benin,Benin,Capacity: MW,PV,2033,1062.0
Benin,Benin,Capacity: MW,PV,2034,1162.0
Benin,Benin,Capacity: MW,PV,2035,1262.0
Benin,Benin,Capacity: MW,PV,2040,1762.0
Benin,Benin,Capacity: MW,PV,2045,2262.0
Benin,Benin,Capacity: MW,PV,2050,2750.0
Benin,Benin,Capacity: MW,Reservoir,2030,438.2
Benin,Benin,Capacity: MW,Reservoir,2031,438.2
Benin,Benin,Capacity: MW,Reservoir,2032,463.0
Benin,Benin,Capacity: MW,Reservoir,2033,463.0
Benin,Benin,Capacity: MW,Reservoir,2034,463.0
Benin,Benin,Capacity: MW,Reservoir,2035,463.0
Benin,Benin,Capacity: MW,Reservoir,2040,463.0
Benin,Benin,Capacity: MW,Reservoir,2045,463.0
Benin,Benin,Capacity: MW,Reservoir,2050,707.9
Benin,Benin,Demand: GWh,,2026,2294.4
Benin,Benin,Demand: GWh,,2027,2454.9
Benin,Benin,Demand: GWh,,2028,2624.1
Benin,Benin,Demand: GWh,,2029,2814.9
Benin,Benin,Demand: GWh,,2030,3049.1
Benin,Benin,Demand: GWh,,2031,3226.9
Benin,Benin,Demand: GWh,,2032,3413.4
Benin,Benin,Demand: GWh,,2033,3578.3
Benin,Benin,Demand: GWh,,2034,3738.7
Benin,Benin,Demand: GWh,,2035,3907.9
Benin,Benin,Demand: GWh,,2040,4740.7
Benin,Benin,Demand: GWh,,2045,5635.7
Benin,Benin,Demand: GWh,,2050,6583.5
Benin,Benin,Emissions: MtCO2,,2026,0.4
Benin,Benin,Emissions: MtCO2,,2027,0.6
Benin,Benin,Emissions: MtCO2,,2028,0.7
Benin,Benin,Emissions: MtCO2,,2029,0.7
Benin,Benin,Emissions: MtCO2,,2030,0.2
Benin,Benin,Emissions: MtCO2,,2031,0.1
Benin,Benin,Emissions: MtCO2,,2032,0.2
Benin,Benin,Emissions: MtCO2,,2033,0.1
Benin,Benin,Emissions: MtCO2,,2034,0.1
Benin,Benin,Emissions: MtCO2,,2035,0.1
Benin,Benin,Emissions: MtCO2,,2040,0.5
Benin,Benin,Emissions: MtCO2,,2045,0.6
Benin,Benin,Emissions: MtCO2,,2050,0.1
Benin,Benin,Energy: GWh,Battery,2027,22.0
Benin,Benin,Energy: GWh,Battery,2028,126.9
Benin,Benin,Energy: GWh,Battery,2029,76.6
Benin,Benin,Energy: GWh,Battery,2030,40.2
Benin,Benin,Energy: GWh,Battery,2031,25.9
Benin,Benin,Energy: GWh,Battery,2032,33.9
Benin,Benin,Energy: GWh,Battery,2033,152.5
Benin,Benin,Energy: GWh,Battery,2034,153.9
Benin,Benin,Energy: GWh,Battery,2035,154.3
Benin,Benin,Energy: GWh,Battery,2040,511.7
Benin,Benin,Energy: GWh,Battery,2045,926.8
Benin,Benin,Energy: GWh,Battery,2050,1105.7
Benin,Benin,Energy: GWh,Diesel,2026,604.0
Benin,Benin,Energy: GWh,Diesel,2027,609.4
Benin,Benin,Energy: GWh,Diesel,2028,840.7
Benin,Benin,Energy: GWh,Diesel,2029,743.8
Benin,Benin,Energy: GWh,Diesel,2030,68.8
Benin,Benin,Energy: GWh,Diesel,2032,46.7
Benin,Benin,Energy: GWh,Diesel,2033,35.0
Benin,Benin,Energy: GWh,Diesel,2034,45.1
Benin,Benin,Energy: GWh,Diesel,2035,58.3
Benin,Benin,Energy: GWh,Diesel,2040,461.5
Benin,Benin,Energy: GWh,Diesel,2045,711.2
Benin,Benin,Energy: GWh,Gas,2027,312.7
Benin,Benin,Energy: GWh,Gas,2028,312.7
Benin,Benin,Energy: GWh,Gas,2029,312.7
Benin,Benin,Energy: GWh,Gas,2030,312.7
Benin,Benin,Energy: GWh,Gas,2031,312.7
Benin,Benin,Energy: GWh,Gas,2032,312.7
Benin,Benin,Energy: GWh,Gas,2033,312.7
Benin,Benin,Energy: GWh,Gas,2034,272.2
Benin,Benin,Energy: GWh,Gas,2035,232.6
Benin,Benin,Energy: GWh,Gas,2040,312.7
Benin,Benin,Energy: GWh,Gas,2045,312.7
Benin,Benin,Energy: GWh,Gas,2050,312.7
Benin,Benin,Energy: GWh,PV,2026,114.9
Benin,Benin,Energy: GWh,PV,2027,313.1
Benin,Benin,Energy: GWh,PV,2028,742.4
Benin,Benin,Energy: GWh,PV,2029,874.4
Benin,Benin,Energy: GWh,PV,2030,1006.5
Benin,Benin,Energy: GWh,PV,2031,1138.6
Benin,Benin,Energy: GWh,PV,2032,1270.7
Benin,Benin,Energy: GWh,PV,2033,1402.8
Benin,Benin,Energy: GWh,PV,2034,1534.9
Benin,Benin,Energy: GWh,PV,2035,1650.9
Benin,Benin,Energy: GWh,PV,2040,2327.5
Benin,Benin,Energy: GWh,PV,2045,2987.9
Benin,Benin,Energy: GWh,PV,2050,3632.5
Benin,Benin,Energy: GWh,Reservoir,2030,1539.7
Benin,Benin,Energy: GWh,Reservoir,2031,1539.7
Benin,Benin,Energy: GWh,Reservoir,2032,1626.7
Benin,Benin,Energy: GWh,Reservoir,2033,1626.7
Benin,Benin,Energy: GWh,Reservoir,2034,1626.7
Benin,Benin,Energy: GWh,Reservoir,2035,1626.7
Benin,Benin,Energy: GWh,Reservoir,2040,1626.7
Benin,Benin,Energy: GWh,Reservoir,2045,1626.7
Benin,Benin,Energy: GWh,Reservoir,2050,2385.3
Benin,Benin,Export revenues with internal zones: $/MWh,,,-166.7
Benin,Benin,Exports exchange: GWh,,2026,836.4
Benin,Benin,Exports exchange: GWh,,2027,1433.2
Benin,Benin,Exports exchange: GWh,,2028,2096.5
Benin,Benin,Exports exchange: GWh,,2029,1242.6
Benin,Benin,Exports exchange: GWh,,2030,1744.0
Benin,Benin,Exports exchange: GWh,,2031,2002.0
Benin,Benin,Exports exchange: GWh,,2032,2325.6
Benin,Benin,Exports exchange: GWh,,2033,2429.1
Benin,Benin,Exports exchange: GWh,,2034,2310.3
Benin,Benin,Exports exchange: GWh,,2035,2226.7
Benin,Benin,Exports exchange: GWh,,2040,2673.4
Benin,Benin,Exports exchange: GWh,,2045,2673.6
Benin,Benin,Exports exchange: GWh,,2050,2313.2
Benin,Benin,Fixed O&M: $/MWh,,,12.4
Benin,Benin,Fixed O&M: $m,,2026,6.4
Benin,Benin,Fixed O&M: $m,,2027,10.8
Benin,Benin,Fixed O&M: $m,,2028,17.1
Benin,Benin,Fixed O&M: $m,,2029,18.8
Benin,Benin,Fixed O&M: $m,,2030,42.4
Benin,Benin,Fixed O&M: $m,,2031,44.1
Benin,Benin,Fixed O&M: $m,,2032,47.0
Benin,Benin,Fixed O&M: $m,,2033,49.0
Benin,Benin,Fixed O&M: $m,,2034,51.0
Benin,Benin,Fixed O&M: $m,,2035,52.7
Benin,Benin,Fixed O&M: $m,,2040,63.6
Benin,Benin,Fixed O&M: $m,,2045,76.5
Benin,Benin,Fixed O&M: $m,,2050,100.3
Benin,Benin,Fuel costs: $/MWh,,,13.1
Benin,Benin,Fuel costs: $m,,2026,65.2
Benin,Benin,Fuel costs: $m,,2027,78.8
Benin,Benin,Fuel costs: $m,,2028,103.8
Benin,Benin,Fuel costs: $m,,2029,93.3
Benin,Benin,Fuel costs: $m,,2030,20.4
Benin,Benin,Fuel costs: $m,,2031,13.0
Benin,Benin,Fuel costs: $m,,2032,18.1
Benin,Benin,Fuel costs: $m,,2033,16.8
Benin,Benin,Fuel costs: $m,,2034,16.2
Benin,Benin,Fuel costs: $m,,2035,16.0
Benin,Benin,Fuel costs: $m,,2040,62.9
Benin,Benin,Fuel costs: $m,,2045,89.8
Benin,Benin,Fuel costs: $m,,2050,13.0
Benin,Benin,Generation: GWh,,2026,718.9
Benin,Benin,Generation: GWh,,2027,1257.1
Benin,Benin,Generation: GWh,,2028,2022.7
Benin,Benin,Generation: GWh,,2029,2007.6
Benin,Benin,Generation: GWh,,2030,2968.0
Benin,Benin,Generation: GWh,,2031,3016.9
Benin,Benin,Generation: GWh,,2032,3290.7
Benin,Benin,Generation: GWh,,2033,3529.7
Benin,Benin,Generation: GWh,,2034,3632.8
Benin,Benin,Generation: GWh,,2035,3722.7
Benin,Benin,Generation: GWh,,2040,5240.1
Benin,Benin,Generation: GWh,,2045,6565.3
Benin,Benin,Generation: GWh,,2050,7436.3
Benin,Benin,Import costs with internal zones: $/MWh,,,211.2
Benin,Benin,Import costs with internal zones: $m,,2026,527.5
Benin,Benin,Import costs with internal zones: $m,,2027,748.9
Benin,Benin,Import costs with internal zones: $m,,2028,908.5
Benin,Benin,Import costs with internal zones: $m,,2029,741.0
Benin,Benin,Import costs with internal zones: $m,,2030,271.9
Benin,Benin,Import costs with internal zones: $m,,2031,150.6
Benin,Benin,Import costs with internal zones: $m,,2032,398.8
Benin,Benin,Import costs with internal zones: $m,,2033,403.5
Benin,Benin,Import costs with internal zones: $m,,2034,421.3
Benin,Benin,Import costs with internal zones: $m,,2035,441.1
Benin,Benin,Import costs with internal zones: $m,,2040,898.6
Benin,Benin,Import costs with internal zones: $m,,2045,969.9
Benin,Benin,Import costs with internal zones: $m,,2050,2527.5
Benin,Benin,Imports exchange: GWh,,2026,2401.3
Benin,Benin,Imports exchange: GWh,,2027,2656.7
Benin,Benin,Imports exchange: GWh,,2028,2841.5
Benin,Benin,Imports exchange: GWh,,2029,2135.8
Benin,Benin,Imports exchange: GWh,,2030,1872.4
Benin,Benin,Imports exchange: GWh,,2031,2248.8
Benin,Benin,Imports exchange: GWh,,2032,2488.2
Benin,Benin,Imports exchange: GWh,,2033,2657.1
Benin,Benin,Imports exchange: GWh,,2034,2600.0
Benin,Benin,Imports exchange: GWh,,2035,2593.4
Benin,Benin,Imports exchange: GWh,,2040,2776.0
Benin,Benin,Imports exchange: GWh,,2045,2852.7
Benin,Benin,Imports exchange: GWh,,2050,2920.8
Benin,Benin,Investment costs: $/MWh,,,61.1
Benin,Benin,Investment costs: $m,,2026,4.7
Benin,Benin,Investment costs: $m,,2027,26.0
Benin,Benin,Investment costs: $m,,2028,62.2
Benin,Benin,Investment costs: $m,,2029,70.9
Benin,Benin,Investment costs: $m,,2030,225.3
Benin,Benin,Investment costs: $m,,2031,233.7
Benin,Benin,Investment costs: $m,,2032,250.1
Benin,Benin,Investment costs: $m,,2033,258.3
Benin,Benin,Investment costs: $m,,2034,266.6
Benin,Benin,Investment costs: $m,,2035,274.1
Benin,Benin,Investment costs: $m,,2040,323.4
Benin,Benin,Investment costs: $m,,2045,370.8
Benin,Benin,Investment costs: $m,,2050,497.0
Benin,Benin,Net interchange Ratio: GWh,,2026,0.7
Benin,Benin,Net interchange Ratio: GWh,,2027,0.5
Benin,Benin,Net interchange Ratio: GWh,,2028,0.3
Benin,Benin,Net interchange Ratio: GWh,,2029,0.3
Benin,Benin,Net interchange Ratio: GWh,,2030,0.0
Benin,Benin,Net interchange Ratio: GWh,,2031,0.1
Benin,Benin,Net interchange Ratio: GWh,,2032,0.0
Benin,Benin,Net interchange Ratio: GWh,,2033,0.1
Benin,Benin,Net interchange Ratio: GWh,,2034,0.1
Benin,Benin,Net interchange Ratio: GWh,,2035,0.1
Benin,Benin,Net interchange Ratio: GWh,,2040,0.0
Benin,Benin,Net interchange Ratio: GWh,,2045,0.0
Benin,Benin,Net interchange Ratio: GWh,,2050,0.1
Benin,Benin,Net interchange: GWh,,2026,1564.8
Benin,Benin,Net interchange: GWh,,2027,1223.4
Benin,Benin,Net interchange: GWh,,2028,745.0
Benin,Benin,Net interchange: GWh,,2029,893.2
Benin,Benin,Net interchange: GWh,,2030,128.4
Benin,Benin,Net interchange: GWh,,2031,246.7
Benin,Benin,Net interchange: GWh,,2032,162.6
Benin,Benin,Net interchange: GWh,,2033,228.0
Benin,Benin,Net interchange: GWh,,2034,289.8
Benin,Benin,Net interchange: GWh,,2035,366.7
Benin,Benin,Net interchange: GWh,,2040,102.6
Benin,Benin,Net interchange: GWh,,2045,179.1
Benin,Benin,Net interchange: GWh,,2050,607.6
Benin,Benin,New Capacity: MW,Battery,2027,41.7
Benin,Benin,New Capacity: MW,Battery,2028,52.9
Benin,Benin,New Capacity: MW,Battery,2032,2.1
Benin,Benin,New Capacity: MW,Battery,2033,18.7
Benin,Benin,New Capacity: MW,Battery,2034,18.6
Benin,Benin,New Capacity: MW,Battery,2035,1.1
Benin,Benin,New Capacity: MW,Battery,2040,178.4
Benin,Benin,New Capacity: MW,Battery,2045,313.5
Benin,Benin,New Capacity: MW,Battery,2050,592.0
Benin,Benin,New Capacity: MW,Gas,2027,42.0
Benin,Benin,New Capacity: MW,PV,2026,50.0
Benin,Benin,New Capacity: MW,PV,2027,150.0
Benin,Benin,New Capacity: MW,PV,2028,325.0
Benin,Benin,New Capacity: MW,PV,2029,100.0
Benin,Benin,New Capacity: MW,PV,2030,100.0
Benin,Benin,New Capacity: MW,PV,2031,100.0
Benin,Benin,New Capacity: MW,PV,2032,100.0
Benin,Benin,New Capacity: MW,PV,2033,100.0
Benin,Benin,New Capacity: MW,PV,2034,100.0
Benin,Benin,New Capacity: MW,PV,2035,100.0
Benin,Benin,New Capacity: MW,PV,2040,500.0
Benin,Benin,New Capacity: MW,PV,2045,500.0
Benin,Benin,New Capacity: MW,PV,2050,500.0
Benin,Benin,New Capacity: MW,Reservoir,2030,438.2
Benin,Benin,New Capacity: MW,Reservoir,2032,24.8
Benin,Benin,New Capacity: MW,Reservoir,2050,244.9
Benin,Benin,Price: $/MWh,,2026,242.2
Benin,Benin,Price: $/MWh,,2027,297.4
Benin,Benin,Price: $/MWh,,2028,346.0
Benin,Benin,Price: $/MWh,,2029,354.8
Benin,Benin,Price: $/MWh,,2030,145.3
Benin,Benin,Price: $/MWh,,2031,67.0
Benin,Benin,Price: $/MWh,,2032,161.0
Benin,Benin,Price: $/MWh,,2033,148.1
Benin,Benin,Price: $/MWh,,2034,155.6
Benin,Benin,Price: $/MWh,,2035,166.5
Benin,Benin,Price: $/MWh,,2040,319.1
Benin,Benin,Price: $/MWh,,2045,339.4
Benin,Benin,Price: $/MWh,,2050,854.0
Benin,Benin,Spinning Reserve: GWh,,2026,208.1
Benin,Benin,Spinning Reserve: GWh,,2027,290.8
Benin,Benin,Spinning Reserve: GWh,,2028,361.7
Benin,Benin,Spinning Reserve: GWh,,2029,434.0
Benin,Benin,Spinning Reserve: GWh,,2030,505.6
Benin,Benin,Spinning Reserve: GWh,,2031,536.3
Benin,Benin,Spinning Reserve: GWh,,2032,535.7
Benin,Benin,Spinning Reserve: GWh,,2033,551.7
Benin,Benin,Spinning Reserve: GWh,,2034,588.4
Benin,Benin,Spinning Reserve: GWh,,2035,604.6
Benin,Benin,Spinning Reserve: GWh,,2040,786.6
Benin,Benin,Spinning Reserve: GWh,,2045,970.5
Benin,Benin,Spinning Reserve: GWh,,2050,1130.6
Benin,Benin,Total Demand: GWh,,2026,2294.4
Benin,Benin,Total Demand: GWh,,2027,2454.9
Benin,Benin,Total Demand: GWh,,2028,2624.1
Benin,Benin,Total Demand: GWh,,2029,2814.9
Benin,Benin,Total Demand: GWh,,2030,3049.1
Benin,Benin,Total Demand: GWh,,2031,3226.9
Benin,Benin,Total Demand: GWh,,2032,3413.4
Benin,Benin,Total Demand: GWh,,2033,3578.3
Benin,Benin,Total Demand: GWh,,2034,3738.7
Benin,Benin,Total Demand: GWh,,2035,3907.9
Benin,Benin,Total Demand: GWh,,2040,4740.7
Benin,Benin,Total Demand: GWh,,2045,5635.7
Benin,Benin,Total Demand: GWh,,2050,6583.5
Benin,Benin,Trade shared benefits: $/MWh,,,-90.6
Benin,Benin,Transmission Capacity: MW,Nigeria,2026,340.0
Benin,Benin,Transmission Capacity: MW,Nigeria,2027,340.0
Benin,Benin,Transmission Capacity: MW,Nigeria,2028,340.0
Benin,Benin,Transmission Capacity: MW,Nigeria,2029,340.0
Benin,Benin,Transmission Capacity: MW,Nigeria,2030,340.0
Benin,Benin,Transmission Capacity: MW,Nigeria,2031,340.0
Benin,Benin,Transmission Capacity: MW,Nigeria,2032,340.0
Benin,Benin,Transmission Capacity: MW,Nigeria,2033,340.0
Benin,Benin,Transmission Capacity: MW,Nigeria,2034,340.0
Benin,Benin,Transmission Capacity: MW,Nigeria,2035,340.0
Benin,Benin,Transmission Capacity: MW,Nigeria,2040,340.0
Benin,Benin,Transmission Capacity: MW,Nigeria,2045,340.0
Benin,Benin,Transmission Capacity: MW,Nigeria,2050,340.0
Benin,Benin,Transmission Capacity: MW,Togo,2026,340.0
Benin,Benin,Transmission Capacity: MW,Togo,2027,340.0
Benin,Benin,Transmission Capacity: MW,Togo,2028,340.0
Benin,Benin,Transmission Capacity: MW,Togo,2029,340.0
Benin,Benin,Transmission Capacity: MW,Togo,2030,340.0
Benin,Benin,Transmission Capacity: MW,Togo,2031,340.0
Benin,Benin,Transmission Capacity: MW,Togo,2032,340.0
Benin,Benin,Transmission Capacity: MW,Togo,2033,340.0
Benin,Benin,Transmission Capacity: MW,Togo,2034,340.0
Benin,Benin,Transmission Capacity: MW,Togo,2035,340.0
Benin,Benin,Transmission Capacity: MW,Togo,2040,340.0
Benin,Benin,Transmission Capacity: MW,Togo,2045,340.0
Benin,Benin,Transmission Capacity: MW,Togo,2050,340.0
Benin,Benin,Unmet country CO2 backstop cost: $/MWh,,,7.3
Benin,Benin,Unmet country CO2 backstop cost: $m,,2035,0.7
Benin,Benin,Unmet country CO2 backstop cost: $m,,2040,58.8
Benin,Benin,Unmet country CO2 backstop cost: $m,,2045,115.5
Benin,Benin,Unmet country CO2 backstop cost: $m,,2050,28.4
Benin,Benin,Unmet country spinning reserve costs: $/MWh,,,0.8
Benin,Benin,Unmet country spinning reserve costs: $m,,2026,4.0
Benin,Benin,Unmet country spinning reserve costs: $m,,2027,1.2
Benin,Benin,Unmet country spinning reserve costs: $m,,2028,1.6
Benin,Benin,Unmet country spinning reserve costs: $m,,2029,3.3
Benin,Benin,Unmet country spinning reserve costs: $m,,2030,0.3
Benin,Benin,Unmet country spinning reserve costs: $m,,2031,0.3
Benin,Benin,Unmet country spinning reserve costs: $m,,2032,1.5
Benin,Benin,Unmet country spinning reserve costs: $m,,2033,1.8
Benin,Benin,Unmet country spinning reserve costs: $m,,2034,2.0
Benin,Benin,Unmet country spinning reserve costs: $m,,2035,3.6
Benin,Benin,Unmet country spinning reserve costs: $m,,2040,3.8
Benin,Benin,Unmet country spinning reserve costs: $m,,2045,4.3
Benin,Benin,Unmet country spinning reserve costs: $m,,2050,7.5
Benin,Benin,Unmet demand costs: $/MWh,,,0.3
Benin,Benin,Unmet demand costs: $m,,2026,10.7
Benin,Benin,Unmet demand costs: $m,,2027,0.2
Benin,Benin,Unmet demand costs: $m,,2028,5.7
Benin,Benin,Unmet demand costs: $m,,2029,4.3
Benin,Benin,Unmet demand: GWh,,2026,10.7
Benin,Benin,Unmet demand: GWh,,2027,0.2
Benin,Benin,Unmet demand: GWh,,2028,5.7
Benin,Benin,Unmet demand: GWh,,2029,4.3
Benin,Benin,Variable O&M: $/MWh,,,1.0
Benin,Benin,Variable O&M: $m,,2026,4.5
Benin,Benin,Variable O&M: $m,,2027,5.2
Benin,Benin,Variable O&M: $m,,2028,6.9
Benin,Benin,Variable O&M: $m,,2029,6.2
Benin,Benin,Variable O&M: $m,,2030,1.9
Benin,Benin,Variable O&M: $m,,2031,1.4
Benin,Benin,Variable O&M: $m,,2032,1.8
Benin,Benin,Variable O&M: $m,,2033,1.7
Benin,Benin,Variable O&M: $m,,2034,1.7
Benin,Benin,Variable O&M: $m,,2035,1.7
Benin,Benin,Variable O&M: $m,,2040,4.9
Benin,Benin,Variable O&M: $m,,2045,6.8
Benin,Benin,Variable O&M: $m,,2050,1.8
Burkina,Burkina,Annual Energy Exchanges: GWh,Ghana,2026,96.4
Burkina,Burkina,Annual Energy Exchanges: GWh,Ghana,2027,106.8
Burkina,Burkina,Annual Energy Exchanges: GWh,Ghana,2028,335.0
Burkina,Burkina,Annual Energy Exchanges: GWh,Ghana,2029,177.4
Burkina,Burkina,Annual Energy Exchanges: GWh,Ghana,2030,186.0
Burkina,Burkina,Annual Energy Exchanges: GWh,Ghana,2031,141.3
Burkina,Burkina,Annual Energy Exchanges: GWh,Ghana,2032,165.7
Burkina,Burkina,Annual Energy Exchanges: GWh,Ghana,2033,145.7
Burkina,Burkina,Annual Energy Exchanges: GWh,Ghana,2034,138.1
Burkina,Burkina,Annual Energy Exchanges: GWh,Ghana,2035,128.8
Burkina,Burkina,Annual Energy Exchanges: GWh,Ghana,2040,1927.2
Burkina,Burkina,Annual Energy Exchanges: GWh,Ghana,2045,1926.9
Burkina,Burkina,Annual Energy Exchanges: GWh,Ghana,2050,1378.5
Burkina,Burkina,Annual Energy Exchanges: GWh,IvoryCoast,2026,80.4
Burkina,Burkina,Annual Energy Exchanges: GWh,IvoryCoast,2030,10.5
Burkina,Burkina,Annual Energy Exchanges: GWh,IvoryCoast,2031,33.6
Burkina,Burkina,Annual Energy Exchanges: GWh,IvoryCoast,2040,2.3
Burkina,Burkina,Capacity: MW,Battery,2026,30.0
Burkina,Burkina,Capacity: MW,Battery,2027,30.0
Burkina,Burkina,Capacity: MW,Battery,2028,75.0
Burkina,Burkina,Capacity: MW,Battery,2029,133.8
Burkina,Burkina,Capacity: MW,Battery,2030,133.8
Burkina,Burkina,Capacity: MW,Battery,2031,224.8
Burkina,Burkina,Capacity: MW,Battery,2032,243.2
Burkina,Burkina,Capacity: MW,Battery,2033,425.0
Burkina,Burkina,Capacity: MW,Battery,2034,425.0
Burkina,Burkina,Capacity: MW,Battery,2035,425.0
Burkina,Burkina,Capacity: MW,Battery,2040,495.8
Burkina,Burkina,Capacity: MW,Battery,2045,921.8
Burkina,Burkina,Capacity: MW,Battery,2050,1117.2
Burkina,Burkina,Capacity: MW,Diesel,2026,469.4
Burkina,Burkina,Capacity: MW,Diesel,2027,469.4
Burkina,Burkina,Capacity: MW,Diesel,2028,469.4
Burkina,Burkina,Capacity: MW,Diesel,2029,469.4
Burkina,Burkina,Capacity: MW,Diesel,2030,469.4
Burkina,Burkina,Capacity: MW,Diesel,2031,469.4
Burkina,Burkina,Capacity: MW,Diesel,2032,547.5
Burkina,Burkina,Capacity: MW,Diesel,2033,455.0
Burkina,Burkina,Capacity: MW,Diesel,2034,582.9
Burkina,Burkina,Capacity: MW,Diesel,2035,703.8
Burkina,Burkina,Capacity: MW,Diesel,2040,1177.0
Burkina,Burkina,Capacity: MW,Diesel,2045,1177.0
Burkina,Burkina,Capacity: MW,Diesel,2050,1127.0
Burkina,Burkina,Capacity: MW,PV,2026,323.1
Burkina,Burkina,Capacity: MW,PV,2027,323.1
Burkina,Burkina,Capacity: MW,PV,2028,467.1
Burkina,Burkina,Capacity: MW,PV,2029,567.1
Burkina,Burkina,Capacity: MW,PV,2030,667.1
Burkina,Burkina,Capacity: MW,PV,2031,767.1
Burkina,Burkina,Capacity: MW,PV,2032,867.1
Burkina,Burkina,Capacity: MW,PV,2033,967.1
Burkina,Burkina,Capacity: MW,PV,2034,1067.1
Burkina,Burkina,Capacity: MW,PV,2035,1167.1
Burkina,Burkina,Capacity: MW,PV,2040,1667.1
Burkina,Burkina,Capacity: MW,PV,2045,2130.0
Burkina,Burkina,Capacity: MW,PV,2050,2506.0
Burkina,Burkina,Capacity: MW,Reservoir,2026,36.6
Burkina,Burkina,Capacity: MW,Reservoir,2027,36.6
Burkina,Burkina,Capacity: MW,Reservoir,2028,36.6
Burkina,Burkina,Capacity: MW,Reservoir,2029,36.6
Burkina,Burkina,Capacity: MW,Reservoir,2030,174.2
Burkina,Burkina,Capacity: MW,Reservoir,2031,175.6
Burkina,Burkina,Capacity: MW,Reservoir,2032,175.6
