c,z,attribute,y,uni,value
Libya,Libya,NetImport,2026,Egypt,1314.0
Libya,Libya,NetImport,2026,Tunisia,801.6
Libya,Libya,NetImport,2028,Egypt,1314.0
Libya,Libya,NetImport,2028,Tunisia,876.0
Libya,Libya,NetImport,2030,Egypt,1314.0
Libya,Libya,NetImport,2030,Tunisia,876.0
Libya,Libya,NetImport,2032,Egypt,1314.0
Libya,Libya,NetImport,2032,Tunisia,876.0
Libya,Libya,NetImport,2034,Egypt,1314.0
Libya,Libya,NetImport,2034,Tunisia,876.0
Libya,Libya,NetImport,2036,Egypt,1314.0
Libya,Libya,NetImport,2036,Tunisia,876.0
Libya,Libya,NetImport,2038,Egypt,1314.0
Libya,Libya,NetImport,2038,Tunisia,876.0
Libya,Libya,NetImport,2040,Egypt,1314.0
Libya,Libya,NetImport,2040,Tunisia,876.0
Libya,Libya,NetImport,2042,Egypt,1314.0
Libya,Libya,NetImport,2042,Tunisia,876.0
Libya,Libya,NetImport,2044,Egypt,1314.0
Libya,Libya,NetImport,2044,Tunisia,851.8824597076506
Libya,Libya,NetImport,2046,Egypt,1087.65
Libya,Libya,NetImport,2046,Tunisia,725.1
Libya,Libya,NetImport,2048,Egypt,799.9443035578041
Libya,Libya,NetImport,2048,Tunisia,520.5
Libya,Libya,NetImport,2050,Egypt,458.7364086063596
Libya,Libya,NetImport,2050,Tunisia,297.78941165966893
