zone,tech,fuel,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life
DRC_South,ICE,HFO,,,,0,0.4,8000,6.4,0,,30
Eswatini,ICE,HFO,,,,0,0.4,8000,6.4,0,,30
Lesotho,ICE,HFO,,,,0,0.4,8000,6.4,0,,30
Malawi,ICE,HFO,,,,0,0.4,8000,6.4,0,,30
Mozambique,ICE,HFO,,,,0,0.4,8000,6.4,0,,30
Namibia,ICE,HFO,,,,0,0.4,8000,6.4,0,,30
South_Africa,ICE,HFO,,,,0,0.4,8000,6.4,0,,30
Tanzania,ICE,HFO,,,,0,0.2,13300,4.5,0,,30
Zambia,ICE,HFO,,,,0,0.4,8000,6.4,0,,30
Zimbabwe,ICE,HFO,,,,0,0.4,8000,6.4,0,,30
Angola,OCGT,Gas,9,,,0,0.2,20000,4,0,,30
Botswana,OCGT,Gas,9,,,0,0.2,20000,4,0,,30
DRC,OCGT,Gas,9,,,0,0.2,20000,4,0,,30
DRC_South,OCGT,Gas,9,,,0,0.2,20000,4,0,,30
Eswatini,OCGT,Gas,9,,,0,0.2,20000,4,0,,30
Lesotho,OCGT,Gas,9,,,0,0.2,20000,4,0,,30
Malawi,OCGT,Gas,9,,,0,0.2,20000,4,0,,30
Mozambique,OCGT,Gas,9,,,0,0.2,20000,4,0,,30
Namibia,OCGT,Gas,9,,,0,0.2,20000,4,0,,30
South_Africa,OCGT,Gas,9,,,0,0.2,20000,4,0,,30
Tanzania,OCGT,Gas,9,,,0,0.2,20000,4.5,0,,30
Zambia,OCGT,Gas,9,,,0,0.2,20000,4,0,,30
Zimbabwe,OCGT,Gas,9,,,0,0.2,20000,4,0,,30
Tanzania,OCGT,HFO,,,,0,0.2,20000,4.4,0,,30
Zambia,OCGT,HFO,,,,0,0.2,20000,4.4,0,,30
Zimbabwe,OCGT,HFO,,,,0,0.2,20000,4.4,0,,30
Angola,OCGT,LNG,9,,,0,0.2,20000,4,0,,30
Botswana,OCGT,LNG,9,,,0,0.2,20000,4,0,,30
DRC,OCGT,LNG,9,,,0,0.2,20000,4,0,,30
DRC_South,OCGT,LNG,9,,,0,0.2,20000,4,0,,30
Eswatini,OCGT,LNG,9,,,0,0.2,20000,4,0,,30
Lesotho,OCGT,LNG,9,,,0,0.2,20000,4,0,,30
Malawi,OCGT,LNG,9,,,0,0.2,20000,4,0,,30
Mozambique,OCGT,LNG,9,,,0,0.2,20000,4,0,,30
Namibia,OCGT,LNG,9,,,0,0.2,20000,4,0,,30
South_Africa,OCGT,LNG,9,,,0,0.2,20000,4,0,,30
Tanzania,OCGT,LNG,9,,,0,0.2,20000,4,0,,30
Zambia,OCGT,LNG,9,,,0,0.2,20000,4,0,,30
Zimbabwe,OCGT,LNG,9,,,0,0.2,20000,4,0,,30
Angola,PV,Solar,,,,0,0,15000,0,0,0.8,25
Botswana,PV,Solar,,,,0,0,15000,0,0,0.8,25
DRC,PV,Solar,,,,0,0,15000,0,0,0.8,25
DRC_South,PV,Solar,,,,0,0,15000,0,0,0.8,25
Eswatini,PV,Solar,,,,0,0,15000,0,0,0.8,25
Lesotho,PV,Solar,,,,0,0,15000,0,0,0.8,25
Malawi,PV,Solar,,,,0,0,15000,0,0,0.8,25
Mozambique,PV,Solar,,,,0,0,15000,0,0,0.8,25
Namibia,PV,Solar,,,,0,0,15000,0,0,0.8,25
South_Africa,PV,Solar,,,,0,0,15000,0,0,0.8,25
Tanzania,PV,Solar,,,,0,0,14000,0,0,0.8,25
Zambia,PV,Solar,,,,0,0,15000,0,0,0.8,25
Zimbabwe,PV,Solar,,,,0,0,15000,0,0,0.8,25
Angola,ReservoirHydro,Water,0,0.3,0.3,0,,40000,0.55,0,,30
Botswana,ReservoirHydro,Water,0,0.3,0.3,0,,40000,0.55,0,,30
DRC,ReservoirHydro,Water,0,0.3,0.3,0,,40000,0.55,0,,30
DRC_South,ReservoirHydro,Water,0,0.3,0.3,0,,40000,0.55,0,,30
Eswatini,ReservoirHydro,Water,0,0.3,0.3,0,,40000,0.55,0,,30
Lesotho,ReservoirHydro,Water,0,0.3,0.3,0,,40000,0.55,0,,30
Malawi,ReservoirHydro,Water,0,0.3,0.3,0,,40000,0.55,0,,30
Mozambique,ReservoirHydro,Water,0,0.3,0.3,0,,40000,0.55,0,,30
Namibia,ReservoirHydro,Water,0,0.3,0.3,0,,40000,0.55,0,,30
South_Africa,ReservoirHydro,Water,0,0.3,0.3,0,,40000,0.55,0,,30
Tanzania,ReservoirHydro,Water,0,0.3,0.3,0,,40000,0.55,0,,30
Zambia,ReservoirHydro,Water,0,0.3,0.3,0,,40000,0.55,0,,30
Zimbabwe,ReservoirHydro,Water,0,0.3,0.3,0,,40000,0.55,0,,30
Angola,ROR,Water,0,,,0,,46500,0.55,0,,30
Botswana,ROR,Water,0,,,0,,46500,0.55,0,,30
DRC,ROR,Water,0,,,0,,46500,0.55,0,,30
DRC_South,ROR,Water,0,,,0,,46500,0.55,0,,30
Eswatini,ROR,Water,0,,,0,,46500,0.55,0,,30
Lesotho,ROR,Water,0,,,0,,46500,0.55,0,,30
Malawi,ROR,Water,0,,,0,,46500,0.55,0,,30
Mozambique,ROR,Water,0,,,0,,46500,0.55,0,,30
Namibia,ROR,Water,0,,,0,,46500,0.55,0,,30
South_Africa,ROR,Water,0,,,0,,46500,0.55,0,,30
Tanzania,ROR,Water,0,,,0,,46500,0.55,0,,50
Zambia,ROR,Water,0,,,0,,46500,0.55,0,,30
Zimbabwe,ROR,Water,0,,,0,,46500,0.55,0,,30
Angola,ST,Biomass,,,,0,0.01,100000,3,0,,30
Botswana,ST,Biomass,,,,0,0.01,100000,3,0,,30
DRC,ST,Biomass,,,,0,0.01,100000,3,0,,30
DRC_South,ST,Biomass,,,,0,0.01,100000,3,0,,30
Eswatini,ST,Biomass,,,,0,0.01,100000,3,0,,30
Lesotho,ST,Biomass,,,,0,0.01,100000,3,0,,30
Malawi,ST,Biomass,,,,0,0.01,100000,3,0,,30
Mozambique,ST,Biomass,,,,0,0.01,100000,3,0,,30
Namibia,ST,Biomass,,,,0,0.01,100000,3,0,,30
South_Africa,ST,Biomass,,,,0,0.01,100000,3,0,,30
Tanzania,ST,Biomass,,,,0,0.2,48000,3,0,,30
Zambia,ST,Biomass,,,,0,0.01,100000,3,0,,30
Zimbabwe,ST,Biomass,,,,0,0.01,100000,3,0,,30
Tanzania,ST,Geothermal,,,,,0.2,128400,0.0012,,3.5,30
Angola,ST ,Coal,,,,0,0.05,45000,3,0,,30
Botswana,ST ,Coal,,,,0,0.05,45000,3,0,,30
DRC,ST ,Coal,,,,0,0.05,45000,3,0,,30
DRC_South,ST ,Coal,,,,0,0.05,45000,3,0,,30
Eswatini,ST ,Coal,,,,0,0.05,45000,3,0,,30
Lesotho,ST ,Coal,,,,0,0.05,45000,3,0,,30
Malawi,ST ,Coal,,,,0,0.05,60000,3,0,,30
Mozambique,ST ,Coal,,,,0,0.05,45000,3,0,,30
Namibia,ST ,Coal,,,,0,0.05,45000,3,0,,30
South_Africa,ST ,Coal,,,,0,0.05,45000,3,0,,30
Tanzania,ST ,Coal,,,,0,0.1,66000,6.5,0,2.2,50
Zambia,ST ,Coal,,,,0,0.1,66000,6.5,0,2.2,50
Zimbabwe,ST ,Coal,11.37,,,0,0.27,66000,6.5,0,2.2,50
Angola,Storage,Battery,0,,,0,0.9,13860,0,0,0.2,20
Botswana,Storage,Battery,0,,,0,0.9,13860,0,0,0.2,20
DRC,Storage,Battery,0,,,0,0.9,13860,0,0,0.2,20
DRC_South,Storage,Battery,0,,,0,0.9,13860,0,0,0.2,20
Eswatini,Storage,Battery,0,,,0,0.9,13860,0,0,0.2,20
Lesotho,Storage,Battery,0,,,0,0.9,13860,0,0,0.2,20
Malawi,Storage,Battery,0,,,0,0.9,13860,0,0,0.2,20
Mozambique,Storage,Battery,0,,,0,0.9,13860,0,0,0.2,20
Namibia,Storage,Battery,0,,,0,0.9,13860,0,0,0.2,20
South_Africa,Storage,Battery,0,,,0,0.9,13860,0,0,0.2,20
Tanzania,Storage,Battery,0,,,0,0.9,13860,0,0,0.2,20
Zambia,Storage,Battery,0,,,0,0.9,13860,0,0,0.2,20
Zimbabwe,Storage,Battery,0,,,0,0.9,13860,0,0,0.2,20
Angola,OnshoreWind,Wind,,,,0,0,28000,0,0,1.6,30
Botswana,OnshoreWind,Wind,,,,0,0,28000,0,0,1.6,30
DRC,OnshoreWind,Wind,,,,0,0,28000,0,0,1.6,30
DRC_South,OnshoreWind,Wind,,,,0,0,28000,0,0,1.6,30
Eswatini,OnshoreWind,Wind,,,,0,0,28000,0,0,1.6,30
Lesotho,OnshoreWind,Wind,,,,0,0,28000,0,0,1.6,30
Malawi,OnshoreWind,Wind,,,,0,0,28000,0,0,1.6,30
Mozambique,OnshoreWind,Wind,,,,0,0,28000,0,0,1.6,30
Namibia,OnshoreWind,Wind,,,,0,0,28000,0,0,1.6,30
South_Africa,OnshoreWind,Wind,,,,0,0,28000,0,0,1.6,30
Tanzania,OnshoreWind,Wind,,,,0,0,28000,0,0,1.6,30
Zambia,OnshoreWind,Wind,,,,0,0,28000,0,0,1.6,30
Zimbabwe,OnshoreWind,Wind,,,,0,0,28000,0,0,1.6,30
