Scenario,gen,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
APS,Solar,0.82599999999999996,1,1,1,1,1,0.94794188861985484,0.89467312348668282,0.84261501210653755,0.78934624697336564,0.77723970944309928,0.76513317191283303,0.75302663438256667,0.73970944309927367,0.72760290556900731,0.71549636803874095,0.70338983050847459,0.69128329297820823,0.67796610169491534,0.66585956416464898,0.65375302663438262,0.64164648910411626,0.6295399515738499,0.61622276029055689,0.60411622276029053,0.59200968523002429,0.57990314769975793,0.56779661016949157,0.55447941888619856,0.5423728813559322,0.5423728813559322,0.5423728813559322,0.5423728813559322,0.5423728813559322,0.5423728813559322,0.5423728813559322,0.5423728813559322,0.5423728813559322,0.5423728813559322,0.5423728813559322
APS,Rooftop PV,0.80300000000000005,1,1,1,1,1,0.93897882938978827,0.87795765877957643,0.81693648816936482,0.75466998754669978,0.74595267745952665,0.73723536737235362,0.72851805728518049,0.71980074719800735,0.71108343711083422,0.70236612702366119,0.69364881693648817,0.68493150684931503,0.67621419676214201,0.66749688667496887,0.65877957658779573,0.6500622665006226,0.64134495641344957,0.63262764632627644,0.6239103362391033,0.61519302615193017,0.60647571606475714,0.59775840597758401,0.58779576587795757,0.57907845579078454,0.57907845579078454,0.57907845579078454,0.57907845579078454,0.57907845579078454,0.57907845579078454,0.57907845579078454,0.57907845579078454,0.57907845579078454,0.57907845579078454,0.57907845579078454
APS,Wind_Low_1,0.97099999999999997,1,1,1,1,1,0.9927909371781668,0.98455200823892897,0.97734294541709577,0.97013388259526256,0.96704428424304834,0.96395468589083422,0.9608650875386201,0.95777548918640587,0.95571575695159638,0.95262615859938216,0.94953656024716793,0.9464469618949537,0.94438722966014421,0.94129763130792998,0.93820803295571586,0.93511843460350164,0.93202883625128741,0.92996910401647792,0.92687950566426369,0.92378990731204946,0.92070030895983523,0.91761071060762101,0.91555097837281152,0.9124613800205974,0.9124613800205974,0.9124613800205974,0.9124613800205974,0.9124613800205974,0.9124613800205974,0.9124613800205974,0.9124613800205974,0.9124613800205974,0.9124613800205974,0.9124613800205974
APS,Wind_Offshore,0.82,1,1,1,1,1,0.94512195121951226,0.89146341463414636,0.83658536585365861,0.78170731707317076,0.76829268292682928,0.75609756097560976,0.74390243902439024,0.73048780487804876,0.71829268292682924,0.70609756097560972,0.69268292682926824,0.68048780487804883,0.66829268292682931,0.65487804878048783,0.64268292682926831,0.63048780487804879,0.61707317073170731,0.60487804878048779,0.59146341463414631,0.57926829268292679,0.56707317073170738,0.5536585365853659,0.54146341463414638,0.52926829268292686,0.52926829268292686,0.52926829268292686,0.52926829268292686,0.52926829268292686,0.52926829268292686,0.52926829268292686,0.52926829268292686,0.52926829268292686,0.52926829268292686,0.52926829268292686
APS,Battery,0.748,1,1,1,1,1,0.94919786096256675,0.89839572192513373,0.84893048128342252,0.80614973262032086,0.79812834224598928,0.79010695187165769,0.78342245989304804,0.77540106951871657,0.76737967914438499,0.7593582887700534,0.75133689839572204,0.74465240641711239,0.73663101604278081,0.72860962566844922,0.72058823529411764,0.71256684491978617,0.70588235294117652,0.69786096256684493,0.68983957219251335,0.68181818181818188,0.6737967914438503,0.66711229946524064,0.65909090909090906,0.65106951871657748,0.65106951871657748,0.65106951871657748,0.65106951871657748,0.65106951871657748,0.65106951871657748,0.65106951871657748,0.65106951871657748,0.65106951871657748,0.65106951871657748,0.65106951871657748
APS,Wind_Low_2,0.97099999999999997,1,1,1,1,1,0.9927909371781668,0.98455200823892897,0.97734294541709577,0.97013388259526256,0.96704428424304834,0.96395468589083422,0.9608650875386201,0.95777548918640587,0.95571575695159638,0.95262615859938216,0.94953656024716793,0.9464469618949537,0.94438722966014421,0.94129763130792998,0.93820803295571586,0.93511843460350164,0.93202883625128741,0.92996910401647792,0.92687950566426369,0.92378990731204946,0.92070030895983523,0.91761071060762101,0.91555097837281152,0.9124613800205974,0.9124613800205974,0.9124613800205974,0.9124613800205974,0.9124613800205974,0.9124613800205974,0.9124613800205974,0.9124613800205974,0.9124613800205974,0.9124613800205974,0.9124613800205974
APS,Geothermal,0.94799999999999995,1,1,1,1,1,0.98734177215189889,0.97362869198312241,0.95991561181434604,0.94620253164556967,0.94092827004219415,0.93670886075949378,0.93143459915611815,0.92721518987341778,0.9229957805907173,0.91772151898734178,0.91350210970464141,0.90928270042194093,0.90400843881856541,0.89978902953586504,0.89556962025316456,0.89029535864978904,0.88607594936708867,0.88185654008438819,0.87763713080168781,0.87341772151898733,0.86919831223628696,0.86392405063291133,0.85970464135021096,0.85548523206751059,0.85548523206751059,0.85548523206751059,0.85548523206751059,0.85548523206751059,0.85548523206751059,0.85548523206751059,0.85548523206751059,0.85548523206751059,0.85548523206751059,0.85548523206751059
APS,Biomass,0.97399999999999998,1,1,1,1,1,0.99383983572895274,0.98767967145790558,0.98049281314168379,0.97433264887063653,0.96817248459958927,0.96098562628336759,0.95482546201232044,0.94866529774127317,0.94147843942505138,0.93531827515400412,0.92915811088295697,0.92197125256673518,0.91581108829568791,0.90862422997946612,0.90246406570841886,0.89630390143737171,0.88911704312114992,0.88295687885010266,0.87679671457905539,0.86960985626283371,0.86344969199178645,0.85728952772073919,0.8501026694045174,0.84394250513347024,0.84394250513347024,0.84394250513347024,0.84394250513347024,0.84394250513347024,0.84394250513347024,0.84394250513347024,0.84394250513347024,0.84394250513347024,0.84394250513347024,0.84394250513347024
APS,GasCCS,0.95299999999999996,1,1,1,1,1,0.98426023084994751,0.96956977964323199,0.95487932843651635,0.94228751311647441,0.9286463798530955,0.91605456453305356,0.90346274921301162,0.88772298006295913,0.87303252885624349,0.85834207764952775,0.84365162644281222,0.82896117523609658,0.82161594963273876,0.81532004197271779,0.80797481636935997,0.80062959076600215,0.79328436516264433,0.78593913955928651,0.7785939139559287,0.77124868835257088,0.76390346274921306,0.75760755508919209,0.751311647429171,0.74501573976915003,0.74501573976915003,0.74501573976915003,0.74501573976915003,0.74501573976915003,0.74501573976915003,0.74501573976915003,0.74501573976915003,0.74501573976915003,0.74501573976915003,0.74501573976915003
APS,Wind_High,0.97099999999999997,1,1,1,1,1,0.9927909371781668,0.98455200823892897,0.97734294541709577,0.97013388259526256,0.96704428424304834,0.96395468589083422,0.9608650875386201,0.95777548918640587,0.95571575695159638,0.95262615859938216,0.94953656024716793,0.9464469618949537,0.94438722966014421,0.94129763130792998,0.93820803295571586,0.93511843460350164,0.93202883625128741,0.92996910401647792,0.92687950566426369,0.92378990731204946,0.92070030895983523,0.91761071060762101,0.91555097837281152,0.9124613800205974,0.9124613800205974,0.9124613800205974,0.9124613800205974,0.9124613800205974,0.9124613800205974,0.9124613800205974,0.9124613800205974,0.9124613800205974,0.9124613800205974,0.9124613800205974
