zext,q,daytype,,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Greece,m1,d5,2023,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m1,d5,2025,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m1,d5,2030,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m1,d5,2035,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m1,d5,2040,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m1,d5,2045,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m1,d5,2050,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m1,d6,2023,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m1,d6,2025,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m1,d6,2030,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m1,d6,2035,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m1,d6,2040,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m1,d6,2045,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m1,d6,2050,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m1,d7,2023,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m1,d7,2025,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m1,d7,2030,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m1,d7,2035,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m1,d7,2040,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m1,d7,2045,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m1,d7,2050,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d1,2023,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d1,2025,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d1,2030,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d1,2035,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d1,2040,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d1,2045,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d1,2050,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d2,2023,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d2,2025,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d2,2030,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d2,2035,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d2,2040,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d2,2045,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d2,2050,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d3,2023,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d3,2025,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d3,2030,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d3,2035,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d3,2040,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d3,2045,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d3,2050,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d4,2023,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d4,2025,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d4,2030,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d4,2035,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d4,2040,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d4,2045,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d4,2050,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d5,2023,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d5,2025,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d5,2030,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d5,2035,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d5,2040,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d5,2045,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d5,2050,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d6,2023,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d6,2025,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d6,2030,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d6,2035,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d6,2040,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d6,2045,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d6,2050,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d7,2023,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d7,2025,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d7,2030,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d7,2035,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d7,2040,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d7,2045,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m2,d7,2050,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d1,2023,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d1,2025,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d1,2030,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d1,2035,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d1,2040,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d1,2045,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d1,2050,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d2,2023,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d2,2025,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d2,2030,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d2,2035,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d2,2040,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d2,2045,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d2,2050,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d3,2023,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d3,2025,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d3,2030,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d3,2035,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d3,2040,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d3,2045,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d3,2050,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d4,2023,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d4,2025,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d4,2030,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d4,2035,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d4,2040,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d4,2045,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
Greece,m3,d4,2050,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336,101.336
