z,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
WestMed,Peak,4477.503983,4814.604184,4985.559356,5156.514528,5327.4697,5498.424873,5669.380045,5777.018487,5884.656928,5992.29537,6099.933812,6207.572254,6599.732174,6991.892094,7384.052014,7776.211934,8168.371854,8560.531774,8952.691694,9344.851614,9737.011534,10129.17145,10521.33137,10913.49129,11305.65121,11697.81113,12089.97105,12482.13097,12874.29089,13266.45081
WestMed,Energy,26533.01134,28530.61614,29543.67063,30556.72512,31569.77961,32582.83411,33595.8886,34233.73772,34871.58685,35509.43597,36147.2851,36785.13422,39109.01459,41432.89496,43756.77533,46080.65569,48404.53606,50728.41643,53052.2968,55376.17717,57700.05754,60023.9379,62347.81827,64671.69864,66995.57901,69319.45938,71643.33974,73967.22011,76291.10048,78614.98085
WestAna,Peak,8076.994004,8685.090907,8993.47788,9301.864853,9610.251827,9918.6388,10227.02577,10421.19535,10615.36492,10809.5345,11003.70408,11197.87365,11905.29308,12612.71252,13320.13195,14027.55138,14734.97081,15442.39024,16149.80967,16857.22911,17564.64854,18272.06797,18979.4874,19686.90683,20394.32626,21101.7457,21809.16513,22516.58456,23224.00399,23931.42342
WestAna,Energy,47863.04475,51466.53501,53293.98957,55121.44413,56948.89868,58776.35324,60603.8078,61754.42733,62905.04687,64055.66641,65206.28594,66356.90548,70548.96603,74741.02657,78933.08712,83125.14767,87317.20822,91509.26877,95701.32932,99893.38986,104085.4504,108277.511,112469.5715,116661.6321,120853.6926,125045.7532,129237.8137,133429.8742,137621.9348,141813.9953
EastMed,Peak,5166.883452,5555.885328,5753.161635,5950.437942,6147.714249,6344.990556,6542.266863,6666.477871,6790.68888,6914.899888,7039.110896,7163.321904,7615.860776,8068.399648,8520.93852,8973.477391,9426.016263,9878.555135,10331.09401,10783.63288,11236.17175,11688.71062,12141.24949,12593.78837,13046.32724,13498.86611,13951.40498,14403.94385,14856.48273,15309.0216
EastMed,Energy,30618.1698,32923.33607,34092.36563,35261.39519,36430.42474,37599.4543,38768.48385,39504.5395,40240.59514,40976.65079,41712.70644,42448.76208,45130.43899,47812.11589,50493.79279,53175.4697,55857.1466,58538.82351,61220.50041,63902.17731,66583.85422,69265.53112,71947.20803,74628.88493,77310.56183,79992.23874,82673.91564,85355.59255,88037.26945,90718.94636
EastAna,Peak,1515.465837,1629.561511,1687.423375,1745.285238,1803.147101,1861.008964,1918.870828,1955.302371,1991.733915,2028.165458,2064.597002,2101.028545,2233.759854,2366.491162,2499.22247,2631.953778,2764.685087,2897.416395,3030.147703,3162.879011,3295.61032,3428.341628,3561.072936,3693.804244,3826.535553,3959.266861,4091.998169,4224.729477,4357.460786,4490.192094
EastAna,Energy,8980.42132,9656.53503,9999.41568,10342.29633,10685.17698,11028.05763,11370.93828,11586.82609,11802.71391,12018.60173,12234.48954,12450.37736,13236.92301,14023.46867,14810.01433,15596.55998,16383.10564,17169.65129,17956.19695,18742.74261,19529.28826,20315.83392,21102.37957,21888.92523,22675.47088,23462.01654,24248.5622,25035.10785,25821.65351,26608.19916
SouthEast,Peak,7943.180202,8541.202594,8844.480435,9147.758276,9451.036116,9754.313957,10057.5918,10248.54451,10439.49723,10630.44994,10821.40266,11012.35537,11708.05479,12403.75421,13099.45362,13795.15304,14490.85246,15186.55188,15882.25129,16577.95071,17273.65013,17969.34955,18665.04896,19360.74838,20056.4478,20752.14722,21447.84663,22143.54605,22839.24547,23534.94489
SouthEast,Energy,47070.0844,50613.87464,52411.05325,54208.23186,56005.41047,57802.58908,59599.76769,60731.32459,61862.88149,62994.43839,64125.9953,65257.5522,69380.16172,73502.77123,77625.38075,81747.99027,85870.59978,89993.2093,94115.81882,98238.42834,102361.0379,106483.6474,110606.2569,114728.8664,118851.4759,122974.0854,127096.695,131219.3045,135341.914,139464.5235
