gen,Q1,Q2,Q3,Q4
ExistingSmallHydro2000_HY_AGO,0.38,0.38,0.38,0.38
AH_Cambambe_C1,0.54,0.54,0.54,0.54
AH_Capanda,0.5,0.5,0.5,0.5
ExistingSmallHydro2012_HY_AGO,0.38,0.38,0.38,0.38
AH_Matala,0.38,0.38,0.38,0.38
LuandaOCGT_TH_AGO,0.85,0.85,0.85,0.85
CT_Malembo,0.85,0.85,0.85,0.85
CIF_TH_AGO,0.85,0.85,0.85,0.85
MCT_Morro_Bento,0.85,0.85,0.85,0.85
RochaPinto_TH_AGO,0.85,0.85,0.85,0.85
Francistown_TH_BWA,0.85,0.85,0.85,0.85
MorupuleA_TH_BWA,0.65,0.65,0.65,0.65
MorupuleB_TH_BWA,0.85,0.85,0.85,0.85
Orapa1and2_TH_BWA,0.85,0.85,0.85,0.85
SmallHydro_HY_ZAR,0.386870345,0.386870345,0.386870345,0.386870345
Inga1_HY_ZAR,0.77,0.77,0.77,0.77
Inga2_HY_ZAR,0.87,0.87,0.87,0.87
Kilubi_HY_ZAR,0.54,0.54,0.54,0.54
Koni_HY_ZAR,0.78,0.78,0.78,0.78
MobayiMbongo_HY_ZAR,0.43,0.43,0.43,0.43
Mwadingusha_HY_ZAR,0.88,0.88,0.88,0.88
Nseke_HY_ZAR,0.82,0.82,0.82,0.82
Nzilo_HY_ZAR,0.62,0.62,0.62,0.62
Nzoro_HY_ZAR,0.386870345,0.386870345,0.386870345,0.386870345
Ruzizi12Tshopo_HY_ZAR,0.62,0.62,0.62,0.62
Nzongo_HY_ZAR,0.87,0.87,0.87,0.87
Muanda_TH_ZAR,0.85,0.85,0.85,0.85
Muela_HY_LSO,0.786,0.944,0.82,0.617
Mzuzu_Luwinga_ICE_MWI,0.85,0.85,0.85,0.85
Lilongwe,0.85,0.85,0.85,0.85
CahoraBassa_HY_MOZ,0.8,0.8,0.8,0.8
Existing_HY_MOZ,0.812880276,0.812880276,0.812880276,0.812880276
Aggreko_TH_MOZ,0.85,0.85,0.85,0.85
Beloluane_TH_MOZ,0.85,0.85,0.85,0.85
LuisCabral_TH_MOZ,0.85,0.85,0.85,0.85
Karpower_TH_MOZ,0.85,0.85,0.85,0.85
RessanoGarciaEDM/Sasol_TH_MOZ,0.85,0.85,0.85,0.85
RessanoGarciaGigawatt_TH_MOZ,0.85,0.85,0.85,0.85
Temane_TH_MOZ,0.85,0.85,0.85,0.85
Temane2_TH_MOZ,0.85,0.85,0.85,0.85
Ruacana_HY_NAM,0.35,0.35,0.35,0.35
Anixas_TH_NAM,0.85,0.85,0.85,0.85
Paratus_TH_NAM,0.85,0.85,0.85,0.85
VanEck_TH_NAM,0.65,0.65,0.65,0.65
ExistingHydro1985_HY_ZAF,0.37,0.37,0.37,0.37
DrakensbergPH_HY_ZAF,0.85,0.85,0.85,0.85
Gariep_HY_ZAF,0.37,0.37,0.37,0.37
Ingula_HY_ZAF,0.85,0.85,0.85,0.85
ExistingHydro2015_HY_ZAF,0.37,0.37,0.37,0.37
PalmietPH_HY_ZAF,0.85,0.85,0.85,0.85
SreenbrasPH_HY_ZAF,0.85,0.85,0.85,0.85
Vanderkloof_HY_ZAF,0.37,0.37,0.37,0.37
Acacia_TH_ZAF,0.85,0.85,0.85,0.85
Ankerlig(Atlantis)_TH_ZAF,0.85,0.85,0.85,0.85
Avon_TH_ZAF,0.85,0.85,0.85,0.85
Dedisa_TH_ZAF,0.85,0.85,0.85,0.85
Gourikwa_TH_ZAF,0.85,0.85,0.85,0.85
PortRexGas_TH_ZAF,0.85,0.85,0.85,0.85
Sasolburg_TH_ZAF,0.85,0.85,0.85,0.85
Secunda(SasolSynthetic)_TH_ZAF,0.85,0.85,0.85,0.85
Arnot1_TH_ZAF,0.65,0.65,0.65,0.65
Athlone_TH_ZAF,0.65,0.65,0.65,0.65
Bloemfontein_TH_ZAF,0.65,0.65,0.65,0.65
Camden_TH_ZAF,0.65,0.65,0.65,0.65
Duvha_TH_ZAF,0.65,0.65,0.65,0.65
Grootvlei_TH_ZAF,0.65,0.65,0.65,0.65
Hendrina_TH_ZAF,0.65,0.65,0.65,0.65
KelvinA_TH_ZAF,0.65,0.65,0.65,0.65
KelvinB_TH_ZAF,0.65,0.65,0.65,0.65
Kendal_TH_ZAF,0.65,0.65,0.65,0.65
KomatiI_TH_ZAF,0.65,0.65,0.65,0.65
KomatiII_TH_ZAF,0.65,0.65,0.65,0.65
Kriel_TH_ZAF,0.65,0.65,0.65,0.65
Kusile_I_TH_ZAF,0.85,0.85,0.85,0.85
Lethabo_TH_ZAF,0.65,0.65,0.65,0.65
MajubaI_TH_ZAF,0.65,0.65,0.65,0.65
MajubaII_TH_ZAF,0.65,0.65,0.65,0.65
Matimba_TH_ZAF,0.65,0.65,0.65,0.65
Matla_TH_ZAF,0.65,0.65,0.65,0.65
Medupi_TH_ZAF,0.85,0.85,0.85,0.85
PretoriaWest_TH_ZAF,0.65,0.65,0.65,0.65
Rooiwal_TH_ZAF,0.65,0.65,0.65,0.65
Secunda(SasolChemical)_TH_ZAF,0.85,0.85,0.85,0.85
